"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00295731","1954","33.63333","-103.35","1281.1","MILNESAND, NM US","","","","","","","","","","","","","","","        29"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00295731","1955","33.63333","-103.35","1281.1","MILNESAND, NM US","        38","0","        22","0","         2","0","        0","","         4","0","         0","0","       121","0","        51"," ","  -15.0","0,0220, ","     0","T,0,0321, ","    56"," ,0,0115, ","  51.3"," ,0,1002, ","-2.2","0,1024","-2.2","0,1024","-4.4","0,1103","-8.3","0,1108","-10.0","0,1128","-1.1","0,0427","-3.3","0,0404","-5.6","0,0328","-9.4","0,0327","-9.4","0,0327","    325.0"," ,0","      181"," ,0","      5.35","0"
"USC00295731","1956","33.63333","-103.35","1281.1","MILNESAND, NM US","        28","0","        18","0","         1","0","        9","","         5","0","","","","","        49"," ","","","   254"," ,0,0205,+","   127"," ,0,0204, ","  39.1"," ,0,0618, ","","","","","","","","","","","","","","","","","","","","","    193.2"," ,0","      330"," ,0","",""
"USC00295731","1957","33.63333","-103.35","1281.1","MILNESAND, NM US","        56","0","        34","0","         2","0","","","         2","0","","","","","        28"," ","","","","","    97"," ,0,1122, ","  44.2"," ,0,0617, ","","","","","","","","","","","","","","","","","","","","","    382.2"," ,0","      127"," ,0","",""
