"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"ICW00016201","1949","63.96667","-22.6","52.1","KEFLAVIK, IC","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICW00016201","1950","63.96667","-22.6","52.1","KEFLAVIK, IC","","","","","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICW00016201","1951","63.96667","-22.6","52.1","KEFLAVIK, IC","","","","","","","","","","","","","","","","","","","","","","","","","","","        50"," ","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICW00016201","1952","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       191","X","        86","X","         3","X","       70","","        23","X","         0","X","       123","X","        47","X","         0","X","         0","X","       146"," ","","","","","  -11.7","X,0118, ","   508"," ,X,0203,+","   300"," ,X,0131, ","  36.1"," ,X,0119, ","   16.7","X,0820,+","0.0","X,0917","-3.3","X,1107","-5.6","X,1122","-6.7","X,1123","","","0.0","X,0506","-3.9","X,0415","-5.0","X,0413","-6.7","X,0321","-8.9","X,0125","","","","","    801.5"," ,X","     1767"," ,X","      4.26","X","      6.55","X","      1.96","X","","","",""
"ICW00016201","1953","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       251","X","       137","X","         2","X","       45","","        28","X","         0","X","       119","X","        21","X","         0","X","         0","X","       159"," ","","","","","  -10.6","X,0402,+","   254"," ,X,1204, ","   155"," ,X,0319, ","  27.7"," ,X,0207, ","   17.2","X,0720, ","0.0","X,1008","-2.2","X,1108","-4.4","X,1202","-7.2","X,1203","","","-2.8","X,0501","-2.8","X,0501","-5.0","X,0412","-10.6","X,0402","-10.6","X,0402","    4884.6","6","    4884.6","X","   1291.8"," ,X","     1737"," ,X","      5.23","X","      7.45","X","      3.01","X","","","",""
"ICW00016201","1954","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       219","X","       113","X","         2","X","       53","","        18","X","         0","X","       113","X","        22","X","         0","X","         0","X","        77"," ","","","         1"," ","  -11.7","X,0207, ","   127"," ,X,1225,+","    94"," ,X,1220, ","  28.7"," ,X,0825, ","   17.2","X,0606, ","-0.6","X,0925","-2.2","X,1015","-6.1","X,1207","-8.3","X,1208","-10.0","X,1209","0.0","X,0508","-2.2","X,0502","-8.9","X,0323","-8.9","X,0323","-8.9","X,0323","    4684.5","5","    4684.5","X","    964.9"," ,X","     1293"," ,X","      4.83","X","      6.99","X","      2.67","X","","","",""
"ICW00016201","1955","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       217","X","       107","X","         2","X","       44","","        18","X","         0","X","       117","X","        40","X","         0","X","         0","X","       110"," ","","","","","  -13.3","X,0113, ","   279"," ,X,1222, ","   109"," ,X,1221, ","  63.5"," ,X,1231, ","   17.2","X,0602, ","-3.3","X,1014","-3.3","X,1014","-4.4","X,1015","-6.7","X,1111","-9.4","X,1210","-0.6","X,0520","-2.8","X,0514","-9.4","X,0321","-9.4","X,0321","-9.4","X,0321","    5048.4","4","    5048.4","X","    934.1"," ,X","     1238"," ,X","      4.41","X","      6.57","X","      2.25","X","","","",""
"ICW00016201","1956","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       225","X","       132","X","         4","X","       52","","        19","X","         0","X","        88","X","        28","X","         0","X","         0","X","       124"," ","","","         1"," ","  -15.6","X,0124, ","   178"," ,X,0126,+","   102"," ,X,1126, ","  39.6"," ,X,0920, ","   17.8","X,0626, ","0.0","X,1003","-2.2","X,1023","-5.0","X,1129","","","","","0.0","X,0427","-3.3","X,0416","-6.7","X,0304","-6.7","X,0304","-15.6","X,0124","    4911.4","4","    4911.4","X","   1156.1"," ,X","     1112"," ,X","      5.17","X","      7.47","X","      2.88","X","","","",""
"ICW00016201","1957","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       167","X","       113","X","         2","X","","","        28","X","         0","X","       125","X","        41","X","         0","X","         0","X","        79"," ","","","         2"," ","  -10.0","X,0226, ","","","   102"," ,X,1027, ","  38.1"," ,X,1123, ","   16.7","X,0727, ","0.0","X,0929","-2.2","X,1028","-4.4","X,1107","-8.9","X,1221","-8.9","X,1221","-2.8","X,0504","-2.8","X,0504","-4.4","X,0320","-7.2","X,0308","-10.0","X,0226","    4829.9","9","    4829.9","X","    968.2"," ,X","     1372"," ,X","      4.81","X","      7.00","X","      2.62","X","       248","X","      35.0","X"
"ICW00016201","1958","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       194","X","       125","X","         2","X","       73","","        29","X","         0","X","       113","X","        41","X","         0","X","         0","X","        84"," ","","","","","  -10.6","X,0207, ","   254"," ,X,0118, ","   109"," ,X,0117, ","  35.3"," ,X,1119, ","   20.0","X,0720, ","-2.8","X,1030","-2.8","X,1030","-5.0","X,1210","-6.7","X,1216","","","-0.6","X,0523","-4.4","X,0314","-4.4","X,0314","-7.2","X,0313","-8.9","X,0217","    5063.6","6","    5063.6","X","   1125.3"," ,X","     1795"," ,X","      4.96","X","      7.23","X","      2.69","X","       270","X","      37.5","X"
"ICW00016201","1959","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       232","X","       161","X","         9","X","       55","","        37","X","         0","X","       110","X","        41","X","         0","X","         0","X","       129"," ","","","         2"," ","  -10.6","X,0121,+","   508"," ,X,0304, ","   635"," ,X,0305, ","  68.3"," ,X,0305, ","   18.3","X,0726, ","0.0","X,1027","-2.2","X,1107","-5.6","X,1109","-8.9","X,1111","-8.9","X,1111","-0.6","X,0506","-2.8","X,0505","-6.7","X,0407","-6.7","X,0407","-8.9","X,0123","    4724.8","8","    4724.8","X","   1675.7"," ,X","     3726"," ,X","      4.95","X","      7.13","X","      2.76","X","       180","X","      39.1","X"
"ICW00016201","1960","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       199","X","       124","X","         8","X","       41","","        20","X","         0","X","        98","X","        29","X","         0","X","         0","X","       128"," ","","","         1"," ","  -10.0","X,0302,+","   305"," ,X,0306, ","   282"," ,X,0304, ","  42.9"," ,X,0623, ","   18.9","X,0514, ","0.0","X,1025","-2.2","X,1028","-5.6","X,1127","-6.7","X,1219","","","-0.6","X,0430","-6.7","X,0306","-6.7","X,0306","-6.7","X,0306","-9.4","X,0303","    4743.2","2","    4743.2","X","   1127.2"," ,X","     1596"," ,X","      5.57","X","      7.76","X","      3.38","X","       135","X","      28.3","X"
"ICW00016201","1961","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       227","X","       142","X","         4","X","       55","","        31","X","         0","X","       114","X","        40","X","         0","X","         0","X","       100"," ","","","","","  -12.2","X,1228, ","   178"," ,X,0305, ","   185"," ,X,0220, ","  38.4"," ,X,0922, ","   16.7","X,0725, ","0.0","X,1028","-5.6","X,1123","-5.6","X,1123","-7.2","X,1202","-10.0","X,1227","-1.1","X,0525","-2.2","X,0418","-5.6","X,0416","-7.8","X,0403","-10.0","X,0402","    4825.4","4","    4825.4","X","   1230.8"," ,X","     2338"," ,X","      4.96","X","      6.96","X","      2.96","X","","","",""
"ICW00016201","1962","63.96667","-22.6","52.1","KEFLAVIK, IC","","","      0.0","","       0.0","X","       213","X","       139","X","         5","X","       65","","        36","X","         0","X","       118","X","        48","X","         0","X","         0","X","        88"," ","","","         1"," ","   -9.4","X,1212, ","   533"," ,X,0205, ","   274"," ,X,1128,+","  33.3"," ,X,0918, ","   17.8","X,0720, ","-1.1","X,1023","-3.3","X,1025","-4.4","X,1102","-6.7","X,1211","-9.4","X,1212","-1.1","X,0505","-2.8","X,0411","-6.7","X,0406","-6.7","X,0406","","","    4850.2","2","    4850.2","X","   1345.1"," ,X","     3804"," ,X","      4.84","X","      6.89","X","      2.80","X","       135","X","      35.5","X"
