"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00063583","1949","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","        77","0","        67","0","         9","0","         5","0","         7"," ","         9"," ","   508"," ,0,0228, ","  54.6"," ,0,0503, ","    975.3"," ,0","      851"," ,0"
"USC00063583","1950","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","","","","","","","","","        24"," ","        17"," ","","","","","","","",""
"USC00063583","1951","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","","","","","","","","","        17"," ","        14"," ","","","","","","","",""
"USC00063583","1952","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","","","","","","","","","        12"," ","        12"," ","","","","","","","",""
"USC00063583","1953","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","","","","","","","","","        23"," ","        12"," ","","","","","   1536.6"," ,0","",""
"USC00063583","1954","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","        92","0","        71","0","        14","0","","","        26"," ","        23"," ","","","  92.7"," ,0,0911, ","   1163.3"," ,0","",""
"USC00063583","1955","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","        94","0","        78","0","        15","0","        11","0","        28"," ","        26"," ","   102"," ,0,1222,+"," 114.3"," ,0,1016,+","   1578.7"," ,0","      648"," ,0"
"USC00063583","1956","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","       108","0","        87","0","        15","0","","","        34"," ","        16"," ","","","  77.2"," ,0,0907, ","   1260.9"," ,0","",""
"USC00063583","1957","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","        98","0","        82","0","         8","0","","","        10"," ","        21"," ","","","  48.5"," ,0,0405, ","    982.5"," ,0","",""
"USC00063583","1958","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","        96","0","        81","0","        19","0","","","        10"," ","        20"," ","","","  74.7"," ,0,1026, ","   1332.2"," ,0","",""
"USC00063583","1959","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","        91","0","        74","0","        13","0","         8","0","        13"," ","        26"," ","   254"," ,0,0312, ","  51.6"," ,0,0306, ","   1091.5"," ,0","      584"," ,0"
"USC00063583","1960","41.23333","-73.26667","73.2","HEMLOCKS RESERVOIR, CT US","","","","","","","","","         7"," ","         7"," ","","","","","","","",""
