"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TU000017040","1929","41.0331","40.5167","9.0","RIZE, TU","    387.0","","     387.0","G","         0","G","        45","G","         1","G","       118","G","         1","G","   -6.0","G,0318, ","   33.2","G,0907, ","","","","","","","-1.0","G,0420","-3.4","G,0319","-6.0","G,0318","","","","","","","     13.60","G","     16.73","G","     10.47","G"
"TU000017040","1930","41.0331","40.5167","9.0","RIZE, TU","    338.2","","     338.2","G","         0","G","         9","G","         0","G","       136","G","         0","G","   -5.2","G,0212, ","   31.0","G,0410, ","0.0","G,1222","","","","","-1.1","G,0222","-5.2","G,0212","-5.2","G,0212","","","    1706.0","0","    1706.0","G","     14.58","G","     17.66","G","     11.50","G"
"TU000017040","1931","41.0331","40.5167","9.0","RIZE, TU","    414.4","","     414.4","G","         0","G","        22","G","         0","G","       141","G","         0","G","   -3.6","G,1223, ","   30.0","G,1030,+","-0.2","G,1202","-2.3","G,1204","","","-1.6","G,0404","-2.2","G,0320","","","","","    1682.1","1","    1682.1","G","     14.02","G","     17.31","G","     10.74","G"
"TU000017040","1932","41.0331","40.5167","9.0","RIZE, TU","    265.7","","     265.7","G","         0","G","        43","G","         1","G","       153","G","         1","G","   -6.2","G,0208, ","   32.8","G,0509, ","-0.1","G,1119","","","","","-0.3","G,0331","-4.0","G,0328","-4.7","G,0224","","","    2294.8","8","    2294.8","G","     13.21","G","     16.82","G","      9.60","G"
"TU000017040","1933","41.0331","40.5167","9.0","RIZE, TU","    209.4","","     209.4","G","         0","G","        26","G","         1","G","       112","G","         0","G","   -5.4","G,1205, ","   28.5","G,0511, ","-0.9","G,1203","-2.5","G,1204","-5.4","G,1205","-0.2","G,0311","-2.4","G,0304","","","","","    2160.0","0","    2160.0","G","     12.98","G","     16.32","G","      9.64","G"
"TU000017040","1934","41.0331","40.5167","9.0","RIZE, TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1935.6","6","    1935.6","G","","","","","",""
"TU000017040","1935","41.0331","40.5167","9.0","RIZE, TU","    328.4","","     328.4","G","         0","G","        11","G","         0","G","       148","G","         2","G","   -1.5","G,0317, ","   37.9","G,0502, ","","","","","","","-0.3","G,0322","","","","","","","","","","","     14.24","G","     17.48","G","     11.00","G"
"TU000017040","1936","41.0331","40.5167","9.0","RIZE, TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1581.8","8","    1581.8","G","","","","","",""
"TU000017040","1937","41.0331","40.5167","9.0","RIZE, TU","    486.0","","     486.0","G","         0","G","        14","G","         0","G","       151","G","         1","G","   -4.3","G,0203, ","   33.8","G,1011, ","","","","","","","-2.1","G,0204","-4.3","G,0203","","","","","","","","","     15.44","G","     18.68","G","     12.19","G"
"TU000017040","1938","41.0331","40.5167","9.0","RIZE, TU","    548.9","","     548.9","G","         0","G","        13","G","         2","G","       129","G","         1","G","   -3.9","G,0211, ","   35.6","G,0815, ","","","","","","","0.0","G,0320","-3.6","G,0227","","","","","    1714.3","3","    1714.3","G","     14.73","G","     17.73","G","     11.73","G"
