"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040420","1983","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       291","S","       191","S","","","   49.2","S,0718, ","","","","","","","     33.24","S","",""
"SAM00040420","1989","25.285","49.485","179.2","AL AHSA, SA","         0","S","         4","S","         0","S","       273","S","       190","S","   -2.3","S,0106, ","   47.4","S,0628, ","-1.0","S,0120","-2.3","S,0106","     25.83","S","     33.44","S","     18.23","S"
"SAM00040420","1993","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       306","S","       206","S","","","   48.6","S,0810, ","","","","","","","     34.41","S","",""
"SAM00040420","1995","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       312","S","       207","S","","","   48.2","S,0814, ","","","","","","","     33.97","S","",""
"SAM00040420","1996","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       323","S","       202","S","","","   48.5","S,0711, ","","","","","","","     34.63","S","",""
"SAM00040420","1999","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       334","S","       217","S","","","   49.3","S,0605, ","","","","","","","     36.26","S","",""
"SAM00040420","2000","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       317","S","       215","S","","","   50.7","S,0708, ","","","","","","","     35.40","S","",""
"SAM00040420","2001","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       332","S","       229","S","","","   49.5","S,0810, ","","","","","","","     36.34","S","",""
"SAM00040420","2002","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       316","S","       217","S","","","   50.6","S,0722, ","","","","","","","     35.85","S","",""
"SAM00040420","2004","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       314","S","       227","S","","","   49.8","S,0725, ","","","","","","","     35.64","S","",""
"SAM00040420","2008","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       308","S","       215","S","","","   49.2","S,0721, ","","","","","","","     35.31","S","",""
"SAM00040420","2009","25.285","49.485","179.2","AL AHSA, SA","","","","","         0","S","       322","S","       221","S","","","   49.0","S,0529,+","","","","","","","     35.62","S","",""
