"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00250580","1896","42.5829","-99.5397","710.2","BASSETT, NE US","","","","","","","","","    3819.0","0","    3819.0"," ","",""
"USC00250580","1950","42.5829","-99.5397","710.2","BASSETT, NE US","        82","0","        49","0","         4","0","  55.4"," ,0,0811, ","","","","","    640.0"," ,0"
