"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"NLE00109283","1956","52.6831","6.9","13.0","SCHOONEBEEK, NL","       21","","   150"," ,E,0128,+"
"NLE00109283","1957","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,1215,+"
"NLE00109283","1958","52.6831","6.9","13.0","SCHOONEBEEK, NL","        8","","    80"," ,E,0207,+"
"NLE00109283","1959","52.6831","6.9","13.0","SCHOONEBEEK, NL","       12","","   230"," ,E,0112, "
"NLE00109283","1960","52.6831","6.9","13.0","SCHOONEBEEK, NL","        1","","    80"," ,E,1215, "
"NLE00109283","1961","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,0205, "
"NLE00109283","1962","52.6831","6.9","13.0","SCHOONEBEEK, NL","        4","","    80"," ,E,1228,+"
"NLE00109283","1964","52.6831","6.9","13.0","SCHOONEBEEK, NL","        6","","    40"," ,E,1230,+"
"NLE00109283","1965","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,1124,+"
"NLE00109283","1966","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,0219,+"
"NLE00109283","1967","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,1212,+"
"NLE00109283","1968","52.6831","6.9","13.0","SCHOONEBEEK, NL","        9","","   150"," ,E,0113,+"
"NLE00109283","1969","52.6831","6.9","13.0","SCHOONEBEEK, NL","       16","","    40"," ,E,1224,+"
"NLE00109283","1970","52.6831","6.9","13.0","SCHOONEBEEK, NL","        7","","    80"," ,E,0219,+"
"NLE00109283","1971","52.6831","6.9","13.0","SCHOONEBEEK, NL","        1","","   150"," ,E,0102, "
"NLE00109283","1972","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","     0"," ,E,1231,+"
"NLE00109283","1973","52.6831","6.9","13.0","SCHOONEBEEK, NL","        7","","    40"," ,E,1203,+"
"NLE00109283","1974","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,1212, "
"NLE00109283","1975","52.6831","6.9","13.0","SCHOONEBEEK, NL","        1","","    40"," ,E,0326, "
"NLE00109283","1976","52.6831","6.9","13.0","SCHOONEBEEK, NL","       15","","   150"," ,E,0201,+"
"NLE00109283","1977","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,1207, "
"NLE00109283","1978","52.6831","6.9","13.0","SCHOONEBEEK, NL","        4","","    80"," ,E,1130,+"
"NLE00109283","1980","52.6831","6.9","13.0","SCHOONEBEEK, NL","        4","","    80"," ,E,1109,+"
"NLE00109283","1981","52.6831","6.9","13.0","SCHOONEBEEK, NL","       24","","    80"," ,E,1229,+"
"NLE00109283","1982","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,0118,+"
"NLE00109283","1983","52.6831","6.9","13.0","SCHOONEBEEK, NL","        3","","    40"," ,E,0210,+"
"NLE00109283","1984","52.6831","6.9","13.0","SCHOONEBEEK, NL","        3","","    80"," ,E,0123, "
"NLE00109283","1985","52.6831","6.9","13.0","SCHOONEBEEK, NL","       22","","   150"," ,E,0120,+"
"NLE00109283","1986","52.6831","6.9","13.0","SCHOONEBEEK, NL","       10","","    80"," ,E,1227,+"
"NLE00109283","1987","52.6831","6.9","13.0","SCHOONEBEEK, NL","        3","","    40"," ,E,0115,+"
"NLE00109283","1988","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","    20"," ,E,0301,+"
"NLE00109283","1989","52.6831","6.9","13.0","SCHOONEBEEK, NL","        0","","     0"," ,E,1231,+"
