"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA005060621","1988","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","","","","","","","         9","C","","","","","       147","C","        71","C","         1","C","","","   120"," ,C,0328, ","","","   35.0","C,0605, ","","","","","","","","","","","","","","","","","","","","","","","","","","","      895"," ,C","","","      4.42","C","",""
"CA005060621","1989","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","        52","C","        29","C","         0","C","         7","C","","","","","","","","","","","","","    80"," ,C,1119, ","  23.0"," ,C,1027, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    227.1"," ,C","      420"," ,C","","","","","",""
"CA005060621","1990","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","        70","C","        37","C","         0","C","        14","C","","","","","","","","","","","","","   190"," ,C,1102, ","  19.0"," ,C,1102, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    299.7"," ,C","     1217"," ,C","","","","","",""
"CA005060621","1991","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","        84","C","        38","C","         2","C","        14","C","","","","","","","","","","","","","   130"," ,C,1016, ","  35.0"," ,C,0616, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    435.6"," ,C","     1180"," ,C","","","","","",""
"CA005060621","1992","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","        68","C","        28","C","         3","C","         8","C","","","","","","","","","","","","","    70"," ,C,0218,+","  29.6"," ,C,0603, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    322.3"," ,C","      693"," ,C","","","","","",""
"CA005060621","1993","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","        66","C","        34","C","         2","C","         9","C","","","","","","","","","","","","","   130"," ,C,0208, ","  39.0"," ,C,0717, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    410.1"," ,C","      880"," ,C","","","","","",""
"CA005060621","1994","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","","","","","","","        17","C","","","","","","","","","","","","","   160"," ,C,1022, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    334.8"," ,C","     1310"," ,C","","","","","",""
"CA005060621","1995","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","","","","","","","        14","C","","","","","","","","","","","","","   250"," ,C,0313, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     1110"," ,C","","","","","",""
"CA005060621","1996","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","","","","","","","        15","C","","","","","","","","","","","","","   250"," ,C,0317, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     1200"," ,C","","","","","",""
"CA005060621","1997","54.6167","-97.7667","216.0","CROSS LAKE A, MB CA","        63","C","        43","C","         0","C","        11","C","","","","","","","","","","","","","   100"," ,C,1224,+","  17.0"," ,C,0824, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    320.0"," ,C","      748"," ,C","","","","","",""
