"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014753","1999","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","       6.0","W","    435.5","","     435.5","W","       138","W","        77","W","         9","W","","","","","         1","W","       110","W","        26","W","       126","W","        13","W","","","","","","","  -18.9","W,0102, ","","","",""," 134.4"," ,W,0910, ","   35.6","W,0718, ","0.0","W,1007","-2.8","W,1108","-7.2","W,1201","-7.2","W,1201","-10.6","W,1224","0.0","W,0424","-3.3","W,0326","-5.6","W,0312","-8.3","W,0310","-10.0","W,0309","","","","","   1263.1"," ,W","","","","","     10.83","W","     15.70","W","      5.95","W","","","       160","W","       160","W","      25.0","W","      34.0","W"
"USW00014753","2000","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","       5.8","W","    236.5","","     236.5","W","       152","W","        83","W","        13","W","","","","","         6","W","       110","W","        44","W","       113","W","         2","W","","","","","","","  -19.4","W,0122,+","","","","","  89.2"," ,W,0606, ","   33.9","W,0509, ","0.0","W,1010","-2.8","W,1121","-7.2","W,1123","-7.2","W,1123","-9.4","W,1124","0.0","W,0426","-6.7","W,0319","-6.7","W,0319","-6.7","W,0319","-10.6","W,0318","    3232.5","5","    3232.5","W","   1225.8"," ,W","","","","","      9.27","W","     13.89","W","      4.65","W","","","       160","W","       200","W","      26.8","W","      37.1","W"
"USW00014753","2001","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","       5.6","W","    368.4","","     368.4","W","       147","W","        74","W","         9","W","","","","","         0","W","       122","W","        32","W","       133","W","        12","W","","","","","","","  -15.0","W,0212, ","","","","","  82.8"," ,W,0322, ","   35.0","W,0809, ","0.0","W,1008","-2.2","W,1111","-4.4","W,1113","-7.2","W,1227","","","-1.7","W,0419","-2.8","W,0403","-4.4","W,0328","-7.2","W,0327","-9.4","W,0301","    3603.0","0","    3603.0","W","   1073.7"," ,W","","","","","     10.41","W","     15.09","W","      5.74","W","","","       280","W","       280","W","      20.1","W","      27.3","W"
"USW00014753","2003","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","","","","","","","       166","W","        93","W","        12","W","","","","","","","","","","","","","","","","","","","","","","","","","","","  68.1"," ,W,1206, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1310.6"," ,W","","","","","","","","","","","","","       270","W","       280","W","      22.8","W","      30.8","W"
"USW00014753","2004","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","       5.7","W","    247.5","","     247.5","W","       140","W","        81","W","        14","W","","","","","         7","W","       119","W","        41","W","       120","W","         0","W","","","","","","","  -23.9","W,0116, ","","","","","  83.3"," ,W,0401, ","   31.7","W,0609, ","-1.1","W,1104","-4.4","W,1109","-4.4","W,1109","-6.7","W,1110","-10.0","W,1215","0.0","W,0408","-3.3","W,0406","-9.4","W,0323","-9.4","W,0323","-9.4","W,0323","    3547.4","4","    3547.4","W","   1360.2"," ,W","","","","","      9.11","W","     13.72","W","      4.50","W","","","       160","W","       160","W","      21.5","W","      28.2","W"
"USW00014753","2005","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3607.1","1","    3607.1","W","","","","","","","","","","","","","","","","","","","","","",""
"USW00014753","2006","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","       5.7","W","    357.6","","     357.6","W","       140","W","        93","W","        16","W","       31","","        10","W","         0","W","        94","W","        20","W","       116","W","         8","W","","","","","","","  -15.5","W,0227, ","   300"," ,W,0213, ","   381"," ,W,0212, "," 101.8"," ,W,0607, ","   34.4","W,0802,+","0.0","W,1027","-3.2","W,1121","-5.5","W,1205","-7.7","W,1208","","","-2.2","W,0406","-2.2","W,0406","-7.1","W,0321","-7.1","W,0321","-9.9","W,0301","","","","","   1532.6"," ,W","","","     1000"," ,W","     10.82","W","     15.36","W","      6.28","W","","","       150","W","       150","W","      27.3","W","      38.0","W"
"USW00014753","2007","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","       4.8","W","    433.8","","     433.8","W","       145","W","        75","W","        13","W","       55","","        11","W","         0","W","       131","W","        39","W","       136","W","        12","W","","","","","","","  -17.7","W,0126, ","   460"," ,W,1221, ","   234"," ,W,1213, ","  53.0"," ,W,0214, ","   34.4","W,0825,+","-1.0","W,1029","-4.3","W,1111","-4.9","W,1123","-8.2","W,1124","-9.9","W,1201","-0.5","W,0413","-3.8","W,0408","-8.8","W,0321","-8.8","W,0321","-16.6","W,0309","    3270.9","9","    3270.9","W","   1162.7"," ,W","","","     1384"," ,W","     10.02","W","     14.85","W","      5.19","W","","","","","","","","","",""
"USW00014753","2008","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","       5.3","W","    346.6","","     346.6","W","       144","W","        91","W","        14","W","       53","","        16","W","         0","W","       123","W","        35","W","       121","W","         6","W","","","","","","","  -16.6","W,0104,+","   380"," ,W,1222, ","   262"," ,W,0114, ","  71.1"," ,W,0213, ","   37.2","W,0610, ","-0.5","W,1023","-4.9","W,1118","-4.9","W,1118","-7.7","W,1119","-12.1","W,1208","-1.0","W,0414","-2.7","W,0403","-7.1","W,0330","-7.1","W,0330","-14.3","W,0229","    3314.0","0","    3314.0","W","   1509.6"," ,W","","","     1688"," ,W","     10.06","W","     14.73","W","      5.37","W","","","       190","W","       200","W","      21.9","W","      31.3","W"
"USW00014753","2009","42.2123","-71.1137","190.5","BLUE HILL LCD, MA US","","","    246.3","","     246.3","X","       143","X","        95","X","        17","X","       70","","        16","X","         0","X","       110","X","        41","X","       101","X","         4","X","         2"," ","        41"," ","        15"," ","  -17.1","X,0117,+","   460"," ,X,0119, ","   348"," ,X,1220, ","  52.8"," ,X,1114, ","   33.3","X,0428, ","0.0","X,1014","-2.2","X,1201","-6.7","X,1211","-6.7","X,1211","-13.9","X,1217","-1.6","W,0413","-7.7","W,0324","-7.7","W,0324","-7.7","W,0324","-14.3","W,0304","    3481.5","5","    3481.5","X","   1404.1"," ,X","","","     1989"," ,X","      9.35","X","     13.83","X","      4.88","X","","","       150","Z","       150","Z","      24.1","Z","      30.8","Z"
