"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049633","1956","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","        66","0","        29","0","         4","0","","","        44","0","        38","0","       285","0","       161","0","         0","0","         0","0","","","  -29.4","0,0216, ","","","   965"," ,0,0413, ","  68.6"," ,0,0413, ","   16.1","0,0903, ","-1.1","0,0802","-5.6","0,0920","-5.6","0,0920","-10.0","0,1012","-10.0","0,1012","-1.1","0,0714","-2.8","0,0704","-5.6","0,0702","-8.3","0,0615","-9.4","0,0528","","","","","    426.9"," ,0","     4266"," ,0","     -2.56","0","      1.72","0","     -6.85","0"
"USC00049633","1957","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    7531.1","1","    7531.1"," ","","","","","","","","","",""
"USC00049633","1958","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","        74","0","        41","0","         3","0","      184","","        49","0","        24","0","       304","0","       132","0","         0","0","         0","0","","","  -33.3","0,1117, ","  1372"," ,0,0408, ","   356"," ,0,0225, ","  33.0"," ,0,0225, ","   15.6","0,0812,+","0.0","0,0819","-3.3","0,0911","-5.0","0,0913","-15.6","0,0924","-15.6","0,0924","-2.2","0,0730","-2.2","0,0730","-5.6","0,0729","-7.8","0,0701","-8.9","0,0613","","","","","    403.2"," ,0","     3085"," ,0","     -2.12","0","      2.82","0","     -7.05","0"
"USC00049633","1959","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","        65","0","        36","0","         3","0","      151","","        42","0","        35","0","       292","0","       166","0","         0","0","         0","0","","","  -25.6","0,1231, ","   864"," ,0,0224,+","   483"," ,0,1001, ","  46.2"," ,0,1001, ","   16.7","0,0719,+","-0.6","0,0812","-4.4","0,0819","-4.4","0,0819","-8.3","0,0820","-8.9","0,0915","0.0","0,0708","-5.0","0,0701","-5.0","0,0701","-6.7","0,0629","-10.6","0,0530","    7643.9","9","    7643.9","0","    379.0"," ,0","     3829"," ,0","     -2.92","0","      1.55","0","     -7.39","0"
"USC00049633","1960","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","        66","0","        33","0","         1","0","      160","","        41","0","        43","0","       281","0","       173","0","         0","0","         0","0","","","  -31.7","0,0104, ","   635"," ,0,1108,+","   305"," ,0,1010, ","  25.4"," ,0,1010, ","   16.1","0,0809, ","-0.6","0,0801","-4.4","0,0823","-4.4","0,0823","-6.7","0,0922","-13.9","0,1009","-0.6","0,0711","-2.2","0,0619","-5.6","0,0609","-7.8","0,0529","-10.0","0,0525","    7721.7","7","    7721.7","0","    274.5"," ,0","     2497"," ,0","     -3.25","0","      0.98","0","     -7.48","0"
"USC00049633","1961","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","        59","0","        31","0","         1","0","      205","","        39","0","        26","0","       279","0","       165","0","         0","0","         0","0","","","  -23.3","0,1211, ","   686"," ,0,0330,+","   356"," ,0,1030, ","  29.5"," ,0,1030, ","   17.8","0,0621, ","0.0","0,0811","-2.2","0,0828","-5.6","0,0903","-6.7","0,0909","-20.0","0,1008","0.0","0,0707","-2.2","0,0705","-6.7","0,0603","-6.7","0,0603","-8.9","0,0602","    7406.1","1","    7406.1","0","    294.7"," ,0","     2584"," ,0","     -2.11","0","      2.11","0","     -6.33","0"
"USC00049633","1962","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","","","","","        60","0","        42","0","         6","0","      189","","        55","0","","","","","","","","","","","","","","","  1422"," ,0,0311, ","   660"," ,0,0514, ","  53.3"," ,0,0514, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    476.3"," ,0","     5337"," ,0","","","","","",""
"USC00049633","1963","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","        74","0","        57","0","         8","0","      196","","        63","0","        33","0","       289","0","       169","0","         0","0","         0","0","","","  -26.1","0,0402, ","  1321"," ,0,0427, ","   406"," ,0,1017, ","  36.1"," ,0,0611, ","   14.4","0,0731,+","0.0","0,0822","-5.6","0,0831","-5.6","0,0831","-6.7","0,0919","-10.6","0,1012","-1.1","0,0706","-5.0","0,0629","-5.0","0,0629","-6.7","0,0625","-10.6","0,0624","    7400.5","5","    7400.5","0","    607.4"," ,0","     6054"," ,0","     -2.79","0","      1.54","0","     -7.12","0"
"USC00049633","1964","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","","","","","","","      139","","","","        61","0","       297","0","       175","0","         0","0","         0","0","","","  -27.8","0,0123, ","   686"," ,0,0509, ","","","","","   15.0","0,0725,+","-1.7","0,0801","-3.3","0,0831","-5.6","0,0911","-6.7","0,0922","-12.2","0,1030","-1.1","0,0731","-10.0","0,0703","-10.0","0,0703","-10.0","0,0703","-10.0","0,0703","    7799.3","3","    7799.3","0","","","","","     -3.67","0","      1.40","0","     -8.73","0"
"USC00049633","1966","37.58333","-118.23333","3800.9","WHITE MOUNTAIN 2, CA US","      0.0","","       0.0","0","        27","0","        20","0","         4","0","      136","","        18","0","        28","0","       268","0","       130","0","         0","0","         0","0","","","  -25.6","0,0303, ","  2362"," ,0,1207, ","  1118"," ,0,1206, "," 111.8"," ,0,1206, ","   17.8","0,0809,+","0.0","0,0829","-2.8","0,0830","-4.4","0,0831","-7.8","0,0913","-10.0","0,0914","0.0","0,0714","-3.3","0,0622","-5.0","0,0607","-7.8","0,0531","-10.0","0,0512","    7176.2","2","    7176.2","0","    361.0"," ,0","     3107"," ,0","     -1.30","0","      3.08","0","     -5.68","0"
