"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN001111200","1901","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        86","I","        55","I","        10","I","","","","","","","","","","","",""," 111.8"," ,I,1015, ","","","    959.0"," ,I","","","","","",""
"IN001111200","1902","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        74","I","        53","I","        14","I","","","","","","","","","","","",""," 241.3"," ,I,1029, ","","","   1264.1"," ,I","","","","","",""
"IN001111200","1903","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","       102","I","        71","I","        20","I","","","","","","","","","","","","","  97.8"," ,I,0617, ","","","   1579.7"," ,I","","","","","",""
"IN001111200","1904","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        59","I","        43","I","         8","I","","","","","","","","","","","",""," 146.1"," ,I,1016, ","","","    932.5"," ,I","","","","","",""
"IN001111200","1905","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        54","I","        38","I","         8","I","","","","","","","","","","","","","  97.8"," ,I,0817, ","","","    689.9"," ,I","","","","","",""
"IN001111200","1906","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        73","I","        53","I","        15","I","","","","","","","","","","","","","  80.0"," ,I,0619, ","","","    933.9"," ,I","","","","","",""
"IN001111200","1907","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        59","I","        44","I","         7","I","","","","","","","","","","","","","  53.3"," ,I,0715, ","","","    621.7"," ,I","","","","","",""
"IN001111200","1908","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        73","I","        51","I","         5","I","","","","","","","","","","","","","  76.2"," ,I,0114, ","","","    697.1"," ,I","","","","","",""
"IN001111200","1909","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        74","I","        53","I","        13","I","","","","","","","","","","","",""," 108.0"," ,I,0905, ","","","    948.3"," ,I","","","","","",""
"IN001111200","1910","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        90","I","        72","I","        15","I","","","","","","","","","","","","","  85.1"," ,I,0719, ","","","   1237.6"," ,I","","","","","",""
"IN001111200","1911","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        85","I","        53","I","        11","I","","","","","","","","","","","","","  76.2"," ,I,1017, ","","","    918.7"," ,I","","","","","",""
"IN001111200","1912","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        83","I","        60","I","        12","I","","","","","","","","","","","","","  96.5"," ,I,1022, ","","","   1090.7"," ,I","","","","","",""
"IN001111200","1913","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        66","I","        46","I","         8","I","","","","","","","","","","","",""," 119.4"," ,I,1007, ","","","    800.4"," ,I","","","","","",""
"IN001111200","1914","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        87","I","        50","I","         7","I","","","","","","","","","","","","","  57.2"," ,I,0820,+","","","    754.7"," ,I","","","","","",""
"IN001111200","1915","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        88","I","        71","I","        26","I","","","","","","","","","","","",""," 133.4"," ,I,0624, ","","","   1729.0"," ,I","","","","","",""
"IN001111200","1916","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        87","I","        74","I","        23","I","","","","","","","","","","","","","  95.3"," ,I,0708, ","","","   1688.5"," ,I","","","","","",""
"IN001111200","1917","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        85","I","        73","I","        25","I","","","","","","","","","","","",""," 176.5"," ,I,1115, ","","","   1778.0"," ,I","","","","","",""
"IN001111200","1918","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        79","I","        59","I","        14","I","","","","","","","","","","","","","  95.3"," ,I,1105, ","","","   1207.6"," ,I","","","","","",""
"IN001111200","1919","16.2","81.15","3.0","MACHILIPATNAM, IN","","","","","        78","I","        53","I","        15","I","","","","","","","","","","","",""," 198.1"," ,I,1107, ","","","   1199.4"," ,I","","","","","",""
