"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA004062168","1985","58.3","-103.95","450.0","DAWN LAKE, SK CA","       129","C","       242","C","       163","C","        29","C","         0","C","  -46.5","C,0117, ","   31.0","C,0701, ","0.0","C,0902","-3.0","C,0910","-4.5","C,0920","-8.5","C,1007","-13.0","C,1008","0.0","C,0611","-4.0","C,0603","-4.5","C,0529","-7.0","C,0430","-9.5","C,0421","","","","","    489.2"," ,C","     1692"," ,C","     -5.27","C","      0.81","C","    -11.34","C"
"CA004062168","1986","58.3","-103.95","450.0","DAWN LAKE, SK CA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    8059.5","5","    8059.5","C","","","","","","","","","",""
