"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GMW00035053","1964","50.55","9.65","305.1","FULDA, GM","","","","","","","       32","","","","","","","","   102"," ,X,1230,+","","","","","","","","","","","",""
"GMW00035053","1965","50.55","9.65","305.1","FULDA, GM","","","","","","","","","","","       161"," ","        23"," ","","","","","","","","","","","","","",""
"GMW00035053","1966","50.55","9.65","305.1","FULDA, GM","       192","X","        89","X","         3","X","","","","","        72"," ","         9"," ","","","","","  30.7"," ,X,0619, ","    845.2"," ,X","","","","","",""
"GMW00035053","1967","50.55","9.65","305.1","FULDA, GM","       169","X","        68","X","         4","X","       23","","         7","X","       208"," ","        35"," ","    76"," ,X,0111,+","    79"," ,X,1206, ","  35.6"," ,X,1224, ","    656.2"," ,X","      461"," ,X","       225","X","      30.8","X"
