"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00406330","2004","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","","","","","        10"," ","         2"," ","","","","","","","","","","","","","",""
"USC00406330","2005","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","        0","","         0","0","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","        0"," ,0"
"USC00406330","2006","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","",""
"USC00406330","2007","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","        0","","         0","0","","","","","     0","T,0,0202, ","     0","T,0,0214,+","","","","","","","","","        0","T,0"
"USC00406330","2008","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","        68","0","        59","0","        16","0","","","         0","0","        21"," ","         7"," ","","","    18"," ,0,1201, ","  93.0"," ,0,1008, ","","","","","   1212.4"," ,0","       18"," ,0"
"USC00406330","2009","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","        0","","         0","0","        21"," ","         5"," ","     0"," ,0,1231,+","    13"," ,0,0128, ","","","","","","","","","       13"," ,0"
"USC00406330","2010","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","        1","","         2","0","         2"," ","","","   102"," ,0,0209, ","   102"," ,0,0209, ","","","","","","","","","      169"," ,0"
"USC00406330","2011","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","","","","","        10"," ","        12"," ","","","","","","","","","","","","","",""
"USC00406330","2012","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","","","","","        18"," ","         3"," ","","","","","","","    1480.4","4","    1480.4","7","","","",""
"USC00406330","2013","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","",""
"USC00406330","2015","35.9675","-88.0458","115.8","MOUNT MORIAH BIRDSONG, TN US","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","",""
