"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00205601","1908","41.75","-84.216667","247.2","MORENCI, MI US","    378.6","","     378.6","6","        96","6","        63","6","         9","6","","","        14","6","         9","6","       149","6","        26","6","       159","6","        18","6","","","  -25.6","6,0204, ","","","   279"," ,6,0219, ","  58.9"," ,6,0812, ","   35.0","6,0712, ","-2.8","6,1002","-2.8","6,1002","-5.6","6,1101","-8.9","6,1105","-8.9","6,1105","0.0","6,0504","-2.8","6,0503","-5.0","6,0404","-7.8","6,0403","-13.3","6,0228","    3504.8","8","    3504.8","6","    886.9"," ,6","      892"," ,6","      9.84","6","     16.36","6","      3.31","6"
"USC00205601","1909","41.75","-84.216667","247.2","MORENCI, MI US","    282.8","","     282.8","6","       101","6","        62","6","         7","6","       47","","        13","6","         4","6","       147","6","        33","6","       136","6","         5","6","         1"," ","  -25.0","6,0201, ","   229"," ,6,1225, ","   229"," ,6,1225, ","  66.3"," ,6,0429, ","   32.8","6,0913,+","0.0","6,1001","-2.2","6,1019","-4.4","6,1020","-7.2","6,1029","-17.2","6,1208","-1.1","6,0504","-3.9","6,0428","-5.0","6,0414","-8.9","6,0410","-8.9","6,0410","    3405.8","8","    3405.8","6","    922.6"," ,6","      991"," ,6","      9.08","6","     14.92","6","      3.24","6"
"USC00205601","1910","41.75","-84.216667","247.2","MORENCI, MI US","    331.4","","     331.4","6","        91","6","        61","6","         4","6","       93","","        12","6","         7","6","       143","6","        54","6","       149","6","        12","6","         2"," ","  -19.4","6,0219, ","   381"," ,6,0114,+","   127"," ,6,0113, ","  38.9"," ,6,0727, ","   35.0","6,0701, ","-3.9","6,1029","-3.9","6,1029","-4.4","6,1107","-8.9","6,1120","-8.9","6,1120","-1.7","6,0515","-3.3","6,0413","-5.0","6,0321","-9.4","6,0315","-9.4","6,0315","    3577.2","2","    3577.2","6","    674.1"," ,6","      863"," ,6","      9.29","6","     15.21","6","      3.38","6"
"USC00205601","1911","41.75","-84.216667","247.2","MORENCI, MI US","","","","","       118","6","        78","6","        11","6","       37","","         9","6","","","","","        27","6","       149","6","        26","6","","","","","   178"," ,6,0206, ","   165"," ,6,0206, ","  85.3"," ,6,0814, ","   37.2","6,0527, ","","","","","","","","","","","","","","","","","","","","","    3521.6","6","    3521.6"," ","    998.2"," ,6","      657"," ,6","","","     15.66","6","",""
"USC00205601","1912","41.75","-84.216667","247.2","MORENCI, MI US","    344.8","","     344.8","6","       103","6","        64","6","         4","6","       81","","        12","6","        22","6","       145","6","        59","6","       144","6","         8","6","         1"," ","  -29.4","6,0210, ","   229"," ,6,0315, ","   191"," ,6,0315, ","  40.6"," ,6,0615, ","   34.4","6,0910, ","0.0","6,1008","-2.8","6,1102","-6.1","6,1103","-8.3","6,1128","-11.1","6,1209","-0.6","6,0425","-2.8","6,0408","-5.0","6,0330","-11.7","6,0325","-11.7","6,0325","","","","","    721.0"," ,6","      964"," ,6","      8.38","6","     13.92","6","      2.83","6"
"USC00205601","1913","41.75","-84.216667","247.2","MORENCI, MI US","    468.0","","     468.0","6","       112","6","        73","6","        14","6","       53","","        12","6","         5","6","       130","6","        35","6","       142","6","        36","6","         1"," ","  -21.1","6,0305, ","   152"," ,6,0327,+","   152"," ,6,0226, ","  41.4"," ,6,0616, ","   38.9","6,0902, ","-1.1","6,0923","-2.8","6,1022","-4.4","6,1102","-7.2","6,1208","-10.0","6,1222","-1.7","6,0511","-3.3","6,0421","-11.1","6,0328","-11.1","6,0328","-11.1","6,0328","    3417.5","5","    3417.5","6","    960.0"," ,6","      888"," ,6","     10.26","6","     16.22","6","      4.30","6"
"USC00205601","1914","41.75","-84.216667","247.2","MORENCI, MI US","","","","","        95","6","        65","6","         9","6","","","","","","","","","","","","","","","","","","","","","","","  74.7"," ,6,0512, ","","","","","","","","","","","","","","","","","","","","","","","    3477.4","4","    3477.4"," ","    831.7"," ,6","","","","","","","",""
"USC00205601","1915","41.75","-84.216667","247.2","MORENCI, MI US","    238.4","","     238.4","6","       107","6","        67","6","        10","6","","","","","         7","6","       146","6","        39","6","       134","6","         2","6","","","  -26.1","6,0124, ","","","","","  77.0"," ,6,0707, ","   33.3","6,0914, ","-5.0","6,1010","-5.0","6,1010","-5.0","6,1010","-6.7","6,1130","-8.9","6,1203","-0.6","6,0608","-2.2","6,0510","-4.4","6,0402","-11.1","6,0330","-11.1","6,0330","","","","","    861.8"," ,6","","","      9.03","6","     14.59","6","      3.47","6"
"USC00205601","1916","41.75","-84.216667","247.2","MORENCI, MI US","    481.1","","     481.1","6","       107","6","        65","6","         5","6","       50","","        16","6","         9","6","       150","6","        54","6","       143","6","        40","6","","","  -22.2","6,1215, ","   229"," ,6,1226,+","   152"," ,6,0322, ","  36.6"," ,6,0607, ","   41.1","6,0820, ","-2.2","6,0918","-2.2","6,0918","-4.4","6,1103","-8.9","6,1115","-8.9","6,1115","0.0","6,0520","-5.6","6,0410","-5.6","6,0410","-9.4","6,0324","-9.4","6,0324","    3566.0","0","    3566.0","6","    745.2"," ,6","      848"," ,6","      9.32","6","     15.64","6","      3.00","6"
"USC00205601","1917","41.75","-84.216667","247.2","MORENCI, MI US","    241.8","","     241.8","6","       110","6","        78","6","         9","6","       48","","        13","6","        25","6","       151","6","        49","6","       123","6","        12","6","","","  -30.0","6,1215, ","   152"," ,6,1215,+","   102"," ,6,0313, ","  49.0"," ,6,0606, ","   36.7","6,0731, ","-1.1","6,0911","-3.3","6,1009","-4.4","6,1030","-7.8","6,1119","-11.7","6,1125","0.0","6,0510","-5.6","6,0416","-5.6","6,0416","-8.9","6,0319","-8.9","6,0319","    3934.6","6","    3934.6","6","    935.5"," ,6","      625"," ,6","      7.50","6","     13.59","6","      1.40","6"
