"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00299199","1915","32.63333","-108.33333","1848.6","TYRONE, NM US","        36","6","        31","6","         4","6","        10","6","","","","","","","","","   152"," ,6,0308, ","  35.6"," ,6,0129, ","","","","","","","","","","","","","","","","","","","","","    388.4"," ,6","      820"," ,6","",""
"USC00299199","1916","32.63333","-108.33333","1848.6","TYRONE, NM US","        53","6","        45","6","         4","6","        10","6","","","","","","","","","   229"," ,6,0120, ","  44.5"," ,6,1014, ","","","","","","","","","","","","","","","","","","","","","    534.8"," ,6","     1130"," ,6","",""
"USC00299199","1917","32.63333","-108.33333","1848.6","TYRONE, NM US","        38","6","        16","6","         2","6","","","","","","","","","","","","","  30.5"," ,6,0814, ","","","","","","","","","","","","","","","","","","","","","    216.8"," ,6","","","",""
"USC00299199","1919","32.63333","-108.33333","1848.6","TYRONE, NM US","        56","6","        50","6","         3","6","         5","6","","","","","","","","","   152"," ,6,1128, ","  35.6"," ,6,0907, ","","","","","","","","","","","","","","","","","","","","","    466.5"," ,6","      330"," ,6","",""
"USC00299199","1920","32.63333","-108.33333","1848.6","TYRONE, NM US","        44","6","        41","6","         5","6","","","","","","","","","","","","","  29.2"," ,6,0111, ","","","","","","","","","","","","","","","","","","","","","    396.4"," ,6","","","",""
"USC00299199","1921","32.63333","-108.33333","1848.6","TYRONE, NM US","        33","6","        29","6","         4","6","","","","","","","","","","","","","  35.6"," ,6,0817, ","","","","","","","","","","","","","","","","","","","","","    363.3"," ,6","","","",""
"USC00299199","1922","32.63333","-108.33333","1848.6","TYRONE, NM US","        42","6","        31","6","         1","6","","","","","","","","","","","","","  27.9"," ,6,1014, ","","","","","","","","","","","","","","","","","","","","","    257.7"," ,6","","","",""
"USC00299199","1923","32.63333","-108.33333","1848.6","TYRONE, NM US","        65","6","        55","6","         3","6","         9","6","","","","","","","","","   102"," ,6,1209,+","  44.5"," ,6,1110, ","","","","","","","","","","","","","","","","","","","","","    482.5"," ,6","      559"," ,6","",""
"USC00299199","1927","32.63333","-108.33333","1848.6","TYRONE, NM US","","","","","","","         8","6","","","","","","","","","   152"," ,6,1220, ","","","","","","","","","","","","","","","","","","","","","","","","","      691"," ,6","",""
"USC00299199","1928","32.63333","-108.33333","1848.6","TYRONE, NM US","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00299199","1929","32.63333","-108.33333","1848.6","TYRONE, NM US","","","","","","","","","         0","6","        94","6","","","  -10.0","6,0125,+","","","","","-1.1","6,1024","-2.2","6,1030","-7.8","6,1113","-7.8","6,1113","-8.9","6,1221","0.0","6,0410","-2.2","6,0315","-4.4","6,0314","-6.7","6,0301","-10.0","6,0125","","","","","      7.59","6"
