"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"USC00502327","1917","66.06917","-162.76667","4.6","DEERING, AK US","        17"," ","","","",""
"USC00502327","1918","66.06917","-162.76667","4.6","DEERING, AK US","         4"," ","    9351.1","1","    9351.1","6"
