"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00422429","1921","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","        44","0","        36","0","         1","0","        10","0","","","","","   457"," ,0,1223, ","  27.2"," ,0,0507, ","    376.4"," ,0","     1715"," ,0"
"USC00422429","1924","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","        36","0","        24","0","         0","0","        15","0","","","","","   254"," ,0,0324, ","  15.2"," ,0,0910, ","    166.3"," ,0","     1313"," ,0"
"USC00422429","1926","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","","","","","","","        16","0","","","","","   102"," ,0,1211,+","","","","","      966"," ,0"
"USC00422429","1928","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","        50","0","        36","0","         2","0","        11","0","","","","","   203"," ,0,1114, ","  50.5"," ,0,0513, ","    447.8"," ,0","      776"," ,0"
"USC00422429","1929","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","        47","0","        40","0","         3","0","        18","0","","","","","   165"," ,0,0209, ","  36.6"," ,0,0907, ","    431.7"," ,0","     1301"," ,0"
"USC00422429","1930","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","","","","","","","        12","0","","","","","   254"," ,0,0111, ","","","","","     1689"," ,0"
"USC00422429","1932","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","","","","","","","        22","0","","","","","   178"," ,0,0214, ","","","","","     1881"," ,0"
"USC00422429","1933","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","","","","","","","        25","0","","","","","   152"," ,0,1216,+","","","","","     1580"," ,0"
"USC00422429","1934","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","        42","0","        20","0","         0","0","        15","0","","","","","   152"," ,0,0101, ","  20.6"," ,0,0101, ","    175.8"," ,0","      675"," ,0"
"USC00422429","1935","40.55","-109.95","2075.7","ELKHORN ASHLEY RANGER STATION, UT US","        51","0","        30","0","         0","0","        17","0","","","","","   127"," ,0,0307,+","  17.8"," ,0,0430, ","    248.8"," ,0","     1129"," ,0"
