"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040401","2012","26.294","38.064","623.0","PRINCE ABDULMAJEED BIN ABDULA, SA","         0","S","         1","S","","","","","","","    0.0","S,0121, ","","","0.0","S,0121","","","","","     18.98","S"
"SAM00040401","2013","26.294","38.064","623.0","PRINCE ABDULMAJEED BIN ABDULA, SA","         0","S","         0","S","         0","S","       313","S","       195","S","    5.0","S,0112, ","   47.0","S,0717,+","","","     26.74","S","     33.63","S","     19.84","S"
