"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00102445","1996","53.24","4.9206","4.0","VLIELAND, NL","     32.2","","      32.2","E","         0","E","        86","E","        38","E","        24","E","         0","E","  -11.2","E,0209, ","   30.5","E,0607, ","-0.8","E,1116","-3.2","E,1220","-5.0","E,1226","-7.2","E,1228","-0.7","E,0414","-3.9","E,0401","-4.5","E,0214","-11.2","E,0209","-11.2","E,0209","","","","","      8.30","E","     10.87","E","      5.72","E"
"NLE00102445","1997","53.24","4.9206","4.0","VLIELAND, NL","     82.4","","      82.4","E","         0","E","        32","E","        13","E","        42","E","         0","E","  -11.3","E,0102, ","   30.5","E,0813, ","-0.9","E,1022","-6.1","E,1216","-6.1","E,1216","-7.4","E,1217","-0.1","E,0420","-4.6","E,0127","-4.6","E,0127","-6.7","E,0109","-11.3","E,0102","    3270.1","1","    3270.1","E","      9.97","E","     12.54","E","      7.40","E"
"NLE00102445","1998","53.24","4.9206","4.0","VLIELAND, NL","     12.5","","      12.5","E","         0","E","        21","E","         4","E","        15","E","         0","E","   -5.0","E,0201, ","   26.5","E,0720, ","-1.5","E,1119","-3.5","E,1123","","","","","0.0","E,0203","-5.0","E,0201","-5.0","E,0201","","","","","    2759.9","9","    2759.9","E","     10.41","E","     12.73","E","      8.11","E"
"NLE00102445","1999","53.24","4.9206","4.0","VLIELAND, NL","     59.7","","      59.7","E","         0","E","        14","E","         0","E","        42","E","         0","E","   -5.7","E,0213, ","   29.4","E,0801, ","-0.2","E,1219","","","","","","","-0.7","E,0217","-3.1","E,0214","-5.7","E,0213","","","","","    3000.6","6","    3000.6","E","     11.04","E","     13.60","E","      8.49","E"
"NLE00102445","2000","53.24","4.9206","4.0","VLIELAND, NL","     28.1","","      28.1","E","         0","E","        12","E","         0","E","        23","E","         0","E","   -5.2","E,1222, ","   29.3","E,0619, ","0.0","E,1220","-2.2","E,1221","-5.2","E,1222","","","-0.4","E,0304","-2.5","E,0124","","","","","","","    2662.7","7","    2662.7","E","     10.83","E","     13.19","E","      8.46","E"
"NLE00102445","2001","53.24","4.9206","4.0","VLIELAND, NL","     53.1","","      53.1","E","         0","E","        40","E","         6","E","        31","E","         0","E","   -5.3","E,0118, ","   29.6","E,0706, ","-0.5","E,1209","-2.5","E,1210","","","","","-1.3","E,0414","-3.7","E,0305","-5.3","E,0118","","","","","    3033.3","3","    3033.3","E","     10.41","E","     12.94","E","      7.89","E"
"NLE00102445","2002","53.24","4.9206","4.0","VLIELAND, NL","     66.6","","      66.6","E","         0","E","        28","E","         9","E","        44","E","         0","E","   -6.9","E,1210, ","   28.9","E,0730, ","-2.7","E,1207","-2.7","E,1207","-5.0","E,1208","-6.9","E,1210","-0.9","E,0302","-2.5","E,0217","","","","","","","    2615.0","0","    2615.0","E","     10.74","E","     13.26","E","      8.23","E"
"NLE00102445","2003","53.24","4.9206","4.0","VLIELAND, NL","     76.3","","      76.3","E","         0","E","        38","E","         5","E","        60","E","         0","E","   -6.5","E,0110, ","   29.8","E,0808, ","-2.0","E,1207","-3.3","E,1208","","","","","-1.4","E,0409","-2.6","E,0222","-4.5","E,0217","","","","","    3003.0","0","    3003.0","E","     10.50","E","     13.50","E","      7.51","E"
"NLE00102445","2004","53.24","4.9206","4.0","VLIELAND, NL","     44.3","","      44.3","E","         0","E","        27","E","         1","E","        34","E","         0","E","   -5.6","E,0227, ","   29.2","E,0808, ","-0.5","E,1109","-2.6","E,1226","","","","","-0.6","E,0325","-4.0","E,0229","-5.1","E,0228","","","","","    2878.7","7","    2878.7","E","     10.61","E","     13.23","E","      8.00","E"
"NLE00102445","2006","53.24","4.9206","4.0","VLIELAND, NL","    105.4","","     105.4","E","         0","E","        31","E","         1","E","        58","E","         0","E","   -5.1","E,0129, ","   29.7","E,0704, ","","","","","","","","","-4.3","E,0323","-4.3","E,0323","-4.4","E,0312","","","","","    2987.7","7","    2987.7","E","     11.13","E","     13.68","E","      8.57","E"
