"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00130933","1977","41.7394","-92.44","270.1","BROOKLYN, IA US","","","","","","","","","","","","","","","","","","","","","","","         6"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00130933","1988","41.7394","-92.44","270.1","BROOKLYN, IA US","        76","6","        39","6","         4","6","","","","","        17","6","       150","6","        55","6","       153","6","        52","6","","","","","  -26.7","6,0106, ","","","","","  74.2"," ,6,0823, ","   40.6","6,0817, ","-1.7","6,1004","-3.9","6,1012","-4.4","6,1024","-8.3","6,1030","-12.2","6,1128","-1.1","6,0424","-3.3","6,0419","-4.4","6,0416","-10.6","6,0315","-10.6","6,0315","    471.7"," ,6","","","      9.92","6","     15.88","6","      3.95","6"
"USC00130933","1989","41.7394","-92.44","270.1","BROOKLYN, IA US","        82","6","        56","6","         6","6","","","","","","","","","        61","6","       144","6","        24","6","         1"," ","        22"," ","","","","","","","  52.6"," ,6,0909, ","   38.3","6,0710, ","","","","","","","","","","","","","","","","","","","","","    701.0"," ,6","","","","","     14.35","6","",""
"USC00130933","1990","41.7394","-92.44","270.1","BROOKLYN, IA US","       105","6","        66","6","         9","6","","","","","","","","","","","","","","","         8"," ","         9"," ","","","","","",""," 101.1"," ,6,0617, ","","","","","","","","","","","","","","","","","","","","","","","   1034.8"," ,6","","","","","","","",""
"USC00130933","1991","41.7394","-92.44","270.1","BROOKLYN, IA US","       103","6","        71","6","        10","6","       58","","         8","6","","","","","","","","","","","         6"," ","        21"," ","","","   279"," ,6,0118,+","   152"," ,6,0105, ","  48.8"," ,6,1101, ","","","","","","","","","","","","","","","","","","","","","","","    946.9"," ,6","      559"," ,6","","","","","",""
"USC00130933","1992","41.7394","-92.44","270.1","BROOKLYN, IA US","       108","6","        65","6","        11","6","","","","","","","","","","","","","","","         8"," ","        10"," ","","","","","","","  87.4"," ,6,0725, ","","","","","","","","","","","","","","","","","","","","","","","   1023.5"," ,6","","","","","","","",""
"USC00130933","1993","41.7394","-92.44","270.1","BROOKLYN, IA US","       130","6","        88","6","        19","6","","","","","","","","","","","","","","","         4"," ","        28"," ","","","","","","","  66.0"," ,6,0829, ","","","","","","","","","","","","","","","","","","","","","","","   1335.2"," ,6","","","","","","","",""
"USC00130933","1994","41.7394","-92.44","270.1","BROOKLYN, IA US","        88","6","        56","6","         8","6","","","","","","","","","","","","","","","         7"," ","        19"," ","","","","","","","  42.7"," ,6,0905, ","","","","","","","","","","","","","","","","","","","","","","","    716.6"," ,6","","","","","","","",""
"USC00130933","1995","41.7394","-92.44","270.1","BROOKLYN, IA US","","","","","","","","","","","","","","","","","","","","","         8"," ","        20"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00130933","1996","41.7394","-92.44","270.1","BROOKLYN, IA US","       104","0","        57","0","         7","0","       49","","         7","0","","","","","","","","","","","        16"," ","        28"," ","","","   406"," ,0,0205,+","   203"," ,0,0127, ","  65.0"," ,0,0510, ","","","","","","","","","","","","","","","","","","","","","","","    793.7"," ,0","      648"," ,0","","","","","",""
"USC00130933","1997","41.7394","-92.44","270.1","BROOKLYN, IA US","       106","0","        65","0","         6","0","       77","","        18","0","","","","","","","","","","","        24"," ","        26"," ","","","   279"," ,0,1027, ","   203"," ,0,1027, ","  55.9"," ,0,0621, ","","","","","","","","","","","","","","","","","","","","","","","    801.8"," ,0","     1401"," ,0","","","","","",""
"USC00130933","1998","41.7394","-92.44","270.1","BROOKLYN, IA US","       127","0","        71","0","         9","0","","","         7","0","","","","","","","","","","","        22"," ","        32"," ","","","","","   191"," ,0,0309, ","  63.0"," ,0,1005, ","","","","","","","","","","","","","","","","","","","","","","","   1015.2"," ,0","      729"," ,0","","","","","",""
"USC00130933","1999","41.7394","-92.44","270.1","BROOKLYN, IA US","        94","0","        64","0","         9","0","       56","","         9","0","","","","","","","","","","","        12"," ","        28"," ","","","   305"," ,0,0104,+","   203"," ,0,0309, ","  53.6"," ,0,0812, ","","","","","","","","","","","","","","","","","","","","","","","    821.4"," ,0","      659"," ,0","","","","","",""
"USC00130933","2000","41.7394","-92.44","270.1","BROOKLYN, IA US","       103","0","        69","0","         6","0","       64","","        14","0","","","","","","","","","","","        28"," ","        36"," ","","","   635"," ,0,1231,+","   152"," ,0,1212, ","  38.6"," ,0,0923, ","","","","","","","","","","","","","","","","","","","","","","","    760.2"," ,0","     1171"," ,0","","","","","",""
"USC00130933","2001","41.7394","-92.44","270.1","BROOKLYN, IA US","       102","0","        72","0","        11","0","       79","","         9","0","","","","","","","","","","","        19"," ","        31"," ","","","   686"," ,0,0101, ","   152"," ,0,0316, ","  59.7"," ,0,0908, ","","","","","","","","","","","","","","","","","","","","","","","    946.6"," ,0","      491"," ,0","","","","","",""
"USC00130933","2002","41.7394","-92.44","270.1","BROOKLYN, IA US","        82","0","        53","0","         9","0","       17","","         5","0","","","","","","","","","","","         6"," ","        31"," ","","","   127"," ,0,0305,+","    89"," ,0,0131, ","  94.5"," ,0,1002, ","","","","","","","","","","","","","","","","","","","","","","","    871.0"," ,0","      339"," ,0","","","","","",""
"USC00130933","2003","41.7394","-92.44","270.1","BROOKLYN, IA US","        83","0","        54","0","         6","0","       41","","         8","0","","","","","","","","","","","         3"," ","        24"," ","","","   152"," ,0,0218,+","   127"," ,0,0305, ","  38.6"," ,0,1104, ","","","","","","","","","","","","","","","","","","","","","","","    702.5"," ,0","      645"," ,0","","","","","",""
"USC00130933","2004","41.7394","-92.44","270.1","BROOKLYN, IA US","        97","0","        64","0","         6","0","       41","","         7","0","","","","","","","","","","","        10"," ","        32"," ","","","   254"," ,0,0316,+","   254"," ,0,0316, ","  41.1"," ,0,0828,+","","","","","","","","","","","","","","","","","","","","","","","    791.1"," ,0","      740"," ,0","","","","","",""
"USC00130933","2005","41.7394","-92.44","270.1","BROOKLYN, IA US","        86","0","        53","0","         6","0","       66","","        11","0","","","","","","","","","","","         8"," ","        23"," ","","","   254"," ,0,1210,+","   178"," ,0,0106, ","  47.8"," ,0,0626, ","","","","","","","","","","","","","","","","","","","","","","","    704.4"," ,0","      798"," ,0","","","","","",""
"USC00130933","2006","41.7394","-92.44","270.1","BROOKLYN, IA US","        94","0","        69","0","         8","0","       10","","         2","0","","","","","","","","","","","        11"," ","        33"," ","","","    51"," ,0,0321,+","    51"," ,0,0321,+","  39.9"," ,0,0828, ","","","","","","","","","","","","","","","","","","","","","","","    839.5"," ,0","      143"," ,0","","","","","",""
"USC00130933","2007","41.7394","-92.44","270.1","BROOKLYN, IA US","        93","0","        65","0","        13","0","       78","","        12","0","","","","","","","","","","","         8"," ","        32"," ","","","   203"," ,0,1230,+","   127"," ,0,1223, "," 122.4"," ,0,0719, ","","","","","","","","","","","","","","","","","","","","","","","   1141.5"," ,0","      799"," ,0","","","","","",""
"USC00130933","2008","41.7394","-92.44","270.1","BROOKLYN, IA US","       124","0","        88","0","        14","0","       92","","        18","0","","","","","","","","","","","        13"," ","        33"," ","","","   305"," ,0,0208,+","   203"," ,0,0206, "," 106.9"," ,0,0718, ","","","","","","","","","","","","","","","","","","","","","","","   1343.9"," ,0","     1218"," ,0","","","","","",""
"USC00130933","2009","41.7394","-92.44","270.1","BROOKLYN, IA US","       105","0","        78","0","        15","0","       59","","        13","0","","","","","","","","","","","        11"," ","        19"," ","","","   381"," ,0,1212,+","   279"," ,0,1209, ","  81.0"," ,0,0827, ","","","","","","","","","","","","","","","","","","","","","","","   1216.8"," ,0","     1029"," ,0","","","","","",""
"USC00130933","2010","41.7394","-92.44","270.1","BROOKLYN, IA US","       101","0","        80","0","        17","0","       89","","        11","0","","","","","","","","","","","        13"," ","        36"," ","","","   381"," ,0,0220, ","   127"," ,0,0209, ","  65.5"," ,0,0901, ","","","","","","","","","","","","","","","","","","","","","","","   1275.7"," ,0","      743"," ,0","","","","","",""
"USC00130933","2011","41.7394","-92.44","270.1","BROOKLYN, IA US","        87","K","        66","K","         6","K","","","","","","","","","","","","","","","         4"," ","        25"," ","","","","","","","  78.7"," ,K,0610, ","","","","","","","","","","","","","","","","","","","","","","","    886.6"," ,K","","","","","","","",""
"USC00130933","2012","41.7394","-92.44","270.1","BROOKLYN, IA US","","","","","","","","","","","","","","","","","","","","","        11"," ","        14"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00130933","2015","41.7394","-92.44","270.1","BROOKLYN, IA US","        96","7","        68","7","        15","7","       56","","         9","7","","","","","","","","","","","","","","","","","   330"," ,7,0205,+","   203"," ,7,0201, "," 120.9"," ,7,0809, ","","","","","","","","","","","","","","","","","","","","","","","   1295.8"," ,7","      973"," ,7","","","","","",""
"USC00130933","2018","41.7394","-92.44","270.1","BROOKLYN, IA US","       112","7","        83","7","        18","7","","","","","","","","","","","","","","","","","","","","","","","",""," 170.2"," ,7,0901, ","","","","","","","","","","","","","","","","","","","","","","","   1378.7"," ,7","","","","","","","",""
