"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00347820","1895","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","    986.2","","     986.2","6","","","","","","","         2","6","       103","6","        17","6","       229","6","        85","6","","","  -22.8","6,0207, ","","","   37.8","6,0911, ","-0.6","6,0930","-3.3","6,1020","-4.4","6,1109","-12.8","6,1126","-12.8","6,1126","-6.7","6,0320","-6.7","6,0320","-6.7","6,0320","-6.7","6,0320","-10.0","6,0313","","","","","","","     14.66","6","     22.39","6","      6.93","6"
"USC00347820","1896","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1948.3","3","    1948.3","6","","","","","","","",""
"USC00347820","1900","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","","","","","","","","","","","","","         2","6","       213","6","        84","6","","","","","","","   40.0","6,0822, ","","","","","","","","","","","","","","","","","","","","","    2022.8","8","    2022.8","6","","","","","     23.10","6","",""
"USC00347820","1901","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","","","        45","6","        38","6","         7","6","","","","","         4","6","       203","6","        99","6","","","","","  43.2"," ,6,0731, ","   43.3","6,0824, ","","","","","","","","","","","","","","","","","","","","","","","","","    528.4"," ,6","","","     24.14","6","",""
"USC00347820","1903","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","","","","","","","","","","","","","         4","6","       211","6","        80","6","","","","","","","   38.9","6,0722, ","","","","","","","","","","","","","","","","","","","","","    1875.0","0","    1875.0","6","","","","","     22.33","6","",""
"USC00347820","1909","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00347820","1911","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","   1359.1","","    1359.1","6","        56","6","        47","6","        11","6","         1","6","        68","6","         4","6","       224","6","       107","6","","","  -21.7","6,0103, ","  56.4"," ,6,0908, ","   42.2","6,0821, ","-3.3","6,1102","-3.3","6,1102","-4.4","6,1111","-9.4","6,1112","-9.4","6,1112","-3.3","6,0316","-3.3","6,0316","-5.6","6,0224","-9.4","6,0222","-9.4","6,0222","","","","","    717.7"," ,6","     17.36","6","     23.89","6","     10.83","6"
"USC00347820","1913","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","","","        85","6","        56","6","         9","6","","","","","","","","","","","","","","","  61.0"," ,6,0504, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    844.6"," ,6","","","","","",""
"USC00347820","1915","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","","","","","        79","6","        73","6","         8","6","","","","","         2","6","       218","6","        41","6","","","","","  68.6"," ,6,0818, ","   37.2","6,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","   1022.8"," ,6","","","     21.77","6","",""
"USC00347820","1917","35.666667","-96.666667","274.3","SAC AND FOX AGENCY, OK US","    960.0","","     960.0","6","        46","6","        40","6","         7","6","         1","6","        97","6","        13","6","       220","6","        79","6","","","  -17.8","6,0201, ","  47.0"," ,6,0926, ","   40.6","6,0701, ","-1.1","6,1009","-5.0","6,1019","-5.0","6,1019","-10.0","6,1030","-10.0","6,1030","-1.1","6,0409","-2.2","6,0327","-4.4","6,0308","-6.7","6,0305","-8.9","6,0215","","","","","    599.9"," ,6","     15.25","6","     23.09","6","      7.41","6"
