"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00105955","1906","42.53333","-114.11667","1281.1","MILNER DAM, ID US","    333.1","","     333.1","6","        63","6","        46","6","         1","6","","","         6","6","       163","6","        38","6","       140","6","        47","6","  -21.1","6,0101, ","","","  27.9"," ,6,1204, ","   38.9","6,0816,+","-3.3","6,1013","-3.3","6,1013","-6.1","6,1018","-8.9","6,1022","-8.9","6,1022","-2.2","6,0517","-2.2","6,0517","-5.0","6,0404","-9.4","6,0320","-9.4","6,0320","    3910.2","2","    3910.2","6","    352.2"," ,6","","","      8.86","6","     16.36","6","      1.35","6","",""
"USC00105955","1907","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","        81","6","        56","6","         2","6","","","","","","","","","","","","","","","","","  29.2"," ,6,0201, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    500.6"," ,6","","","","","","","","","",""
"USC00105955","1908","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","        59","6","        26","6","         1","6","","","","","","","","","","","","","","","","","  25.4"," ,6,1003, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    259.7"," ,6","","","","","","","","","",""
"USC00105955","1909","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","","","","","","","","","         2","6","       165","6","","","","","","","  -17.8","6,1222,+","","","","","","","0.0","6,0921","-2.8","6,1022","-5.6","6,1031","-9.4","6,1116","-9.4","6,1116","-1.1","6,0512","-5.6","6,0430","-5.6","6,0430","-6.7","6,0405","-10.0","6,0311","","","","","","","","","","","","","      2.05","6","",""
"USC00105955","1910","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","","","","","","","         8","6","","","","","        35","6","       169","6","        44","6","","","   127"," ,6,0101, ","","","   39.4","6,0713, ","","","","","","","","","","","","","","","","","","","","","    3694.1","1","    3694.1","6","","","      518"," ,6","","","     17.42","6","","","",""
"USC00105955","1911","42.53333","-114.11667","1281.1","MILNER DAM, ID US","    226.6","","     226.6","6","","","","","","","","","         2","6","       171","6","        33","6","       122","6","        33","6","  -18.9","6,0102, ","","","","","   36.7","6,0818, ","-1.1","6,0918","-5.6","6,1021","-5.6","6,1021","-11.7","6,1111","-11.7","6,1111","-1.1","6,0511","-3.3","6,0421","-7.8","6,0420","-7.8","6,0420","-8.9","6,0414","","","","","","","","","      7.94","6","     15.39","6","      0.48","6","",""
"USC00105955","1912","42.53333","-114.11667","1281.1","MILNER DAM, ID US","    165.2","","     165.2","6","        84","6","        47","6","         0","6","        16","6","         3","6","       179","6","        16","6","       113","6","        21","6","  -21.7","6,0108, ","   305"," ,6,0107, ","  22.9"," ,6,0107, ","   36.7","6,0826,+","0.0","6,0905","-6.7","6,1021","-6.7","6,1021","-6.7","6,1021","-8.9","6,1205","-1.1","6,0515","-7.2","6,0421","-7.2","6,0421","-7.2","6,0421","-9.4","6,0304","    3863.2","2","    3863.2","6","    358.5"," ,6","     1359"," ,6","      8.07","6","     14.90","6","      1.23","6","",""
"USC00105955","1913","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3887.2","2","    3887.2","6","","","","","","","","","","","",""
"USC00105955","1914","42.53333","-114.11667","1281.1","MILNER DAM, ID US","    263.3","","     263.3","6","","","","","","","","","        11","6","       157","6","        25","6","       141","6","        30","6","  -24.4","6,1221, ","","","","","   36.7","6,0815,+","0.0","6,0909","-2.2","6,1104","-6.1","6,1107","-6.7","6,1111","-9.4","6,1116","-2.2","6,0606","-2.2","6,0606","-5.0","6,0328","-7.2","6,0322","-9.4","6,0210","","","","","","","","","      9.12","6","     16.76","6","      1.48","6","",""
"USC00105955","1928","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","","","","","","","","","","","","","        25","6","       152","6","        40","6","","","","","","","   40.0","6,0809,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     16.98","6","","","     35210","6"
"USC00105955","1929","42.53333","-114.11667","1281.1","MILNER DAM, ID US","    321.9","","     321.9","6","        42","6","        22","6","         0","6","","","        18","6","       173","6","        34","6","       133","6","        50","6","  -27.2","6,0121, ","","","  14.2"," ,6,0616, ","   40.6","6,0814, ","-1.7","6,0924","-5.6","6,1024","-5.6","6,1024","-9.4","6,1030","-9.4","6,1030","-1.7","6,0603","-5.0","6,0430","-5.0","6,0430","-6.7","6,0331","-8.9","6,0228","","","","","    157.0"," ,6","","","      8.32","6","     16.33","6","      0.31","6","     37221","6"
"USC00105955","1930","42.53333","-114.11667","1281.1","MILNER DAM, ID US","    351.7","","     351.7","6","        65","6","        33","6","         0","6","","","        19","6","       158","6","        51","6","       149","6","        47","6","  -31.1","6,0121, ","","","  22.4"," ,6,1116, ","   40.6","6,0705, ","0.0","6,0924","-3.3","6,1016","-4.4","6,1028","-7.8","6,1114","-12.2","6,1115","0.0","6,0523","-2.8","6,0402","-5.0","6,0327","-7.2","6,0303","-15.0","6,0129","    3323.4","4","    3323.4","6","    281.4"," ,6","","","      8.97","6","     16.98","6","      0.97","6","",""
"USC00105955","1931","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","","","","","","","","","         7"," ","       166","6","","","","","","","  -23.3","6,1215, ","","","","","","","0.0","6,0911","-2.8","6,1030","-5.6","6,1109","-10.6","6,1112","-10.6","6,1112","-0.6","6,0521","-3.3","6,0508","-4.4","6,0421","-6.7","6,0403","-10.6","6,0306","    3804.8","8","    3804.8","6","","","","","","","","","      1.22","6","",""
"USC00105955","1932","42.53333","-114.11667","1281.1","MILNER DAM, ID US","","","","","","","","","","","","","        22","6","       168","6","","","","","","","  -30.0","6,1212, ","","","","","","","0.0","6,0830","-3.9","6,1010","-4.4","6,1019","-7.8","6,1020","-9.4","6,1104","-0.6","6,0605","-3.9","6,0425","-5.0","6,0409","-12.2","6,0313","-12.2","6,0313","","","","","","","","","","","","","     -0.25","6","",""
"USC00105955","1933","42.53333","-114.11667","1281.1","MILNER DAM, ID US","    391.9","","     391.9","6","        62","6","        23","6","         0","6","","","        11","6","       186","6","        23","6","       158","6","        71","6","  -33.3","6,0209, ","","","  12.2"," ,6,0417, ","   41.1","6,0724, ","-2.2","6,1001","-2.2","6,1001","-5.6","6,1022","-8.3","6,1105","-10.0","6,1129","-1.1","6,0528","-2.8","6,0513","-5.6","6,0509","-8.9","6,0413","-8.9","6,0413","    4070.1","1","    4070.1","6","    160.7"," ,6","","","      9.24","6","     18.38","6","      0.09","6","",""
