"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA002403680","1960","68.55","-83.3167","271.0","SARCPA LAKE, NU CA","      0.0","","       0.0","C","","","       181","C","       289","C","       244","C","         1","C","         0","C","  -42.8","C,0131, ","","","   22.8","C,0719, ","0.0","C,0824","-2.2","C,0906","-4.4","C,0909","-8.3","C,0919","-9.4","C,0925","-0.6","C,0729","-2.8","C,0614","-5.6","C,0531","-7.2","C,0527","-8.9","C,0525","   11256.2","2","   11256.2","C","","","    -13.31","C","     -9.96","C","    -16.66","C"
"CA002403680","1961","68.55","-83.3167","271.0","SARCPA LAKE, NU CA","      0.0","","       0.0","C","","","       192","C","       303","C","       267","C","         2","C","         0","C","  -47.8","C,0218, ","","","   22.2","C,0720,+","0.0","C,0822","-2.8","C,0907","-4.4","C,0910","-7.2","C,0919","-8.9","C,0927","-1.1","C,0630","-5.0","C,0624","-5.0","C,0624","-7.2","C,0609","-10.0","C,0608","   11972.4","4","   11972.4","C","","","    -14.73","C","    -11.89","C","    -17.58","C"
"CA002403680","1962","68.55","-83.3167","271.0","SARCPA LAKE, NU CA","      0.0","","       0.0","C","         5","C","       185","C","       283","C","       250","C","         1","C","         0","C","  -47.8","C,0127,+","    76"," ,C,0924, ","   22.2","C,0725, ","-0.6","C,0801","-2.8","C,0821","-5.0","C,0911","-6.7","C,1001","-9.4","C,1004","-0.6","C,0619","-2.2","C,0602","-7.2","C,0528","-7.2","C,0528","-8.9","C,0527","   11594.7","7","   11594.7","C","      280"," ,C","    -13.01","C","     -9.64","C","    -16.38","C"
