"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023104","1949","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   2015.7","","    2015.7","X","        29","X","        18","X","         1","X","        0","","         0","X","         0","X","        26","X","         0","X","       282","X","       158","X","         4"," ","        24"," ","   -5.6","X,0104, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  27.2"," ,X,0806, ","   43.3","X,0714,+","-2.2","X,1212","-2.2","X,1212","","","0.0","X,0216","-2.8","X,0201","-4.4","X,0105","","","","","","","    173.1"," ,X","        0"," ,X","     21.14","X","     28.40","X","     13.88","X","","","",""
"USW00023104","1950","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   1991.0","","    1991.0","X","        20","X","        10","X","         0","X","        0","","         0","X","         0","X","         8","X","         0","X","       309","X","       167","X","         4"," ","        21"," ","   -6.7","X,0105, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  16.8"," ,X,0805, ","   45.0","X,0901,+","0.0","X,1228","","","","","0.0","X,0127","-6.1","X,0106","-6.1","X,0106","-6.7","X,0105","     699.5","5","     699.5","X","     89.3"," ,X","        0"," ,X","     21.99","X","     29.83","X","     14.14","X","","","",""
"USW00023104","1951","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   1877.3","","    1877.3","X","        37","X","        25","X","         4","X","        0","","         0","X","         0","X","        18","X","         0","X","       276","X","       151","X","         5"," ","        17"," ","   -5.0","X,0102, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  67.1"," ,X,0827, ","   44.4","X,0720, ","-1.1","X,1208","-2.2","X,1221","","","-1.1","X,0304","-3.9","X,0103","-5.0","X,0102","","","     771.1","1","     771.1","X","    300.4"," ,X","        0"," ,X","     20.95","X","     28.68","X","     13.22","X","","","",""
"USW00023104","1952","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   2106.9","","    2106.9","X","        41","X","        26","X","         1","X","        0","","         0","X","         0","X","        12","X","         0","X","       258","X","       175","X","         3"," ","        24"," ","   -2.8","X,0105,+","     0"," ,X,1231,+","     0","T,X,0920, ","  35.3"," ,X,1116, ","   43.3","X,0719,+","-1.1","X,1224","","","","","0.0","X,0322","-2.8","X,0105","","","","","     997.1","1","     997.1","X","    232.8"," ,X","        0","T,X","     21.23","X","     28.77","X","     13.68","X","       135","X","      23.2","X"
"USW00023104","1953","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   1917.8","","    1917.8","X","        20","X","         9","X","         1","X","        0","","         0","X","         0","X","        21","X","         0","X","       302","X","       153","X","         2"," ","        17"," ","   -4.4","X,0220, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  44.5"," ,X,0716, ","   45.0","X,0702, ","-0.6","X,1119","-2.2","X,1207","","","-2.8","X,0221","-2.8","X,0221","-4.4","X,0220","","","     845.5","5","     845.5","X","    105.8"," ,X","        0"," ,X","     21.29","X","     29.47","X","     13.11","X","       293","X","      26.4","X"
"USW00023104","1954","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   2077.7","","    2077.7","X","        37","X","        18","X","         2","X","        0","","         0","X","         0","X","        11","X","         0","X","       316","X","       183","X","","","        19"," ","   -5.0","X,1228, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  37.3"," ,X,0924, ","   44.4","X,0728, ","0.0","X,1217","-2.2","X,1227","-5.0","X,1228","0.0","X,0313","","","","","","","     720.5","5","     720.5","X","    215.1"," ,X","        0"," ,X","     22.30","X","     30.47","X","     14.13","X","       158","X","      27.7","X"
"USW00023104","1955","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   1826.0","","    1826.0","X","        45","X","        21","X","         1","X","        0","","         0","X","         0","X","        20","X","         0","X","       292","X","       159","X","         8"," ","        30"," ","   -4.4","X,0204, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  34.5"," ,X,0809, ","   45.6","X,0608, ","","","","","","","-0.6","X,0321","-2.8","X,0223","-4.4","X,0204","","","     897.2","2","     897.2","X","    227.5"," ,X","        0"," ,X","     20.86","X","     29.04","X","     12.68","X","       135","X","      27.8","X"
"USW00023104","1956","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   1954.3","","    1954.3","X","        20","X","         9","X","         0","X","        0","","         0","X","         0","X","        16","X","         0","X","       298","X","       161","X","         6"," ","        17"," ","   -5.6","X,1120, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  18.5"," ,X,0128, ","   44.4","X,0611, ","-0.6","X,1102","-5.6","X,1120","-5.6","X,1120","-1.1","X,0313","-2.2","X,0203","","","","","     738.2","2","     738.2","X","     70.7"," ,X","        0"," ,X","     21.26","X","     29.59","X","     12.92","X","       113","X","      20.6","X"
"USW00023104","1957","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   1909.2","","    1909.2","X","        46","X","        25","X","         0","X","        0","","         0","X","         0","X","         1","X","         0","X","       286","X","       140","X","        14"," ","        23"," ","    0.0","X,0201, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  24.1"," ,X,1031, ","   45.6","X,0624, ","","","","","","","0.0","X,0201","","","","","","","     742.0","0","     742.0","X","    237.6"," ,X","        0"," ,X","     21.67","X","     28.81","X","     14.55","X","","","",""
"USW00023104","1958","33.3","-111.66667","421.2","PHOENIX WILLIAMS GATEWAY AIRPORT, AZ US","   2205.6","","    2205.6","X","        39","X","        16","X","         2","X","        0","","         0","X","         0","X","         5","X","         0","X","       296","X","       161","X","         3"," ","        32"," ","   -1.7","X,0123, ","     0"," ,X,1231,+","     0"," ,X,1231,+","  40.6"," ,X,0912, ","   46.7","X,0709, ","-1.1","X,1118","","","","","0.0","X,0124","","","","","","","     782.4","4","     782.4","X","    188.1"," ,X","        0"," ,X","     22.49","X","     29.65","X","     15.32","X","       270","X","      32.9","X"
