"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013880","1938","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1205.7","","    1205.7","0","        96","0","        54","0","        11","0","        0","","         0","0","         0","0","        24","0","         0","0","       262","0","        55","0","","","","","","","   -6.7","0,1129,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.6"," ,0,0929, ","   37.2","0,0521, ","","","-1.7","0,1125","-2.8","0,1127","-6.1","0,1128","-6.7","0,1129","","","-1.1","0,0302","-2.2","0,0301","-6.7","Z,0129","-6.7","Z,0129","","","    1122.3","3","","","    1122.3","0","","","","","","","","","","","","","","","    959.8"," ,0","","","        0"," ,0","     18.89","0","     24.72","0","     13.06","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1939","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1228.3","","    1228.3","0","       117","0","        77","0","        10","0","        0","","         0","0","         0","0","        37","0","         0","0","       265","0","        64","0","","","","","","","   -6.1","0,0224, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 108.7"," ,0,0616, ","   37.2","0,0621, ","","","0.0","0,1102","-3.3","0,1107","-5.6","0,1215","","","","","-1.1","0,0320","-6.1","0,0224","-6.1","0,0224","","","","","    1002.1","1","","","    1002.1","0","","","","","","","","","","","","","","","   1183.3"," ,0","","","        0"," ,0","     18.62","0","     25.01","0","     12.22","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1940","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","    979.1","","     979.1","0","       110","0","        58","0","        10","0","        0","","         0","0","         0","0","        53","0","         1","0","       243","0","        43","0","","","","","","","  -11.1","0,0128, ","     0","T,0,0125, ","     3"," ,0,0125, "," 200.2"," ,0,0811, ","   38.3","0,0724, ","","","0.0","0,1108","-5.6","0,1116","-5.6","0,1116","","","","","0.0","Z,0327","-2.2","0,0226","-6.7","0,0204","-6.7","0,0204","-10.0","0,0129","    1606.7","7","","","    1606.7","0","","","","","","","","","","","","","","","   1289.1"," ,0","","","        3"," ,0","     16.98","0","     23.31","0","     10.64","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1941","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1271.5","","    1271.5","0","       115","0","        75","0","        19","0","        0","","         0","0","         0","0","        52","0","         0","0","       245","0","        65","0","","","","","","","   -5.6","0,0210, ","     0"," ,0,1231,+","     0","T,0,0314, "," 124.5"," ,0,0627, ","   36.1","0,0729,+","","","-0.6","0,1110","-2.2","0,1112","","","","","","","-0.6","0,0330","-2.2","0,0318","-5.0","0,0221","","","","","    1358.3","3","","","    1358.3","0","","","","","","","","","","","","","","","   1568.2"," ,0","","","        0","T,0","     18.15","0","     24.40","0","     11.90","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1942","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1275.4","","    1275.4","0","       102","0","        69","0","         8","0","        0","","         0","0","         0","0","        50","0","         0","0","       256","0","        75","0","","","","","","","  -10.0","0,0111, ","     0"," ,0,1231,+","     0","T,0,0225, ","  59.2"," ,0,0809, ","   38.9","0,0719, ","","","-1.1","0,1112","-2.2","0,1203","-4.4","0,1214","","","","","0.0","0,0304","-2.8","0,0228","-5.6","0,0221","-10.0","0,0111","-10.0","0,0111","    1183.3","3","","","    1183.3","0","","","","","","","","","","","","","","","    939.8"," ,0","","","        0","T,0","     18.41","0","     24.92","0","     11.90","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1943","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1172.9","","    1172.9","0","        89","0","        61","0","        16","0","        3","","         1","0","         0","0","        48","0","         1","0","       254","0","        55","0","","","","","","","   -9.4","0,0215, ","    51"," ,0,1216,+","    53"," ,0,1215, "," 103.6"," ,0,0818, ","   37.8","0,0606,+","","","0.0","0,1110","-2.8","0,1112","-6.7","0,1215","-6.7","0,1215","-8.9","0,1216","-0.6","0,0324","-5.0","0,0304","-5.0","0,0304","-7.8","0,0217","-9.4","0,0215","    1169.2","2","","","    1169.2","0","","","","","","","","","","","","","","","   1240.4"," ,0","","","       53"," ,0","     17.94","0","     24.12","0","     11.77","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1944","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1198.6","","    1198.6","0","       113","0","        71","0","        12","0","        0","","         0","0","         0","0","        34","0","         0","0","       250","0","        61","0","","","","","","","   -7.8","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 146.6"," ,0,1019, ","   39.4","0,0624, ","","","-0.6","0,1107","-3.3","0,1201","-5.0","0,1203","-7.8","0,1215","","","-1.7","0,0406","-3.9","0,0213","-5.6","0,0110","","","","","    1214.3","3","","","    1214.3","0","","","","","","","","","","","","","","","   1209.5"," ,0","","","        0"," ,0","     18.17","0","     24.24","0","     12.11","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1945","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1261.4","","    1261.4","0","       133","0","        86","0","        17","0","        0","","         0","0","         0","0","        30","0","         0","0","       263","0","        51","0","        88"," ","","","        35"," ","   -6.7","0,1217, ","     0"," ,Z,1231,+","     0"," ,0,1231,+"," 157.2"," ,0,0917, ","   36.7","0,0601, ","","","0.0","0,1105","-3.9","0,1124","-6.7","0,1217","-6.7","0,1217","","","0.0","0,0210","-3.9","0,0203","-5.6","0,0202","","","","","    1156.7","7","","","    1156.7","0","","","","","","","","","","","","","","","   1586.4"," ,0","","","        0"," ,0","     18.77","0","     24.50","0","     13.04","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1946","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1139.2","","    1139.2","0","       117","0","        76","0","        11","0","        0","","         0","0","         0","0","        23","0","         0","0","       285","0","        47","0","       207"," ","","","        65"," ","   -5.6","0,0102, ","     0"," ,Z,1231,+","     0"," ,0,1231,+","  92.5"," ,0,0617, ","   36.1","0,0621,+","","","-1.7","0,1203","-2.2","0,1223","","","","","","","0.0","0,0225","-2.2","0,0203","-5.6","0,0102","","","","","    1082.5","5","","","    1082.5","0","","","","","","","","","","","","","","","   1269.9"," ,0","","","        0"," ,0","     19.03","0","     25.13","0","     12.93","0","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1947","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","   1155.0","","    1155.0","0","       139","0","        95","0","        16","0","        0","","         0","0","         0","0","        38","0","         0","0","       242","0","        48","0","       233"," ","","","        78"," ","   -7.2","0,0211,+","     0"," ,Z,1231,+","     0","T,0,0228, ","  79.2"," ,0,0924, ","   37.2","0,0609, ","","","-0.6","0,1127","-2.2","0,1201","-4.4","0,1202","","","","","-2.2","0,0327","-2.2","0,0327","-4.4","0,0326","-7.2","0,0211","","","    1108.7","7","","","    1108.7","0","","","","","","","","","","","","","","","   1539.7"," ,0","","","        0","T,0","     18.00","0","     23.77","0","     12.22","0","","","","","","","","","","","","","","","","","","","",""
