"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00260480","1981","38.45","-114.33333","2072.9","ATLANTA MINE, NV US","","","","","","","","","","","","","","","","","        17"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00260480","1982","38.45","-114.33333","2072.9","ATLANTA MINE, NV US","","","","","","","","","","","","","","","","","         5"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00260480","1984","38.45","-114.33333","2072.9","ATLANTA MINE, NV US","     75.4","","      75.4","0","         6","0","        17","0","       219","0","        16","0","       142","0","        12","0","","","  -25.0","0,0118, ","   117"," ,0,1122, ","   33.9","0,0707,+","0.0","0,0923","-3.9","0,0924","-4.4","0,1014","-10.6","0,1015","-10.6","0,1015","-1.1","0,0611","-3.9","0,0610","-5.0","0,0508","-7.8","0,0429","-9.4","0,0428","    405.2"," ,0","      421"," ,0","      6.85","0","     16.38","0","     -2.68","0"
