"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"SWE00139933","1948","63.05","16.54","170.0","BISPGARDEN, SW","      165","","   810"," ,E,0209,+"
"SWE00139933","1949","63.05","16.54","170.0","BISPGARDEN, SW","      143","","   390"," ,E,0323, "
"SWE00139933","1950","63.05","16.54","170.0","BISPGARDEN, SW","      156","","   580"," ,E,0109, "
"SWE00139933","1951","63.05","16.54","170.0","BISPGARDEN, SW","      171","","   630"," ,E,0224,+"
"SWE00139933","1952","63.05","16.54","170.0","BISPGARDEN, SW","      169","","   580"," ,E,1215, "
"SWE00139933","1954","63.05","16.54","170.0","BISPGARDEN, SW","      152","","   560"," ,E,0308,+"
"SWE00139933","1956","63.05","16.54","170.0","BISPGARDEN, SW","      182","","   870"," ,E,0220, "
"SWE00139933","1957","63.05","16.54","170.0","BISPGARDEN, SW","      147","","   670"," ,E,0322,+"
"SWE00139933","1958","63.05","16.54","170.0","BISPGARDEN, SW","      161","","   750"," ,E,0317,+"
"SWE00139933","1959","63.05","16.54","170.0","BISPGARDEN, SW","      154","","   800"," ,E,0124, "
"SWE00139933","1960","63.05","16.54","170.0","BISPGARDEN, SW","      166","","   600"," ,E,1213, "
