"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00088029","1882","-36.9579","144.6935","294.0","HEATHCOTE, AS","        88","a","        53","a","         4","a","","","","","","","","","","","","","  51.6"," ,a,1023, ","","","","","","","","","","","    585.7"," ,a","","","","","",""
"ASN00088029","1883","-36.9579","144.6935","294.0","HEATHCOTE, AS","        94","a","        59","a","         7","a","","","","","","","","","","","",""," 179.1"," ,a,0210, ","","","","","","","","","","","    839.4"," ,a","","","","","",""
"ASN00088029","1885","-36.9579","144.6935","294.0","HEATHCOTE, AS","        68","a","        47","a","         4","a","","","","","","","","","","","","","  47.0"," ,a,1221, ","","","","","","","","","","","    505.4"," ,a","","","","","",""
"ASN00088029","1886","-36.9579","144.6935","294.0","HEATHCOTE, AS","        71","a","        60","a","         5","a","","","","","","","","","","","","","  46.2"," ,a,0108, ","","","","","","","","","","","    625.9"," ,a","","","","","",""
"ASN00088029","1887","-36.9579","144.6935","294.0","HEATHCOTE, AS","        59","a","        58","a","        11","a","","","","","","","","","","","","","  45.5"," ,a,1223, ","","","","","","","","","","","    909.3"," ,a","","","","","",""
"ASN00088029","1889","-36.9579","144.6935","294.0","HEATHCOTE, AS","        44","a","        43","a","         8","a","","","","","","","","","","","",""," 104.1"," ,a,0531, ","","","","","","","","","","","    790.7"," ,a","","","","","",""
"ASN00088029","1890","-36.9579","144.6935","294.0","HEATHCOTE, AS","        83","a","        61","a","         6","a","","","","","","","","","","","","","  51.1"," ,a,0318, ","","","","","","","","","","","    768.1"," ,a","","","","","",""
"ASN00088029","1891","-36.9579","144.6935","294.0","HEATHCOTE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    557.0"," ,a","","","","","",""
"ASN00088029","1893","-36.9579","144.6935","294.0","HEATHCOTE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    575.8"," ,a","","","","","",""
"ASN00088029","1895","-36.9579","144.6935","294.0","HEATHCOTE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    435.3"," ,a","","","","","",""
"ASN00088029","1896","-36.9579","144.6935","294.0","HEATHCOTE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    406.6"," ,a","","","","","",""
"ASN00088029","1897","-36.9579","144.6935","294.0","HEATHCOTE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    416.4"," ,a","","","","","",""
"ASN00088029","1899","-36.9579","144.6935","294.0","HEATHCOTE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    371.5"," ,a","","","","","",""
"ASN00088029","1902","-36.9579","144.6935","294.0","HEATHCOTE, AS","        44","a","        28","a","         2","a","","","","","","","","","","","","","  34.3"," ,a,1217, ","","","","","","","","","","","    313.4"," ,a","","","","","",""
"ASN00088029","1903","-36.9579","144.6935","294.0","HEATHCOTE, AS","        84","a","        56","a","         4","a","","","","","","","","","","","","","  63.8"," ,a,1013, ","","","","","","","","","","","    641.5"," ,a","","","","","",""
