"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"BPW00080601","1949","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","","","","","","","         1"," ","        54"," ","","","","","","","",""
"BPW00080601","1994","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","       148","S","        88","S","        18","S","","","","","","","","","",""," 109.0"," ,S,0324, ","","","   1495.8"," ,S","",""
"BPW00080601","1995","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","       137","S","        73","S","        11","S","","","","","","","","","",""," 131.1"," ,S,1026, ","","","   1200.6"," ,S","",""
"BPW00080601","1996","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","         0","S","       333","S","        71","S","","","","","","","   34.8","S,0117, ","","","     31.32","S"
"BPW00080601","2013","-9.43333","160.05","10.1","GUADALCANAL ARMY AIR FIELD, BP","","","","","","","         0","S","       334","S","       109","S","","","","","","","   34.0","S,1217,+","","","     31.63","S"
