"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00101636","1949","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","","","","","","","","","","","","","","","","","","","","","         6"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00101636","1950","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       142","0","        85","0","         2","0","","","        49","0","","","","","","","","","","","        41"," ","        15"," ","","","","","   254"," ,0,0127, ","  40.4"," ,0,0317, ","","","","","","","","","","","","","","","","","","","","","","","    818.3"," ,0","     4185"," ,0","","","","","",""
"USC00101636","1951","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       129","0","        90","0","         8","0","      146","","        48","0","","","","","","","","","","","        17"," ","        21"," ","","","  1270"," ,0,0310,+","   312"," ,0,1218, ","  34.3"," ,0,0428, ","","","","","","","","","","","","","","","","","","","","","","","    969.9"," ,0","     4877"," ,0","","","","","",""
"USC00101636","1952","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","        99","0","        66","0","         0","0","      162","","        51","0","","","","","","","","","","","         9"," ","        24"," ","","","  1473"," ,0,0311, ","   406"," ,0,1202, ","  21.6"," ,0,1207, ","","","","","","","","","","","","","","","","","","","","","","","    553.2"," ,0","     5147"," ,0","","","","","",""
"USC00101636","1953","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       129","0","        85","0","         6","0","      145","","        40","0","","","","","","","","","","","        24"," ","        28"," ","","","   991"," ,0,0218,+","   279"," ,0,1122, ","  53.6"," ,0,0118, ","","","","","","","","","","","","","","","","","","","","","","","    847.9"," ,0","     3616"," ,0","","","","","",""
"USC00101636","1954","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       108","0","        67","0","         3","0","      123","","        30","0","","","","","","","","","","","        31"," ","        23"," ","","","  1016"," ,0,0127, ","   203"," ,0,0127, ","  25.9"," ,0,0123,+","","","","","","","","","","","","","","","","","","","","","","","    649.6"," ,0","     2667"," ,0","","","","","",""
"USC00101636","1955","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       147","0","        86","0","         6","0","      170","","        61","0","","","","","","","","","","","        15"," ","        25"," ","","","   889"," ,0,0324,+","   241"," ,0,1209, ","  57.9"," ,0,1222, ","","","","","","","","","","","","","","","","","","","","","","","    915.2"," ,0","     4666"," ,0","","","","","",""
"USC00101636","1956","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       119","0","        71","0","         5","0","      168","","        45","0","","","","","","","","","","","        27"," ","        28"," ","","","  1219"," ,0,0220, ","   356"," ,0,0225, ","  43.4"," ,0,0115, ","","","","","","","","","","","","","","","","","","","","","","","    768.3"," ,0","     3791"," ,0","","","","","",""
"USC00101636","1957","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       124","0","        73","0","         4","0","      150","","        39","0","","","","","","","","","","","        43"," ","        28"," ","","","  1118"," ,0,0201, ","   368"," ,0,1219,+","  30.7"," ,0,1219, ","","","","","","","","","","","","","","","","","","","","","","","    775.6"," ,0","     3837"," ,0","","","","","",""
"USC00101636","1958","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       119","0","        73","0","         3","0","      160","","        36","0","","","","","","","","","","","        52"," ","        33"," ","","","  1270"," ,0,0215, ","   183"," ,0,0111, ","  38.9"," ,0,1119, ","","","","","","","","","","","","","","","","","","","","","","","    794.8"," ,0","     2944"," ,0","","","","","",""
"USC00101636","1959","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       103","0","        62","0","         2","0","      113","","        25","0","","","","","","","","","","","        53"," ","        15"," ","","","   787"," ,0,0214, ","   193"," ,0,0127, ","  34.5"," ,0,0820, ","","","","","","","","","","","","","","","","","","","","","","","    678.9"," ,0","     2316"," ,0","","","","","",""
"USC00101636","1960","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       108","0","        73","0","         1","0","      146","","        37","0","","","","","","","","","","","        31"," ","        13"," ","","","   965"," ,0,0304,+","   254"," ,0,0209, ","  27.7"," ,0,1124, ","","","","","","","","","","","","","","","","","","","","","","","    634.5"," ,0","     3052"," ,0","","","","","",""
"USC00101636","1961","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       121","0","        63","0","         3","0","      148","","        30","0","","","","","","","","","","","        46"," ","        24"," ","","","   737"," ,0,1219, ","   226"," ,0,1217, ","  39.6"," ,0,1123, ","","","","","","","","","","","","","","","","","","","","","","","    663.4"," ,0","     2885"," ,0","","","","","",""
"USC00101636","1962","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       103","0","        73","0","         1","0","      105","","        26","0","","","","","","","","","","","        51"," ","        16"," ","","","  1041"," ,0,0303, ","   297"," ,0,0120, ","  26.4"," ,0,1014, ","","","","","","","","","","","","","","","","","","","","","","","    619.4"," ,0","     2188"," ,0","","","","","",""
"USC00101636","1963","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       101","0","        61","0","         6","0","       83","","        22","0","","","","","","","","","","","        16"," ","        27"," ","","","   432"," ,0,1231,+","   290"," ,0,1123, ","  33.3"," ,0,1108,+","","","","","","","","","","","","","","","","","","","","","","","    712.1"," ,0","     1973"," ,0","","","","","",""
"USC00101636","1964","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       103","0","        71","0","         7","0","      162","","        48","0","","","","","","","","","","","","","        18"," ","","","  1219"," ,0,0313,+","   333"," ,0,0106, ","  53.6"," ,0,1222, ","","","","","","","","","","","","","","","","","","","","","","","    925.5"," ,0","     5115"," ,0","","","","","",""
"USC00101636","1965","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","        78","0","        63","0","         1","0","      142","","        34","0","","","","","","","","","","","","","        17"," ","","","   940"," ,0,0127,+","   251"," ,0,0326, ","  31.5"," ,0,0127, ","","","","","","","","","","","","","","","","","","","","","","","    582.6"," ,0","     3133"," ,0","","","","","",""
"USC00101636","1966","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","        74","0","        48","0","         0","0","      137","","        30","0","","","","","","","","","","","","","        11"," ","","","   686"," ,0,0214,+","   112"," ,0,0104, ","  21.6"," ,0,0103, ","","","","","","","","","","","","","","","","","","","","","","","    421.1"," ,0","     1998"," ,0","","","","","",""
"USC00101636","1967","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       106","0","        69","0","         2","0","      130","","        37","0","","","","","","","","","","","","","        38"," ","","","   508"," ,0,0218,+","   185"," ,0,1218, ","  26.4"," ,0,1028, ","","","","","","","","","","","","","","","","","","","","","","","    617.4"," ,0","     2130"," ,0","","","","","",""
"USC00101636","1968","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","","","","","","","","","","","","","","","","","","","","","","","        12"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00101636","1969","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","","","","","","","","","","","","","","","","","","","","","","","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00101636","1970","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00101636","1971","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","        79","0","        62","0","         6","0","      159","","        45","0","","","","","","","","","","","","","        10"," ","","","  1194"," ,0,0115, ","   305"," ,0,1126, ","  35.8"," ,0,0719, ","","","","","","","","","","","","","","","","","","","","","","","    812.8"," ,0","     4356"," ,0","","","","","",""
"USC00101636","1972","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","","","","","","","","","","","","","","","","","","","","","","","        20"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00101636","1973","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","        74","0","        63","0","         3","0","      138","","        34","0","","","","","","","","","","","","","        11"," ","","","   940"," ,0,1231,+","   340"," ,0,1125, ","  32.0"," ,0,0416, ","","","","","","","","","","","","","","","","","","","","","","","    665.4"," ,0","     3328"," ,0","","","","","",""
"USC00101636","1974","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","","","","","","","","","","","","","","","","","","","","","","","         8"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00101636","1975","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","       109","0","        77","0","         4","0","      174","","        46","0","","","","","","","","","","","","","        16"," ","","","  1168"," ,0,0220, ","   290"," ,0,0318, ","  30.0"," ,0,0621, ","","","","","","","","","","","","","","","","","","","","","","","    763.1"," ,0","     4308"," ,0","","","","","",""
"USC00101636","1976","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","        73","0","        46","0","         2","0","      131","","        25","0","","","","","","","","","","","","","         9"," ","","","  1143"," ,0,0219,+","   315"," ,0,0105, ","  35.3"," ,0,0105, ","","","","","","","","","","","","","","","","","","","","","","","    453.9"," ,0","     2458"," ,0","","","","","",""
"USC00101636","1977","43.89972","-115.90466","1288.1","CENTERVILLE COOPER DR, ID US","","","","","","","","","","","","","","","","","","","","","","","","","","","        15"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
