"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00518808","1905","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       146","6","        39","6","         1","6","","","  38.1"," ,6,1219, ","    367.4"," ,6"
"USC00518808","1906","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       151","6","        46","6","         4","6","","","  92.7"," ,6,1129, ","    648.4"," ,6"
"USC00518808","1907","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       117","6","        58","6","         5","6","","","  97.0"," ,6,0203, ","    802.2"," ,6"
"USC00518808","1908","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","        97","6","        30","6","         4","6","","","  73.7"," ,6,0315, ","    425.8"," ,6"
"USC00518808","1909","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       163","6","        45","6","         3","6","","","  40.1"," ,6,1226, ","    475.0"," ,6"
"USC00518808","1910","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       124","6","        46","6","         4","6","","","  66.3"," ,6,0910, ","    557.2"," ,6"
"USC00518808","1911","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       145","6","        48","6","         5","6","","","  60.7"," ,6,0206, ","    581.9"," ,6"
"USC00518808","1912","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       115","6","        26","6","         2","6","","","  35.1"," ,6,0223, ","    299.6"," ,6"
"USC00518808","1913","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       113","6","        48","6","         3","6","","","  44.5"," ,6,0604, ","    427.8"," ,6"
"USC00518808","1914","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","        97","6","        37","6","         6","6","","","  50.8"," ,6,0329, ","    500.1"," ,6"
"USC00518808","1915","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       142","6","        33","6","         6","6","",""," 100.3"," ,6,1228, ","    596.5"," ,6"
"USC00518808","1916","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       169","6","        61","6","        12","6","         1"," ","  78.7"," ,6,0307, ","    975.0"," ,6"
"USC00518808","1917","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       161","6","        57","6","         5","6","",""," 218.9"," ,6,0320, ","    953.1"," ,6"
"USC00518808","1920","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       144","6","        43","6","         5","6","",""," 114.3"," ,6,1224, ","    613.5"," ,6"
"USC00518808","1921","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       126","6","        49","6","         6","6","","","  53.3"," ,6,1222, ","    648.0"," ,6"
"USC00518808","1922","21.3","-157.86667","3.0","U S NAVAL STATION, HI US","       108","6","        50","6","         3","6","","","  51.1"," ,6,1022, ","    525.5"," ,6"
