"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1MOFSA065","2007","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       107","N","        67","N","         9","N","","","         3","N","","","    76"," ,N,1216, ","  63.2"," ,N,1113, ","    912.7"," ,N","      188"," ,N"
"US1MOFSA065","2008","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       125","N","        83","N","        17","N","","","         4","N","","","   122"," ,N,0305, "," 131.3"," ,N,0904, ","   1519.8"," ,N","      290"," ,N"
"US1MOFSA065","2009","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       135","N","        82","N","        14","N","        9","","         2","N","   165"," ,N,0301, ","   163"," ,N,0301, ","  79.2"," ,N,0616, ","   1470.6"," ,N","      295"," ,N"
"US1MOFSA065","2010","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       115","N","        66","N","        11","N","       32","","         6","N","   178"," ,N,0209,+","   155"," ,N,0206, ","  76.5"," ,N,0910, ","   1051.4"," ,N","      651"," ,N"
"US1MOFSA065","2011","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       131","N","        86","N","        19","N","       19","","         4","N","   114"," ,N,0205, ","    71"," ,N,0205, ","  44.2"," ,N,0805, ","   1421.5"," ,N","      301"," ,N"
"US1MOFSA065","2012","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","        96","N","        49","N","        12","N","        4","","         2","N","   102"," ,N,0214, ","   104"," ,N,0214, ","  49.3"," ,N,1014, ","    775.5"," ,N","      148"," ,N"
"US1MOFSA065","2013","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       129","N","        79","N","        19","N","       15","","         6","N","   165"," ,N,1207, ","   117"," ,N,1206, ","  73.4"," ,N,0531, ","   1333.1"," ,N","      424"," ,N"
"US1MOFSA065","2014","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       113","N","        64","N","         7","N","       20","","         4","N","   279"," ,N,0106, ","   218"," ,N,0106, ","  53.1"," ,N,1010, ","    835.6"," ,N","      463"," ,N"
"US1MOFSA065","2015","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       123","N","        83","N","        15","N","       22","","         7","N","   216"," ,N,0301, ","   117"," ,N,0301, ","  87.6"," ,N,1118, ","   1433.8"," ,N","      442"," ,N"
"US1MOFSA065","2016","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       119","N","        75","N","        11","N","        2","","         1","N","    76"," ,N,0224, ","    71"," ,N,0224, ","  67.3"," ,N,1020, ","   1038.6"," ,N","      125"," ,N"
"US1MOFSA065","2017","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       104","N","        67","N","        16","N","        5","","         0","N","    25"," ,N,0313,+","    20"," ,N,0313, "," 129.3"," ,N,0430, ","   1180.6"," ,N","       66"," ,N"
"US1MOFSA065","2018","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       123","N","        75","N","        17","N","        5","","         2","N","    64"," ,N,1115, ","    64"," ,N,1115, ","  68.3"," ,N,0224, ","   1380.8"," ,N","      146"," ,N"
"US1MOFSA065","2019","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       140","N","       102","N","        11","N","       13","","         4","N","    76"," ,N,0216, ","    76"," ,N,0216, ","  65.0"," ,N,0718, ","   1369.4"," ,N","      224"," ,N"
"US1MOFSA065","2020","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       131","N","        82","N","        16","N","        1","","         1","N","    25"," ,N,0124, ","    30"," ,N,0124, ","  79.2"," ,N,0704, ","   1358.5"," ,N","       50"," ,N"
"US1MOFSA065","2021","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       111","N","        75","N","        13","N","       12","","         4","N","   152"," ,N,0218,+","   112"," ,N,0216, ","  65.3"," ,N,0312, ","   1067.0"," ,N","      281"," ,N"
"US1MOFSA065","2022","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       107","N","        75","N","        16","N","       19","","         6","N","   140"," ,N,0204, ","   114"," ,N,0204, ","  72.1"," ,N,0217, ","   1243.6"," ,N","      433"," ,N"
"US1MOFSA065","2023","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       100","N","        67","N","        11","N","        3","","         1","N","   127"," ,N,0125, ","   124"," ,N,0125, ","  69.6"," ,N,0324, ","   1009.4"," ,N","      139"," ,N"
"US1MOFSA065","2024","37.66047","-91.55348","344.1","SALEM 1.8 NW, MO US","       125","N","        77","N","        13","N","        0","","         0","N","    13"," ,N,0117,+","    10"," ,N,0106, "," 229.9"," ,N,1105, ","   1560.0"," ,N","       37"," ,N"
