"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"CA006163360","2002","44.4333","-78.9","290.0","HARTLEY, ON CA","       158","C","        98","C","         5","C","      107","","        39","C","        67","C","       113","C","         5","C","   240"," ,C,0122,+","   160"," ,C,0326, ","  41.0"," ,C,0611, ","   33.0","C,0910,+","    3952.1","1","    3952.1","C","    998.2"," ,C","     2905"," ,C","     12.04","C"
"CA006163360","2004","44.4333","-78.9","290.0","HARTLEY, ON CA","       151","C","       101","C","         1","C","","","        31","C","","","","","","","","","   120"," ,C,1210,+","  47.0"," ,C,0523, ","","","","","","","    860.8"," ,C","     2045"," ,C","",""
