"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00412758","1889","26.298","-98.1575","29.3","EDINBURG, TX US","","","","","        56","6","        44","6","         9","6","","","","","","","","","","","","","","","","","","","","","","","  67.3"," ,6,0421, ","","","","","","","","","","","","","","","","","","","    782.4"," ,6","","","","","","","",""
"USC00412758","1890","26.298","-98.1575","29.3","EDINBURG, TX US","","","","","        34","6","        21","6","         6","6","","","","","","","","","","","","","","","","","","","","","","","  99.1"," ,6,1019, ","","","","","","","","","","","","","","","","","","","    495.7"," ,6","","","","","","","",""
"USC00412758","1949","26.298","-98.1575","29.3","EDINBURG, TX US","","","","","        72","0","        33","0","         6","0","","","","","","","","","","","","","","","","","","","","","","","  50.8"," ,0,0422, ","","","","","","","","","","","","","","","","","","","    420.9"," ,0","","","","","","","",""
"USC00412758","2006","26.298","-98.1575","29.3","EDINBURG, TX US","   2516.3","","    2516.3","0","        56","0","        31","0","        12","0","        0","","         0","0","         0","0","         0","0","         0","0","       338","0","       183","0","","","    2.8","0,0220,+","     0"," ,0,1231,+","     0"," ,0,1231,+"," 106.2"," ,0,0924, ","   39.4","0,0511, ","","","","","","","","","","","","","     282.9","9","     282.9","0","    740.6"," ,0","        0"," ,0","     24.52","0","     30.43","0","     18.60","0"
"USC00412758","2007","26.298","-98.1575","29.3","EDINBURG, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     382.9","9","     382.9","0","","","","","","","","","",""
"USC00412758","2008","26.298","-98.1575","29.3","EDINBURG, TX US","   2220.3","","    2220.3","0","        56","0","        33","0","        11","0","        0","","         0","0","         0","0","         0","0","         0","0","       339","0","       148","0","        10"," ","    1.1","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.4"," ,0,0723, ","   38.3","0,0620,+","","","","","","","","","","","","","","","","","    697.7"," ,0","        0"," ,0","     23.80","0","     29.92","0","     17.69","0"
"USC00412758","2009","26.298","-98.1575","29.3","EDINBURG, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        38"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00412758","2010","26.298","-98.1575","29.3","EDINBURG, TX US","   2155.7","","    2155.7","0","        56","0","        38","0","         9","0","        0","","         0","0","         0","0","         3","0","         0","0","       313","0","       152","0","        26"," ","   -3.3","0,0110, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 176.5"," ,0,0701, ","   37.8","0,0902,+","","","","","-0.6","0,0111","-3.3","0,0110","","","","","","","","","    778.2"," ,0","        0"," ,0","     23.19","0","     28.97","0","     17.42","0"
"USC00412758","2011","26.298","-98.1575","29.3","EDINBURG, TX US","   2458.4","","    2458.4","7","        26","7","        14","7","         3","7","","","","","         0","7","         8","7","         1","7","       312","7","       184","7","","","   -2.8","7,0205,+","","","","","  61.0"," ,7,0623, ","   40.6","7,0910, ","","","","","0.0","K,0212","-2.8","K,0205","","","","","     378.1","1","     378.1","7","    252.0"," ,7","","","     24.26","7","     30.32","7","     18.19","7"
"USC00412758","2021","26.298","-98.1575","29.3","EDINBURG, TX US","   2417.7","","    2417.7","7","        41","7","        28","7","        10","7","        0","","         0","7","         0","7","         6","7","         0","7","       328","7","       165","7","","","   -6.7","7,0216, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  71.1"," ,7,0707, ","   37.8","7,0907,+","","","","","0.0","7,0220","-3.9","7,0218","-6.7","7,0216","-6.7","7,0216","","","","","    589.7"," ,7","        0"," ,7","     24.09","7","     29.77","7","     18.40","7"
"USC00412758","2022","26.298","-98.1575","29.3","EDINBURG, TX US","   2364.3","","    2364.3","7","        41","7","        25","7","         7","7","        0","","         0","7","         0","7","         8","7","         0","7","       290","7","       171","7","","","   -2.8","7,1223, ","     0"," ,7,1231,+","     0"," ,7,1231,+","  55.9"," ,7,0524, ","   40.6","7,0407, ","-2.8","7,1223","-2.8","7,1223","-1.7","7,0206","","","","","","","     440.4","4","     440.4","7","    463.4"," ,7","        0"," ,7","     23.42","7","     29.19","7","     17.64","7"
"USC00412758","2024","26.298","-98.1575","29.3","EDINBURG, TX US","","","","","        50","7","        35","7","         8","7","","","","","         0","7","         4","7","","","","","","","","","   -2.8","7,0118,+","","","","","  72.1"," ,7,0620, ","","","","","","","-2.8","7,0118","-2.8","7,0118","","","","","","","","","    565.5"," ,7","","","","","","","     19.58","7"
