"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00315965","1898","36.366667","-81.1","594.4","MOXLEY, NC US","    723.7","","     723.7","6","       124","6","        87","6","        16","6","","","         0","6","       105","6","         1","6","       192","6","        45","6","","","  -15.6","6,0203, ","",""," 134.9"," ,6,0922, ","   37.2","6,0702, ","-1.1","6,1016","-3.9","6,1028","-8.9","6,1125","-8.9","6,1125","-8.9","6,1125","0.0","6,0428","-2.2","6,0408","-6.7","6,0406","-6.7","6,0406","-10.6","6,0205","    2126.5","5","    2126.5","6","   1482.3"," ,6","","","     13.97","6","     20.81","6","      7.12","6"
"USC00315965","1899","36.366667","-81.1","594.4","MOXLEY, NC US","    756.9","","     756.9","6","       121","6","        97","6","        17","6","","","         2","6","       105","6","         8","6","       193","6","        50","6","","","  -22.8","6,0214, ","","","  50.8"," ,6,0726, ","   36.7","6,0822,+","-1.1","6,0927","-2.8","6,1001","-4.4","6,1113","-9.4","6,1205","-9.4","6,1205","0.0","6,0417","-5.0","6,0411","-5.0","6,0411","-8.9","6,0308","-8.9","6,0308","    2408.8","8","    2408.8","6","   1303.1"," ,6","","","     13.95","6","     21.02","6","      6.87","6"
"USC00315965","1900","36.366667","-81.1","594.4","MOXLEY, NC US","","","","","       129","6","        88","6","        21","6","","","","","","","         7","6","       200","6","        62","6","","","","","",""," 160.0"," ,6,1023, ","   37.8","6,0811,+","","","","","","","","","","","","","","","","","","","","","    2367.9","9","    2367.9","6","   1705.7"," ,6","","","","","     21.48","6","",""
"USC00315965","1901","36.366667","-81.1","594.4","MOXLEY, NC US","    577.1","","     577.1","6","       132","6","        98","6","        27","6","","","         0","6","       119","6","         5","6","       183","6","        31","6","","","  -15.6","6,1221, ","",""," 146.1"," ,6,0521, ","   36.7","6,0724, ","-0.6","6,1005","-3.9","6,1030","-4.4","6,1106","-9.4","6,1118","-9.4","6,1118","0.0","6,0422","-6.1","6,0322","-6.1","6,0322","-7.8","6,0308","-12.2","6,0307","","","","","   2081.2"," ,6","","","     12.93","6","     20.16","6","      5.70","6"
"USC00315965","1902","36.366667","-81.1","594.4","MOXLEY, NC US","    554.7","","     554.7","6","       113","6","        86","6","        15","6","","","         0","6","        95","6","         5","6","       205","6","        42","6","","","  -12.8","6,0214,+","","","  58.2"," ,6,0909, ","   36.7","6,0717,+","-1.1","6,1015","-2.2","6,1030","-5.0","6,1128","-7.8","6,1210","-9.4","6,1226","-0.6","6,0418","-3.9","6,0321","-8.9","6,0319","-8.9","6,0319","-8.9","6,0319","    2467.5","5","    2467.5","6","   1292.9"," ,6","","","     13.50","6","     20.81","6","      6.18","6"
"USC00315965","1903","36.366667","-81.1","594.4","MOXLEY, NC US","    539.9","","     539.9","6","       106","6","        70","6","        21","6","","","         0","6","       102","6","         2","6","       196","6","        34","6","","","  -14.4","6,0218, ","","","  69.6"," ,6,0606, ","   37.2","6,0523, ","0.0","6,1013","-2.2","6,1027","-5.0","6,1028","-7.2","6,1106","-11.1","6,1119","-1.1","6,0424","-5.0","6,0405","-5.0","6,0405","-8.3","6,0223","-9.4","6,0220","    1995.3","3","    1995.3","6","   1435.1"," ,6","","","     13.38","6","     20.62","6","      6.14","6"
"USC00315965","1904","36.366667","-81.1","594.4","MOXLEY, NC US","","","","","       104","6","        83","6","        12","6","","","         0","6","       134","6","","","","","","","","","  -17.2","6,0202, ","","","  54.9"," ,6,0621, ","","","-0.6","6,1015","-3.3","6,1023","-6.7","6,1024","-6.7","6,1024","-9.4","6,1211","-4.4","6,0423","-4.4","6,0423","-4.4","6,0423","-7.2","6,0417","-10.6","6,0217","    2703.3","3","    2703.3","6","   1101.2"," ,6","","","","","","","      4.79","6"
"USC00315965","1905","36.366667","-81.1","594.4","MOXLEY, NC US","    574.7","","     574.7","6","       121","6","        87","6","        16","6","","","         0","6","       119","6","         7","6","       202","6","        25","6","","","  -17.2","6,0214, ","","","  71.6"," ,6,0712, ","   34.4","6,0719,+","-1.7","6,1013","-3.9","6,1022","-6.7","6,1111","-6.7","6,1111","-9.4","6,1122","-4.4","6,0419","-4.4","6,0419","-4.4","6,0419","-6.7","6,0418","-16.1","6,0216","","","","","   1385.5"," ,6","","","     13.13","6","     20.34","6","      5.91","6"
"USC00315965","1906","36.366667","-81.1","594.4","MOXLEY, NC US","","","","","       147","6","       107","6","        19","6","","","","","","","","","","","","","         2"," ","","","","","  72.1"," ,6,0715, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1745.5"," ,6","","","","","","","",""
"USC00315965","1907","36.366667","-81.1","594.4","MOXLEY, NC US","","","","","       120","6","        84","6","        11","6","         3","6","","","","","         3","6","       197","6","        33","6","","","","","    76"," ,6,0307, "," 109.2"," ,6,0923, ","   35.6","6,0709, ","","","","","","","","","","","","","","","","","","","","","","","","","   1306.8"," ,6","      152"," ,6","","","     20.74","6","",""
