"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"NOE00133411","1962","61.1142","10.6719","520.0","MESNA TYRIA, NO","      184","","  1120"," ,E,0404, "
"NOE00133411","1963","61.1142","10.6719","520.0","MESNA TYRIA, NO","      171","","   610"," ,E,0325, "
"NOE00133411","1964","61.1142","10.6719","520.0","MESNA TYRIA, NO","      154","","   640"," ,E,1231, "
"NOE00133411","1965","61.1142","10.6719","520.0","MESNA TYRIA, NO","      170","","  1000"," ,E,0124, "
"NOE00133411","1966","61.1142","10.6719","520.0","MESNA TYRIA, NO","      184","","  1060"," ,E,0404,+"
"NOE00133411","1967","61.1142","10.6719","520.0","MESNA TYRIA, NO","      197","","  1280"," ,E,0406, "
"NOE00133411","1968","61.1142","10.6719","520.0","MESNA TYRIA, NO","      190","","  1110"," ,E,0208, "
"NOE00133411","1969","61.1142","10.6719","520.0","MESNA TYRIA, NO","      193","","   970"," ,E,0119, "
"NOE00133411","1970","61.1142","10.6719","520.0","MESNA TYRIA, NO","      194","","   970"," ,E,0327, "
"NOE00133411","1971","61.1142","10.6719","520.0","MESNA TYRIA, NO","      195","","  1190"," ,E,0318,+"
"NOE00133411","1972","61.1142","10.6719","520.0","MESNA TYRIA, NO","      178","","   830"," ,E,0311,+"
"NOE00133411","1973","61.1142","10.6719","520.0","MESNA TYRIA, NO","      188","","   560"," ,E,0305, "
"NOE00133411","1974","61.1142","10.6719","520.0","MESNA TYRIA, NO","      190","","  1060"," ,E,0320, "
"NOE00133411","1975","61.1142","10.6719","520.0","MESNA TYRIA, NO","      174","","  1280"," ,E,0326, "
"NOE00133411","1976","61.1142","10.6719","520.0","MESNA TYRIA, NO","      195","","   700"," ,E,0225, "
"NOE00133411","1977","61.1142","10.6719","520.0","MESNA TYRIA, NO","      183","","   960"," ,E,0220, "
"NOE00133411","1978","61.1142","10.6719","520.0","MESNA TYRIA, NO","      184","","   970"," ,E,0324, "
"NOE00133411","1979","61.1142","10.6719","520.0","MESNA TYRIA, NO","      198","","   950"," ,E,0327, "
"NOE00133411","1980","61.1142","10.6719","520.0","MESNA TYRIA, NO","      177","","  1170"," ,E,0215, "
"NOE00133411","1981","61.1142","10.6719","520.0","MESNA TYRIA, NO","      191","","  1100"," ,E,0324,+"
"NOE00133411","1982","61.1142","10.6719","520.0","MESNA TYRIA, NO","      181","","  1180"," ,E,0323,+"
"NOE00133411","1983","61.1142","10.6719","520.0","MESNA TYRIA, NO","      176","","   930"," ,E,0411,+"
"NOE00133411","1984","61.1142","10.6719","520.0","MESNA TYRIA, NO","      174","","   800"," ,E,0207, "
"NOE00133411","1985","61.1142","10.6719","520.0","MESNA TYRIA, NO","      164","","  1170"," ,E,0306, "
"NOE00133411","1986","61.1142","10.6719","520.0","MESNA TYRIA, NO","      167","","   960"," ,E,0323, "
"NOE00133411","1987","61.1142","10.6719","520.0","MESNA TYRIA, NO","      166","","   900"," ,E,0325, "
"NOE00133411","1988","61.1142","10.6719","520.0","MESNA TYRIA, NO","      200","","  1560"," ,E,0401, "
"NOE00133411","1989","61.1142","10.6719","520.0","MESNA TYRIA, NO","      140","","   540"," ,E,0410,+"
"NOE00133411","1990","61.1142","10.6719","520.0","MESNA TYRIA, NO","      158","","   650"," ,E,0314,+"
"NOE00133411","1991","61.1142","10.6719","520.0","MESNA TYRIA, NO","      174","","   830"," ,E,0308, "
"NOE00133411","1992","61.1142","10.6719","520.0","MESNA TYRIA, NO","      202","","   750"," ,E,1130, "
