"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00040798","1938","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        48","6","        35","6","        15","6","","","","","","","","","","","","","","","","","","","","","",""," 275.1"," ,6,0302, ","","","","","","","","","","","   1248.0"," ,6","","","","","","","",""
"USC00040798","1940","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        45","6","        36","6","        11","6","","","","","","","","","","","","","","","","","","","","","","","  96.0"," ,6,0108, ","","","","","","","","","","","    755.4"," ,6","","","","","","","",""
"USC00040798","1941","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        71","6","        59","6","        19","6","","","","","","","","","","","","","","","","","","","","","",""," 144.0"," ,6,0220, ","","","","","","","","","","","   1394.0"," ,6","","","","","","","",""
"USC00040798","1942","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        28","6","        22","6","         3","6","","","","","","","","","","","","","","","","","","","","","","","  31.8"," ,6,0810, ","","","","","","","","","","","    270.9"," ,6","","","","","","","",""
"USC00040798","1943","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        41","6","        33","6","        12","6","","","","","","","","","","","","","","","","","","","","","",""," 365.5"," ,6,0122, ","","","","","","","","","","","   1344.9"," ,6","","","","","","","",""
"USC00040798","1944","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        39","6","        29","6","         8","6","","","","","","","","","","","","","","","","","","","","","",""," 285.5"," ,6,0222, ","","","","","","","","","","","    968.5"," ,6","","","","","","","",""
"USC00040798","1945","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        36","6","        27","6","         7","6","","","","","","","","","","","","","","","","","","","","","",""," 128.8"," ,6,1222, ","","","","","","","","","","","    650.0"," ,6","","","","","","","",""
"USC00040798","1946","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        32","6","        30","6","        11","6","","","","","","","","","","","","","","","","","","","","","",""," 150.9"," ,6,0330, ","","","","","","","","","","","    911.5"," ,6","","","","","","","",""
"USC00040798","1947","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        30","6","        12","6","         1","6","","","","","","","","","","","","","","","","","","","","","","","  50.5"," ,6,1205, ","","","","","","","","","","","    164.4"," ,6","","","","","","","",""
"USC00040798","1948","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        31","6","        21","6","         6","6","","","","","","","","","","","","","","","","","","","","","","","  68.1"," ,6,0205, ","","","","","","","","","","","    371.2"," ,6","","","","","","","",""
"USC00040798","1949","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        45","0","        33","0","         4","0","","","         3","0","","","","","","","","","","","         1"," ","","","","","   254"," ,0,0111, ","  83.3"," ,0,1110, ","","","","","","","","","","","    426.6"," ,0","      343"," ,0","","","","","",""
"USC00040798","1950","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        27","0","        20","0","         3","0","        1","","         1","0","","","","","","","","","","","","","","","    51"," ,0,0112, ","    51"," ,0,0112, ","  41.9"," ,0,0206, ","","","","","","","","","","","    301.7"," ,0","       51"," ,0","","","","","",""
"USC00040798","1951","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        34","0","        26","0","         9","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  76.2"," ,0,1230, ","","","","","","","","","","","    545.6"," ,0","        0"," ,0","","","","","",""
"USC00040798","1953","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        24","0","        14","0","         1","0","        1","","         0","0","","","","","","","","","","","","","","","    25"," ,0,0302, ","    13"," ,0,0302, ","  36.1"," ,0,1114, ","","","","","","","","","","","    154.4"," ,0","       13"," ,0","","","","","",""
"USC00040798","1954","34.29481","-118.18849","709.0","BIG TUJUNGA DAM FC46, CA US","","","","","        29","0","        26","0","        10","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0112, ","  86.4"," ,0,0125, ","","","","","","","","","","","    674.2"," ,0","        0","T,0","","","","","",""
