"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00343277","2010","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","   1171.7","","    1171.7","0","        0","","         0","0","         0","0","        82","0","         9","0","       208","0","        90","0","  -14.4","0,0108, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   38.9","0,0823, ","-1.1","0,1105","-3.3","0,1125","-6.1","0,1126","-7.2","0,1213","-9.4","0,1226","-1.1","0,0408","-5.0","0,0322","-5.0","0,0322","-7.8","0,0217","-13.3","0,0110","    2258.8","8","","","    2258.8","0","","","","","","","","","","","    682.5"," ,0","        0"," ,0","     15.91","0","     22.24","0","      9.57","0"
"USC00343277","2011","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1928.7","7","","","    1928.7","K","","","","","","","","","","","","","","","","","","","",""
"USC00343277","2012","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      33.3","7,3,2","","","      40.6","7,3,2","       1.1","7,3,2","       1.1","7,3,2","      16.3","7,3,2","      22.3","7,3,2","","","","","","","","","",""
"USC00343277","2013","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","   1068.0","","    1068.0","7","","","","","         0","7","       107","7","        11","7","       202","7","        75","7","  -16.1","7,1210, ","","","","","   39.4","7,0627, ","0.0","7,1019","-5.6","7,1112","-5.6","7,1112","-10.0","7,1113","-10.0","7,1113","-0.6","7,0503","-3.3","7,0424","-8.3","7,0326","-8.3","7,0326","","","","","","","","","","","","","","","","","","","","","","","     15.14","7","     21.77","7","      8.51","7"
"USC00343277","2014","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2317.0","0","","","    2317.0","7","","","","","","","","","","","","","","","","","","","",""
"USC00343277","2015","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","   1099.5","","    1099.5","7","","","","","         0","7","        79","7","         5","7","       217","7","        88","7","  -13.3","7,0305, ","","","","","   40.0","7,0806, ","-0.6","7,1113","-2.8","7,1121","-4.4","7,1217","","","","","-3.9","7,0307","-3.9","7,0307","-5.6","7,0306","-13.3","7,0305","-13.3","7,0305","","","      30.6","7,3,2","","","      38.3","7,3,2","      -1.7","7,3,2","       0.0","7,3,2","      14.8","7,3,2","      20.7","7,3,2","   1167.1"," ,7","","","     16.14","7","     22.55","7","      9.73","7"
"USC00343277","2016","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    1699.0","0","      30.6","7,3,2","    1699.0","7","      38.9","7,3,2","       0.0","7,3,2","       0.6","7,3,2","      15.4","7,3,2","      21.6","7,3,2","","","","","","","","","",""
"USC00343277","2017","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","   1013.9","","    1013.9","7","","","","","         2","7","        62","7","         7","7","       228","7","        64","7","  -21.1","7,0107, ","","","","","   38.9","7,0722, ","-1.7","7,1027","-3.9","7,1028","-4.4","7,1206","-8.3","7,1207","-11.1","7,1208","-1.7","7,0315","-2.8","7,0314","-5.0","7,0209","-6.7","7,0127","-9.4","7,0108","","","      30.6","7,3,2","","","      40.0","7,3,2","      -1.7","7,3,2","       0.0","7,3,2","      15.0","7,3,2","      22.0","7,3,2","","","","","     16.45","7","     22.99","7","      9.90","7"
"USC00343277","2018","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    2005.7","7","      30.6","7,3,2","    2005.7","7","      40.0","7,3,2","      -3.3","7,3,2","      -0.6","7,3,2","      14.3","7,3,2","      21.6","7,3,2","    803.6"," ,7","","","","","","","",""
"USC00343277","2019","35.1489","-98.4661","421.8","FORT COBB 4 NNW MESONET, OK US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","      31.1","7,3,2","","","      38.9","7,3,2","       0.6","7,3,2","       1.1","7,3,2","      14.2","7,3,2","      20.7","7,3,2","    965.6"," ,7","","","","","","","",""
