"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"CA006044735","1932","49.4333","-88.15","312.0","MACDIARMID, ON CA","","","","","","","","","","","","","","","","","","","","","    593.0"," ,C","     1831"," ,C","",""
"CA006044735","1933","49.4333","-88.15","312.0","MACDIARMID, ON CA","        75","C","        54","C","         1","C","        26","C","","","","","","","   152"," ,C,1029, ","  28.7"," ,C,0502, ","","","    721.1"," ,C","     1934"," ,C","",""
"CA006044735","1934","49.4333","-88.15","312.0","MACDIARMID, ON CA","","","","","","","","","","","","","","","","","","","","","    682.5"," ,C","     1622"," ,C","",""
"CA006044735","1936","49.4333","-88.15","312.0","MACDIARMID, ON CA","        72","C","        56","C","         2","C","        25","C","","","","","","","   254"," ,C,1103, ","  35.8"," ,C,0829, ","","","    513.5"," ,C","     2183"," ,C","",""
"CA006044735","1937","49.4333","-88.15","312.0","MACDIARMID, ON CA","        87","C","        78","C","         3","C","        23","C","","","","","","","   356"," ,C,0221, ","  35.6"," ,C,0221, ","","","    803.0"," ,C","     2363"," ,C","",""
"CA006044735","1938","49.4333","-88.15","312.0","MACDIARMID, ON CA","        90","C","        66","C","         4","C","        22","C","","","","","","","   152"," ,C,0213, ","  59.7"," ,C,0426, ","","","    589.6"," ,C","     1448"," ,C","",""
"CA006044735","1940","49.4333","-88.15","312.0","MACDIARMID, ON CA","        94","C","        66","C","         2","C","        27","C","","","","","","","   127"," ,C,1112,+","  35.1"," ,C,0728, ","","","    523.1"," ,C","     1523"," ,C","",""
"CA006044735","1941","49.4333","-88.15","312.0","MACDIARMID, ON CA","        99","C","        78","C","         4","C","        19","C","","","","","","","   178"," ,C,0214, ","  65.8"," ,C,0922, ","","","    863.2"," ,C","     1295"," ,C","",""
"CA006044735","1942","49.4333","-88.15","312.0","MACDIARMID, ON CA","        96","C","        67","C","         8","C","        28","C","","","","","","","   356"," ,C,1127, ","  35.6"," ,C,1127,+","","","    689.6"," ,C","     2221"," ,C","",""
"CA006044735","1944","49.4333","-88.15","312.0","MACDIARMID, ON CA","","","","","","","","","","","","","","","","","","","","","    974.6"," ,C","     1894"," ,C","",""
"CA006044735","1948","49.4333","-88.15","312.0","MACDIARMID, ON CA","       104","C","        83","C","         4","C","        32","C","       113","C","        78","C","         0","C","   203"," ,C,1216,+","  66.0"," ,C,1106, ","   30.0","C,0824, ","    892.4"," ,C","     2897"," ,C","      8.06","C"
"CA006044735","1968","49.4333","-88.15","312.0","MACDIARMID, ON CA","       148","C","        84","C","         1","C","        30","C","","","","","","","   102"," ,C,1024,+","  26.9"," ,C,0607, ","","","    665.3"," ,C","     1640"," ,C","",""
