"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES"
"USW00000471","2018","29.63421","-104.36149","896.1","PRESIDIO LELY INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000471","2019","29.63421","-104.36149","896.1","PRESIDIO LELY INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","         3"," ","         1"," ","        38"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000471","2020","29.63421","-104.36149","896.1","PRESIDIO LELY INTERNATIONAL AIRPORT, TX US","       3.3","W","   2310.4","","    2310.4","W","         0","W","        16","W","         0","W","       302","W","       174","W","         2"," ","         1"," ","        10"," ","   -2.7","W,1225,+","   43.9","W,0714, ","-2.7","W,1028","-2.7","W,1028","","","-2.1","W,0227","","","","","","","","","","","     22.73","W","     30.00","W","     15.47","W","       340","W","      18.3","W"
"USW00000471","2021","29.63421","-104.36149","896.1","PRESIDIO LELY INTERNATIONAL AIRPORT, TX US","       3.0","W","   2037.9","","    2037.9","W","         0","W","        11","W","         0","W","       316","W","       170","W","","","","","        19"," ","   -7.1","W,0215,+","   43.3","W,0611, ","","","","","","","0.0","W,0302","-2.7","W,0219","-7.1","W,0215","-7.1","W,0215","     763.6","6","     763.6","W","     22.29","W","     29.54","W","     15.04","W","       290","W","      14.8","W"
"USW00000471","2022","29.63421","-104.36149","896.1","PRESIDIO LELY INTERNATIONAL AIRPORT, TX US","       3.1","W","   2015.4","","    2015.4","W","         0","W","        22","W","         0","W","       287","W","       157","W","","","","","        19"," ","   -6.6","W,1224,+","   43.3","W,0720, ","0.0","W,1126","-6.6","W,1223","-6.6","W,1223","0.0","W,0312","-5.5","W,0205","-5.5","W,0205","","","     619.1","1","     619.1","W","     21.48","W","     28.77","W","     14.18","W","        20","W","      17.4","W"
"USW00000471","2023","29.63421","-104.36149","896.1","PRESIDIO LELY INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","","","","","         1"," ","         1"," ","        14"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00000471","2024","29.63421","-104.36149","896.1","PRESIDIO LELY INTERNATIONAL AIRPORT, TX US","","","   2259.6","","    2259.6","D","         0","D","         9","D","         0","D","       314","D","       178","D","","","","","         8"," ","   -5.5","D,0116, ","   43.3","D,0616, ","-2.8","D,1211","-2.8","D,1211","","","-1.0","W,0212","-2.7","W,0117","-5.5","W,0116","","","","","","","     22.87","D","     30.18","D","     15.56","D","","","",""
