"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00007080","1908","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        29","a","        24","a","         2","a","","","","","","","","","","","","","  38.1"," ,a,0427, ","","","","","","","","","","","","","    243.7"," ,a","","","","","",""
"ASN00007080","1910","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        41","a","        22","a","         0","a","","","","","","","","","","","","","  19.1"," ,a,1212, ","","","","","","","","","","","","","    200.4"," ,a","","","","","",""
"ASN00007080","1911","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        22","a","         8","a","         0","a","","","","","","","","","","","","","  17.5"," ,a,0524, ","","","","","","","","","","","","","     72.4"," ,a","","","","","",""
"ASN00007080","1912","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        35","a","        13","a","         0","a","","","","","","","","","","","","","  24.4"," ,a,0302, ","","","","","","","","","","","","","    144.7"," ,a","","","","","",""
"ASN00007080","1913","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        28","a","        18","a","         2","a","","","","","","","","","","","","","  33.0"," ,a,0105, ","","","","","","","","","","","","","    183.0"," ,a","","","","","",""
"ASN00007080","1914","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        38","a","        21","a","         2","a","","","","","","","","","","","","","  40.6"," ,a,1128, ","","","","","","","","","","","","","    265.4"," ,a","","","","","",""
"ASN00007080","1921","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        14","a","        12","a","         1","a","","","","","","","","","","","","","  25.4"," ,a,0315, ","","","","","","","","","","","","","    144.0"," ,a","","","","","",""
"ASN00007080","1922","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        18","a","        11","a","         1","a","","","","","","","","","","","","","  30.5"," ,a,0322, ","","","","","","","","","","","","","     98.7"," ,a","","","","","",""
"ASN00007080","1924","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        10","a","         7","a","         0","a","","","","","","","","","","","","","  16.5"," ,a,0508, ","","","","","","","","","","","","","     49.1"," ,a","","","","","",""
"ASN00007080","1930","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        34","a","        16","a","         3","a","","","","","","","","","","","","","  58.9"," ,a,0503, ","","","","","","","","","","","","","    285.5"," ,a","","","","","",""
"ASN00007080","1932","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        13","a","        12","a","         2","a","","","","","","","","","","","","","  75.7"," ,a,1216, ","","","","","","","","","","","","","    227.1"," ,a","","","","","",""
"ASN00007080","1933","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        25","a","        20","a","         2","a","","","","","","","","","","","","","  66.0"," ,a,0308, ","","","","","","","","","","","","","    253.0"," ,a","","","","","",""
"ASN00007080","1934","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        25","a","        22","a","         4","a","","","","","","","","","","","",""," 111.8"," ,a,0329, ","","","","","","","","","","","","","    381.4"," ,a","","","","","",""
"ASN00007080","1935","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        14","a","         7","a","         1","a","","","","","","","","","","","","","  68.6"," ,a,0203, ","","","","","","","","","","","","","    110.7"," ,a","","","","","",""
"ASN00007080","1936","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        14","a","         9","a","         0","a","","","","","","","","","","","","","  13.7"," ,a,1218, ","","","","","","","","","","","","","     70.7"," ,a","","","","","",""
"ASN00007080","1937","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        28","a","        15","a","         1","a","","","","","","","","","","","","","  29.0"," ,a,0106, ","","","","","","","","","","","","","    132.4"," ,a","","","","","",""
"ASN00007080","1938","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        21","a","        15","a","         0","a","","","","","","","","","","","","","  25.1"," ,a,0118, ","","","","","","","","","","","","","    133.3"," ,a","","","","","",""
"ASN00007080","1939","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        19","a","        12","a","         1","a","","","","","","","","","","","","","  59.7"," ,a,0113, ","","","","","","","","","","","","","    140.9"," ,a","","","","","",""
"ASN00007080","1940","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        12","a","         9","a","         0","a","","","","","","","","","","","","","  17.0"," ,a,0130, ","","","","","","","","","","","","","     68.8"," ,a","","","","","",""
"ASN00007080","1941","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        32","a","        22","a","         1","a","","","","","","","","","","","","","  33.0"," ,a,1215, ","","","","","","","","","","","","","    204.8"," ,a","","","","","",""
"ASN00007080","1942","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        39","a","        34","a","         7","a","","","","","","","","","","","","","  64.0"," ,a,0515, ","","","","","","","","","","","","","    534.9"," ,a","","","","","",""
"ASN00007080","1943","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        10","a","         8","a","         1","a","","","","","","","","","","","","","  28.4"," ,a,0308, ","","","","","","","","","","","","","     83.5"," ,a","","","","","",""
"ASN00007080","1944","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","         2","a","         2","a","         0","a","","","","","","","","","","","","","  14.0"," ,a,0405, ","","","","","","","","","","","","","     16.5"," ,a","","","","","",""
"ASN00007080","1945","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        22","a","        20","a","         3","a","","","","","","","","","","","","","  53.3"," ,a,0801, ","","","","","","","","","","","","","    264.9"," ,a","","","","","",""
"ASN00007080","1946","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        17","a","        16","a","         4","a","","","","","","","","","","","","","  83.8"," ,a,0205, ","","","","","","","","","","","","","    337.1"," ,a","","","","","",""
"ASN00007080","1947","-25.1256","119.1514","520.0","THREE RIVERS, AS","","","","","        25","a","        22","a","         4","a","","","","","","","","","","","","","  56.4"," ,a,0226, ","","","","","","","","","","","","","    379.3"," ,a","","","","","",""
