"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00040672","1906","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        15"," ","","","",""
"USC00040672","1907","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        39"," ","","","",""
"USC00040672","1908","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","        41","6","        39","6","        17","6","        62"," "," 137.2"," ,6,0201, ","    837.0"," ,6"
"USC00040672","1909","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        69"," ","","","",""
"USC00040672","1910","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","        33","6","        32","6","        15","6","        70"," ","  68.1"," ,6,0321, ","    687.1"," ,6"
"USC00040672","1911","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        50"," ","","","",""
"USC00040672","1912","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        83"," ","","","",""
"USC00040672","1913","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","        55","6","        52","6","        18","6","        82"," "," 213.4"," ,6,1231, ","   1483.2"," ,6"
"USC00040672","1914","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        81"," ","","","",""
"USC00040672","1915","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        49"," ","","","",""
"USC00040672","1916","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","        61","6","        52","6","        21","6","        31"," "," 123.7"," ,6,1223, ","   1500.3"," ,6"
"USC00040672","1917","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        86"," ","","","",""
"USC00040672","1918","37.083333","-122.083333","91.4","BEN LOMOND SOUTHERN PACIFIC RAILROAD, CA US","","","","","","","        21"," ","","","",""
