"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBIR","2004","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","","","","","","","","","         0","U","       145","U","        21","U","","","   36.7","U,0908,+","","","","","","","","","","","     19.51","U","",""
"USR0000CBIR","2006","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    410.1","","     410.1","U","         0","U","         1","U","         0","U","       156","U","        32","U","    0.0","U,0311, ","   44.4","U,0722, ","","","0.0","U,0311","    1608.4","4","    1608.4","U","     14.89","U","     20.19","U","      9.59","U"
"USR0000CBIR","2007","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    254.2","","     254.2","U","         0","U","         0","U","         0","U","       157","U","        17","U","    0.6","U,0114, ","   40.0","U,0705, ","","","","","    1624.8","8","    1624.8","U","     14.50","U","     19.59","U","      9.40","U"
"USR0000CBIR","2008","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","","","","","","","","","         0","U","       160","U","        29","U","","","   42.2","U,0708, ","","","","","","","","","","","     20.31","U","",""
"USR0000CBIR","2009","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","","","","","","","","","         0","U","       139","U","        34","U","","","   39.4","U,0628, ","","","","","","","","","","","     19.48","U","",""
"USR0000CBIR","2010","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    257.3","","     257.3","U","         0","U","         0","U","         0","U","       127","U","        17","U","    2.2","U,1124, ","   38.9","U,0824, ","","","","","    1849.9","9","    1849.9","U","     13.81","U","     18.12","U","      9.51","U"
"USR0000CBIR","2012","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    290.6","","     290.6","U","         0","U","         0","U","         0","U","       133","U","        20","U","    2.8","U,0227,+","   37.8","U,0616, ","","","","","    1709.6","6","    1709.6","U","     14.38","U","     19.20","U","      9.56","U"
"USR0000CBIR","2013","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    261.4","","     261.4","U","         0","U","         1","U","         0","U","       150","U","        14","U","    0.0","U,1208, ","   35.6","U,0909,+","0.0","U,1208","","","    1623.6","6","    1623.6","U","     14.78","U","     19.62","U","      9.94","U"
"USR0000CBIR","2014","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    341.7","","     341.7","U","         0","U","         0","U","         0","U","       175","U","        22","U","    3.9","U,1230,+","   37.8","U,0630, ","","","","","    1319.2","2","    1319.2","U","     16.00","U","     20.83","U","     11.16","U"
"USR0000CBIR","2015","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    373.2","","     373.2","U","         0","U","         0","U","         0","U","       164","U","        23","U","    1.7","U,1228, ","   37.2","U,0910,+","","","","","    1171.4","4","    1171.4","U","     15.80","U","     20.55","U","     11.04","U"
"USR0000CBIR","2016","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    325.4","","     325.4","U","         0","U","         0","U","         0","U","       146","U","        24","U","    2.2","U,1226,+","   37.8","U,0727,+","","","","","    1435.3","3","    1435.3","U","     15.19","U","     19.84","U","     10.54","U"
"USR0000CBIR","2017","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    465.2","","     465.2","U","         0","U","         0","U","         0","U","       154","U","        26","U","    1.1","U,0106, ","   41.7","U,0902, ","","","","","    1622.9","9","    1622.9","U","     15.48","U","     20.12","U","     10.84","U"
"USR0000CBIR","2018","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    304.8","","     304.8","U","         0","U","         0","U","         0","U","       167","U","        15","U","    1.7","U,0223,+","   36.1","U,0623, ","","","","","    1491.7","7","    1491.7","U","     15.10","U","     19.93","U","     10.28","U"
"USR0000CBIR","2019","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    359.1","","     359.1","U","         0","U","         0","U","         0","U","       161","U","        21","U","    0.6","U,0205, ","   38.3","U,0815, ","","","","","    1531.0","0","    1531.0","U","     15.02","U","     19.59","U","     10.45","U"
"USR0000CBIR","2020","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    570.7","","     570.7","U","         0","U","         0","U","         0","U","       177","U","        27","U","    3.3","U,0316,+","   42.8","U,0907, ","","","","","    1408.2","2","    1408.2","U","     16.21","U","     21.10","U","     11.32","U"
"USR0000CBIR","2021","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    385.5","","     385.5","U","         0","U","         0","U","         0","U","       157","U","        27","U","    2.2","U,0126, ","   38.3","U,0618, ","","","","","    1380.8","8","    1380.8","U","     15.14","U","     20.25","U","     10.03","U"
"USR0000CBIR","2022","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    391.2","","     391.2","U","         0","U","         0","U","         0","U","       159","U","        24","U","    1.7","U,0222,+","   42.8","U,0906, ","","","","","    1454.3","3","    1454.3","U","     15.34","U","     20.28","U","     10.39","U"
"USR0000CBIR","2023","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","    315.8","","     315.8","U","         0","U","         0","U","         0","U","       141","U","        23","U","    1.1","U,0223, ","   37.8","U,0716,+","","","","","    1858.3","3","    1858.3","U","     14.50","U","     19.20","U","      9.81","U"
"USR0000CBIR","2024","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","    1426.8","8","    1426.8","U","","","","","",""
