"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00023152","1999","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.3","W","    657.2","","     657.2","W","        30","W","        14","W","         0","W","","","","","         0","W","         0","W","         0","W","       241","W","        42","W","","","","","","","    1.7","W,0211,+","","","","","  22.1"," ,W,0411, ","   39.4","W,0929, ","","","","","","","    1031.3","3","    1031.3","W","    201.6"," ,W","","","     17.59","W","     23.95","W","     11.23","W","        50","W","        40","W","      17.4","W","      21.0","W"
"USW00023152","2000","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.3","W","","","","","        34","W","        20","W","         5","W","","","","","","","","","","","","","","","","","","","","","","","","","","","  39.9"," ,W,0417, ","","","","","","","","","     672.9","9","     672.9","W","    338.4"," ,W","","","","","","","","","","","","","","","",""
"USW00023152","2001","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.4","W","    750.3","","     750.3","W","","","","","","","","","","","         0","W","         0","W","         0","W","       238","W","        43","W","","","","","","","    1.7","W,1216, ","","","","","","","   38.9","W,0930, ","","","","","","","","","","","","","","","     17.80","W","     23.76","W","     11.84","W","       120","W","       110","W","      16.5","W","      21.5","W"
"USW00023152","2002","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.4","W","    649.0","","     649.0","W","         2","W","         1","W","         0","W","","","","","         0","W","         1","W","         0","W","       235","W","        41","W","","","","","","","    0.0","W,0131, ","","","","","   6.1"," ,W,1228, ","   42.2","W,0901, ","","","0.0","W,0131","","","     847.8","8","     847.8","W","      6.6"," ,W","","","     17.77","W","     24.04","W","     11.50","W","        40","W","       360","W","      16.1","W","      23.7","W"
"USW00023152","2003","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.4","W","    899.6","","     899.6","W","        30","W","        17","W","         3","W","","","","","         0","W","         0","W","         0","W","       242","W","        68","W","","","","","","","    1.1","W,1228, ","","","",""," 105.7"," ,W,0212, ","   39.4","W,0814, ","","","","","","","     755.5","5","     755.5","W","    358.4"," ,W","","","     18.60","W","     24.73","W","     12.46","W","        40","W","        40","W","      19.2","W","      23.7","W"
"USW00023152","2004","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.5","W","    772.1","","     772.1","W","        30","W","        22","W","         7","W","","","","","         0","W","         0","W","         0","W","       236","W","        50","W","","","","","","","    0.6","W,1201, ","","","","","  61.2"," ,W,1228, ","   38.9","W,0503, ","","","","","","","     781.2","2","     781.2","W","    450.6"," ,W","","","     18.18","W","     24.13","W","     12.23","W","        30","W","        30","W","      18.3","W","      23.7","W"
"USW00023152","2005","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.4","B","    675.9","","     675.9","B","        47","B","        27","B","        12","B","","","","","         0","B","         0","B","         0","B","       249","B","        44","B","","","","","","","    2.8","B,1205,+","","","","","  69.6"," ,B,0219, ","   37.2","B,0827,+","","","","","","","     830.6","6","     830.6","B","    673.2"," ,B","","","     18.25","B","     24.16","B","     12.35","B","       340","B","       330","B","      14.8","B","      17.9","B"
"USW00023152","2006","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.4","W","    899.6","","     899.6","W","        39","W","        24","W","         4","W","","","","","         0","W","         0","W","         0","W","       243","W","        68","W","        91"," ","         5"," ","         1"," ","    1.1","W,1220,+","","","","","  46.5"," ,W,0102, ","   44.4","W,0722, ","","","","","","","     813.2","2","     813.2","W","    305.5"," ,W","","","     18.48","W","     24.69","W","     12.27","W","        40","W","        40","W","      18.3","W","      24.6","W"
"USW00023152","2007","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.3","W","    773.8","","     773.8","W","        27","W","        13","W","         0","W","","","","","         0","W","         2","W","         0","W","       256","W","        44","W","        82"," ","        14"," ","","","   -3.2","W,0114, ","","","","","  17.5"," ,W,0922, ","   41.7","W,0902, ","","","0.0","W,0116","-3.2","W,0114","     735.6","6","     735.6","W","    120.0"," ,W","","","     18.20","W","     24.43","W","     11.98","W","       340","W","       340","W","      17.0","W","      21.9","W"
"USW00023152","2008","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.1","W","    993.2","","     993.2","W","        37","W","        21","W","         7","W","","","","","         0","W","         0","W","         0","W","       255","W","        72","W","        59"," ","         5"," ","         4"," ","    0.6","W,1227, ","","","","","  44.4"," ,W,0104, ","   41.7","W,0621, ","","","","","","","     867.0","0","     867.0","W","    372.9"," ,W","","","     18.80","W","     25.18","W","     12.42","W","        50","W","        30","W","      14.8","W","      20.6","W"
"USW00023152","2009","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.1","W","    827.7","","     827.7","W","        30","W","        17","W","         3","W","","","","","         0","W","         0","W","         0","W","       251","W","        54","W","       111"," ","         8"," ","         2"," ","    0.6","W,1208, ","","","","","  40.6"," ,W,0206, ","   40.6","W,0827, ","","","","","","","     720.9","9","     720.9","W","    253.4"," ,W","","","     18.49","W","     24.68","W","     12.30","W","       350","W","       340","W","      16.1","W","      20.6","W"
"USW00023152","2010","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.3","W","    633.8","","     633.8","W","        58","W","        33","W","         6","W","","","","","         0","W","         0","W","         0","W","       237","W","        39","W","       134"," ","         5"," ","         5"," ","    1.1","W,1231, ","","","","","  47.8"," ,W,1222, ","   43.3","W,0927, ","","","","","","","     816.5","5","     816.5","W","    566.2"," ,W","","","     17.78","W","     23.69","W","     11.88","W","        30","W","        50","W","      16.1","W","      20.6","W"
"USW00023152","2011","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.1","W","    688.6","","     688.6","W","        33","W","        22","W","         2","W","","","","","         0","W","         0","W","         0","W","       241","W","        39","W","       111"," ","         9"," ","         1"," ","    1.1","W,1207,+","","","","","  97.8"," ,W,0320, ","   41.7","W,0826, ","","","","","","","     885.9","9","     885.9","W","    316.2"," ,W","","","     17.62","W","     23.85","W","     11.39","W","        30","W","        40","W","      17.0","W","      24.6","W"
"USW00023152","2012","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.2","W","    903.2","","     903.2","W","        35","W","        19","W","         1","W","        0","","","","         0","W","         0","W","         0","W","       256","W","        59","W","       111"," ","         9"," ","         3"," ","    1.7","W,1230,+","     0"," ,W,1231,+","","","  35.1"," ,W,0325, ","   40.6","W,1001, ","","","","","","","     847.8","8","     847.8","W","    210.6"," ,W","","","     18.69","W","     24.94","W","     12.44","W","        30","W","       150","W","      14.3","W","      17.4","W"
"USW00023152","2013","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.1","W","   1096.4","","    1096.4","W","        17","W","         6","W","         0","W","        0","","         0","W","         0","W","         1","W","         0","W","       292","W","        71","W","        30"," ","         2"," ","","","    0.0","W,0113, ","     0"," ,W,1231,+","     0"," ,W,1231,+","  22.4"," ,W,0308, ","   40.0","W,0906, ","","","0.0","W,0113","","","     634.8","8","     634.8","W","     77.0"," ,W","        0"," ,W","     19.81","W","     26.19","W","     13.43","W","       330","W","","","      13.4","W","",""
"USW00023152","2014","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.1","W","   1054.1","","    1054.1","W","        19","W","        10","W","         3","W","        0","","         0","W","         0","W","         0","W","         0","W","       300","W","        60","W","        70"," ","         8"," ","         1"," ","    2.2","W,1229,+","     0"," ,W,1231,+","     0"," ,W,1231,+","  76.2"," ,W,0228, ","   40.6","W,0915, ","","","","","","","     384.6","6","     384.6","W","    240.1"," ,W","        0"," ,W","     20.14","W","     26.43","W","     13.86","W","        30","W","        40","W","      16.5","W","      21.9","W"
"USW00023152","2015","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.0","W","   1187.0","","    1187.0","W","        29","W","        19","W","         1","W","        0","","","","         0","W","         2","W","         0","W","       293","W","        68","W","        62"," ","         7"," ","         2"," ","   -0.5","W,1228,+","     0"," ,W,1231,+","","","  26.4"," ,W,0915, ","   40.0","W,1009,+","-0.5","W,1228","-0.5","W,0101","","","     428.5","5","     428.5","W","    141.2"," ,W","","","     20.06","W","     26.25","W","     13.88","W","        20","W","        20","W","      20.6","W","      26.8","W"
"USW00023152","2016","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.2","W","    930.6","","     930.6","W","        32","W","        22","W","         3","W","        0","","         0","W","         0","W","         0","W","         0","W","       272","W","        55","W","        96"," ","         5"," ","         2"," ","    2.2","W,1218,+","     0"," ,W,1231,+","     0"," ,W,1231,+","  36.1"," ,W,0105, ","   43.9","W,0620, ","","","","","","","     650.1","1","     650.1","W","    274.7"," ,W","        0"," ,W","     19.26","W","     25.49","W","     13.02","W","       340","W","       360","W","      14.8","W","      19.2","W"
"USW00023152","2017","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.5","W","   1049.2","","    1049.2","W","        34","W","        17","W","         3","W","","","","","         0","W","         0","W","         0","W","       284","W","        67","W","        71"," ","         5"," ","         5"," ","    1.7","W,1222, ","","","","","  52.1"," ,W,0217, ","   43.9","W,0625, ","","","","","","","     677.1","1","     677.1","W","    246.7"," ,W","","","     19.71","W","     25.90","W","     13.52","W","        40","W","        40","W","      19.2","W","      24.1","W"
"USW00023152","2018","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.4","W","    897.6","","     897.6","W","        30","W","        17","W","         2","W","","","","","         0","W","         0","W","         0","W","       278","W","        44","W","       119"," ","         8"," ","         4"," ","    1.7","W,1229,+","","","","","  54.6"," ,W,1206, ","   45.6","W,0706, ","","","","","","","     473.6","6","     473.6","W","    260.3"," ,W","","","     19.15","W","     25.16","W","     13.13","W","        50","W","        30","W","      17.0","W","      21.9","W"
"USW00023152","2019","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.4","W","    786.0","","     786.0","W","        51","W","        31","W","         3","W","","","","","         0","W","         0","W","         0","W","       238","W","        55","W","       114"," ","         6"," ","         9"," ","    1.7","W,0223,+","","","","","  54.1"," ,W,0202, ","   38.3","W,0610, ","","","","","","","     807.8","8","     807.8","W","    538.0"," ,W","","","     18.05","W","     23.81","W","     12.29","W","        30","W","        20","W","      17.0","W","      23.3","W"
"USW00023152","2020","34.19966","-118.36543","222.7","BURBANK GLENDALE PASADENA AIRPORT, CA US","       2.3","W","   1057.2","","    1057.2","W","        27","W","        14","W","         3","W","","","","","         0","W","         0","W","         0","W","       270","W","        71","W","        62"," ","         5"," ","         3"," ","    1.7","W,0205, ","","","","","  42.9"," ,W,0312, ","   45.6","W,0906,+","","","","","","","     751.6","6","     751.6","W","    236.8"," ,W","","","     19.29","W","     25.72","W","     12.87","W","        40","W","        30","W","      18.3","W","      25.9","W"
