"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00028516","1989","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","","","","","        11","0","         5","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.7"," ,0,0104, ","","","","","","","","","","","","","","","","","","","     36.7"," ,0","        0"," ,0","","","","","",""
"USC00028516","1990","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","   2078.4","","    2078.4","0","        36","0","        17","0","         1","0","        0","","         0","0","         0","0","        29","0","         0","0","       262","0","       143","0","","","   -7.8","0,1224,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  58.4"," ,0,0708, ","   47.8","0,0627, ","0.0","0,1128","-6.1","0,1222","-6.1","0,1222","-7.8","0,1223","-2.2","0,0216","-2.2","0,0216","    1009.4","4","    1009.4","0","    203.7"," ,0","        0"," ,0","     21.03","0","     28.39","0","     13.66","0"
"USC00028516","1991","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","","","","","        26","0","        15","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,0731, ","","","","","","","","","","","","","","","    1205.1","1","    1205.1","0","    162.4"," ,0","        0"," ,0","","","","","",""
"USC00028516","1992","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","","","","","        38","0","        23","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.1"," ,0,0213, ","","","","","","","","","","","","","","","","","","","    253.5"," ,0","        0"," ,0","","","","","",""
"USC00028516","1993","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","   1837.0","","    1837.0","0","        34","0","        22","0","         0","0","        0","","         0","0","         0","0","        14","0","         0","0","       241","0","       144","0","","","   -2.8","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.5"," ,0,0327, ","   47.2","0,0803, ","-0.6","0,1126","-2.2","0,1223","","","","","0.0","0,0112","-2.2","0,0106","    1110.5","5","    1110.5","0","    211.3"," ,0","        0"," ,0","     20.46","0","     27.51","0","     13.41","0"
"USC00028516","1995","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","   2048.1","","    2048.1","0","        34","0","        19","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       263","0","       138","0","","","   -0.6","0,1228,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.3"," ,0,0311, ","   48.9","0,0730, ","-0.6","0,1227","","","","","","","","","","","    1126.5","5","    1126.5","0","    161.2"," ,0","        0"," ,0","     21.39","0","     28.44","0","     14.34","0"
"USC00028516","1996","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","   2414.9","","    2414.9","0","        20","0","        11","0","         0","0","        0","","         0","0","         0","0","         8","0","         0","0","       265","0","       167","0","","","   -2.8","0,1219, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  11.9"," ,0,1121, ","   47.8","0,0725, ","-2.8","0,1219","-2.8","0,1219","","","","","-0.6","0,0227","","","     867.5","5","     867.5","0","     75.1"," ,0","        0"," ,0","     22.33","0","     29.53","0","     15.12","0"
"USC00028516","1997","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","   2314.7","","    2314.7","0","        29","0","        15","0","         0","0","        0","","         0","0","         0","0","         8","0","         0","0","       251","0","       165","0","","","   -2.2","0,1228,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.7"," ,0,0729, ","   47.2","0,0717, ","-0.6","0,1212","-2.2","0,1227","","","","","-1.1","0,0108","","","     963.7","7","     963.7","0","    106.0"," ,0","        0"," ,0","     21.88","0","     28.97","0","     14.79","0"
"USC00028516","1998","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","   1939.6","","    1939.6","0","        36","0","        21","0","         1","0","","","         0","0","         0","0","        11","0","         0","0","       236","0","       138","0","","","   -3.3","0,1225,+","","","     0"," ,0,1231,+","  58.4"," ,0,0724, ","   47.8","0,0719, ","-0.6","0,1208","-3.3","0,1224","","","","","0.0","0,0109","","","    1125.6","6","    1125.6","0","    199.4"," ,0","        0"," ,0","     20.42","0","     27.29","0","     13.56","0"
"USC00028516","1999","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","   2028.2","","    2028.2","0","        24","0","        16","0","         1","0","        0","","         0","0","         0","0","         5","0","         0","0","       262","0","       151","0","","","   -1.1","0,0212, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,0709, ","   46.7","0,0702,+","0.0","0,1214","","","","","","","-0.6","0,0214","","","    1031.6","6","    1031.6","0","    132.2"," ,0","        0"," ,0","     21.22","0","     28.33","0","     14.11","0"
"USC00028516","2000","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","","","","","        25","0","        15","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0","T,0,1011,+","     0","T,0,1011,+","  10.4"," ,0,1028, ","","","","","","","","","","","","","","","","","","","     89.2"," ,0","        0","T,0","","","","","",""
"USC00028516","2001","36.03","-114.3288","390.1","TEMPLE BAR, AZ US","","","","","        33","0","        22","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  19.8"," ,0,0128, ","","","","","","","","","","","","","","","","","","","    179.2"," ,0","        0"," ,0","","","","","",""
