"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087349","2011","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        22","S","   -4.0","S,0627, ","-0.8","S,0502","-2.7","S,0626","","","","","0.0","S,0831","-2.2","S,0821","","","     10.99","S"
"ARM00087349","2012","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        23","S","   -5.3","S,0607, ","-5.3","S,0607","-5.3","S,0607","-5.3","S,0607","","","-1.0","S,0828","-2.2","S,0801","","","     11.57","S"
"ARM00087349","2013","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        24","S","   -6.8","S,0516, ","-6.8","S,0516","-6.8","S,0516","-6.8","S,0516","-6.8","S,0516","-2.4","S,0924","-2.4","S,0924","-5.3","S,0814","     10.63","S"
"ARM00087349","2014","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        17","S","   -3.1","S,0827, ","-1.4","S,0524","-3.0","S,0724","","","","","-3.1","S,0827","-3.1","S,0827","","","     11.36","S"
"ARM00087349","2015","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        12","S","   -3.2","S,0721,+","-1.3","S,0615","-3.2","S,0623","","","","","","","","","","","     12.05","S"
"ARM00087349","2016","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        17","S","   -2.5","S,0622, ","-1.6","S,0611","-2.5","S,0622","","","","","-1.8","S,0907","","","","","     11.15","S"
"ARM00087349","2017","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        11","S","   -5.7","S,0619, ","-0.3","S,0528","-5.7","S,0619","-5.7","S,0619","","","","","","","","","     11.62","S"
"ARM00087349","2018","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        22","S","   -4.3","S,0724, ","0.0","S,0602","-3.1","S,0614","","","","","-1.6","S,0821","-3.7","S,0820","","","     11.56","S"
"ARM00087349","2019","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        11","S","   -2.1","S,0705, ","-1.7","S,0702","","","","","","","-1.1","S,0821","","","","","     11.42","S"
"ARM00087349","2020","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        25","S","   -4.6","S,0820, ","-0.7","S,0601","-2.5","S,0627","","","","","-0.3","S,0822","-3.3","S,0821","-4.6","S,0820","     10.86","S"
"ARM00087349","2022","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","        15","S","   -2.5","S,0712, ","-1.2","S,0518","-2.5","S,0712","","","","","-0.9","S,0910","","","","","     10.52","S"
"ARM00087349","2023","-31.667","-63.883","338.0","PILAR OBSERVATORIO, AR","         0","S","         7","S","   -3.6","S,0613, ","-1.8","S,0612","-3.6","S,0613","","","","","","","","","","","     12.37","S"
