"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093810","1999","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","       160","W","","","      24.6","W"
"USW00093810","2000","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.3","W","    691.6","","     691.6","W","       142","W","        67","W","        12","W","","","         1","W","       109","W","        26","W","       190","W","        27","W","","","","","","","  -17.8","W,1220, ","",""," 106.2"," ,W,0616, ","   36.7","W,0817, ","-1.1","W,1008","-3.9","W,1009","-5.0","W,1115","-6.7","W,1117","-8.9","W,1118","-0.6","W,0422","-2.8","W,0409","-7.2","W,0312","-7.2","W,0312","-11.1","W,0202","    2215.7","7","    2215.7","W","   1157.1"," ,W","     12.95","W","     18.93","W","      6.96","W","       200","W","       340","W","      17.0","W","      26.8","W"
"USW00093810","2001","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.2","W","    691.7","","     691.7","W","       146","W","        78","W","        12","W","","","         2","W","        91","W","        14","W","       188","W","        27","W","","","","","","","  -17.8","W,0103,+","","","  68.1"," ,W,1023, ","   34.4","W,0708, ","-0.6","W,1017","-2.8","W,1028","-5.6","W,1210","-6.7","W,1225","-10.0","W,1229","-2.8","W,0418","-2.8","W,0418","-5.0","W,0328","-7.2","W,0327","-12.2","W,0202","    2777.8","8","    2777.8","W","   1263.7"," ,W","     13.48","W","     19.39","W","      7.58","W","       200","W","       190","W","      20.6","W","      24.6","W"
"USW00093810","2002","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.3","W","    876.4","","     876.4","W","       118","W","        69","W","        13","W","","","         0","W","       104","W","        12","W","       167","W","        60","W","","","","","","","  -17.2","W,1206, ","","","  53.3"," ,W,0508, ","   38.3","W,0805, ","-2.2","W,1014","-2.2","W,1014","-5.6","W,1127","-7.2","W,1128","-10.0","W,1201","-2.2","W,0405","-2.2","W,0405","-5.0","W,0323","-6.7","W,0322","-11.7","W,0304","    2353.8","8","    2353.8","W","    996.7"," ,W","     13.75","W","     19.74","W","      7.77","W","       210","W","       210","W","      17.9","W","      23.2","W"
"USW00093810","2003","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.3","W","    598.8","","     598.8","W","       144","W","        63","W","        10","W","","","         2","W","        94","W","        19","W","       189","W","        29","W","","","","","","","  -21.1","W,0124, ","","","  65.8"," ,W,0718, ","   37.8","W,0817, ","0.0","W,1002","-2.8","W,1107","-4.4","W,1129","-6.7","W,1212","","","-3.3","W,0331","-3.3","W,0331","-6.7","W,0310","-6.7","W,0310","-11.7","W,0225","    2722.5","5","    2722.5","W","    914.2"," ,W","     12.98","W","     18.79","W","      7.17","W","       350","W","       360","W","      19.2","W","      28.2","W"
"USW00093810","2004","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.2","W","    752.7","","     752.7","W","       142","W","        80","W","        13","W","","","         3","W","        86","W","        17","W","       192","W","        20","W","","","","","","","  -23.9","W,1225, ","","","  37.8"," ,W,1111, ","   36.1","W,0713, ","-0.6","W,1005","-2.8","W,1125","-8.9","W,1214","-8.9","W,1214","-8.9","W,1214","0.0","W,0405","-2.2","W,0321","-5.0","W,0218","-13.9","W,0208","-13.9","W,0208","    2303.5","5","    2303.5","W","   1062.8"," ,W","     14.11","W","     19.86","W","      8.35","W","       320","W","       330","W","      18.3","W","      23.2","W"
"USW00093810","2005","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.2","B","    840.2","","     840.2","B","       121","B","        58","B","         8","B","","","         0","B","        93","B","        11","B","       187","B","        55","B","","","","","","","  -17.2","B,1209, ","","","  97.8"," ,B,1115, ","   36.1","B,0812, ","-1.1","B,1026","-2.2","B,1029","-6.7","B,1117","-6.7","B,1117","-8.9","B,1205","-1.1","W,0321","-4.4","W,0320","-4.4","W,0320","-6.7","W,0314","-8.9","W,0123","    2300.0","0","    2300.0","B","    806.9"," ,B","     13.94","B","     19.92","B","      7.96","B","       190","B","       190","B","      17.0","B","      21.5","B"
"USW00093810","2006","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.4","W","    729.0","","     729.0","W","       145","W","        71","W","        17","W","","","         0","W","        90","W","         6","W","       177","W","        39","W","       247"," ","        58"," ","        62"," ","  -14.9","W,0219, ","","","  86.1"," ,W,0309, ","   36.1","W,0702, ","-1.6","W,1013","-2.7","W,1014","-6.0","W,1103","-7.7","W,1203","-9.9","W,1204","0.0","W,0409","-4.3","W,0326","-5.5","W,0304","-8.2","W,0221","-14.9","W,0219","    2300.5","5","    2300.5","W","   1317.8"," ,W","     13.98","W","     20.05","W","      7.90","W","       260","W","       230","W","      19.2","W","      27.3","W"
"USW00093810","2007","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.0","W","    931.1","","     931.1","W","       128","W","        74","W","         8","W","","","         0","W","       102","W","        16","W","       199","W","        57","W","       223"," ","        52"," ","        47"," ","  -14.9","W,0202, ","","","  53.1"," ,W,1017, ","   39.4","W,0816, ","-2.1","W,1029","-2.7","W,1102","-5.5","W,1123","-7.7","W,1206","","","-0.5","W,0413","-4.9","W,0409","-4.9","W,0409","-8.8","W,0218","-12.7","W,0216","    2452.9","9","    2452.9","W","    958.1"," ,W","     14.33","W","     20.45","W","      8.21","W","       200","W","       230","W","      17.9","W","      22.8","W"
"USW00093810","2008","37.78329","-89.24533","122.1","CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US","       3.3","W","    693.5","","     693.5","W","       152","W","        72","W","        15","W","","","         0","W","       109","W","        17","W","       180","W","        26","W","       222"," ","        73"," ","        55"," ","  -14.9","W,0125, ","",""," 148.6"," ,W,0318, ","   36.1","W,0721,+","-1.6","W,1028","-3.8","W,1109","-4.9","W,1110","-8.2","W,1121","-9.3","W,1205","-1.0","W,0415","-4.3","W,0311","-6.6","W,0308","-7.1","W,0219","-9.3","W,0130","    2456.9","9","    2456.9","W","   1323.7"," ,W","     13.02","W","     18.78","W","      7.25","W","        70","W","        30","W","      25.0","W","      74.2","W"
