"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094898","2002","44.021772","-82.792932","180.0","PORT HOPE, MI US","","","    346.8","","     346.8","W","       128","W","        43","W","         0","W","         0","W","       138","W","        46","W","        99","W","         6","W","  -12.8","W,0305,+","  24.9"," ,W,0428, ","   33.3","W,0701, ","-1.1","W,1014","-2.8","W,1105","-4.4","W,1107","-7.2","W,1202","-11.1","W,1204","-0.6","W,0521","-2.2","W,0407","-4.4","W,0328","-6.7","W,0325","-12.8","W,0305","    3540.3","3","    3540.3","W","    426.6"," ,W","      8.88","W","     12.61","W","      5.15","W","","","       230","W","","","      22.8","W"
"USW00094898","2003","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.7","W","    196.1","","     196.1","W","       151","W","        59","W","         6","W","         6","W","       138","W","        69","W","        84","W","         2","W","  -21.1","W,0225, ","  51.6"," ,W,0710, ","   33.3","W,0821,+","-2.2","W,1107","-2.2","W,1107","-5.0","W,1109","-6.7","W,1203","","","0.0","W,0504","-2.2","W,0424","-5.0","W,0406","-7.2","W,0315","-11.7","W,0314","    4279.0","0","    4279.0","W","    718.2"," ,W","      7.30","W","     11.09","W","      3.50","W","       300","W","       300","W","      17.0","W","      25.0","W"
"USW00094898","2004","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.8","W","    168.8","","     168.8","W","       144","W","        63","W","         1","W","         8","W","       119","W","        59","W","        94","W","         1","W","  -20.0","W,0216,+","  33.3"," ,W,0305, ","   32.2","W,0608, ","-5.6","W,1112","-5.6","W,1112","-5.6","W,1112","-7.8","W,1215","-11.1","W,1217","-1.7","W,0504","-2.8","W,0406","-6.7","W,0322","-6.7","W,0322","-9.4","W,0228","    3945.2","2","    3945.2","W","    559.6"," ,W","      7.95","W","     11.80","W","      4.11","W","        20","W","       300","W","      16.1","W","      19.7","W"
"USW00094898","2005","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.5","B","    352.4","","     352.4","B","       133","B","        69","B","         6","B","         0","B","       130","B","        76","B","       112","B","         7","B","  -17.2","B,0128, ","  53.6"," ,B,0925, ","   33.3","B,0624, ","0.0","B,1111","-3.3","B,1117","-5.6","B,1118","-6.7","B,1123","-9.4","B,1124","-1.1","W,0429","-2.2","W,0329","-7.2","W,0326","-7.2","W,0326","-11.1","W,0315","    3913.5","5","    3913.5","B","    712.4"," ,B","      8.63","B","     12.35","B","      4.90","B","        30","B","       360","B","      17.4","B","      21.9","B"
"USW00094898","2006","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.3","W","    254.7","","     254.7","W","       141","W","        71","W","         4","W","         0","W","       105","W","        31","W","        92","W","         8","W","  -15.5","W,0219, ","  51.3"," ,W,0912, ","   34.4","W,0801, ","0.0","W,1012","-2.7","W,1103","-5.5","W,1203","-8.2","W,1207","","","0.0","W,0428","-2.7","W,0409","-7.1","W,0307","-7.1","W,0307","-10.5","W,0220","    3490.3","3","    3490.3","W","    830.8"," ,W","      9.27","W","     12.80","W","      5.73","W","        60","W","        60","W","      17.9","W","      21.9","W"
"USW00094898","2007","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.3","W","    304.2","","     304.2","W","       142","W","        73","W","        10","W","         4","W","       124","W","        72","W","       117","W","         4","W","  -19.3","W,0206,+","  38.1"," ,W,1029, ","   33.3","W,0802,+","-0.5","W,1116","-3.2","W,1118","-4.9","W,1123","-7.1","W,1128","-9.3","W,1206","0.0","W,0411","-2.7","W,0409","-6.6","W,0407","-7.7","W,0406","-12.7","W,0308","    3776.4","4","    3776.4","W","    940.2"," ,W","      8.66","W","     12.44","W","      4.87","W","        30","W","       290","W","      17.0","W","      26.8","W"
"USW00094898","2008","44.021772","-82.792932","180.0","PORT HOPE, MI US","","","","","","","       166","W","        83","W","         7","W","","","","","","","","","","","","","  56.4"," ,W,0627, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    946.9"," ,W","","","","","","","","","","","","","",""
"USW00094898","2009","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.1","W","    115.8","","     115.8","W","       151","W","        62","W","         3","W","         4","W","       123","W","        64","W","        79","W","         0","W","  -21.0","W,0205, ","  56.1"," ,W,0725, ","   31.1","W,0809, ","-0.5","W,1104","-2.7","W,1112","-8.2","W,1210","-8.2","W,1210","-9.3","W,1211","-0.5","W,0417","-3.2","W,0413","-8.2","W,0313","-8.2","W,0313","-10.5","W,0304","    4046.9","9","    4046.9","W","    752.1"," ,W","      7.67","W","     11.36","W","      3.99","W","       110","W","       240","W","      17.0","W","      20.6","W"
"USW00094898","2010","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.2","W","    328.8","","     328.8","W","       140","W","        69","W","         4","W","         0","W","       124","W","        67","W","       106","W","         4","W","  -13.2","W,0110, ","  54.1"," ,W,0531, ","   33.3","W,0831, ","-1.6","W,1101","-3.8","W,1126","-5.5","W,1207","-9.9","W,1213","-9.9","W,1213","-2.1","W,0423","-3.8","W,0330","-4.9","W,0326","-7.1","W,0306","-9.3","W,0208","    3560.1","1","    3560.1","W","    685.5"," ,W","      9.33","W","     12.86","W","      5.79","W","       340","W","        80","W","      26.8","W","      82.3","W"
"USW00094898","2011","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.2","W","","","","","       150","W","        71","W","         5","W","","","","","","","","","","","","","  45.5"," ,W,0622, ","","","","","","","","","","","","","","","","","","","","","","","    4036.1","1","    4036.1","W","    751.8"," ,W","","","","","","","        60","W","        30","W","      20.1","W","      23.7","W"
"USW00094898","2012","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.0","W","    352.1","","     352.1","W","       138","W","        60","W","         2","W","         0","W","       110","W","        28","W","       119","W","         8","W","  -13.2","W,0120, ","  50.0"," ,W,0810, ","   35.6","W,0717, ","0.0","W,1112","-3.2","W,1114","-5.5","W,1127","-9.3","W,1228","-9.3","W,1228","-2.1","W,0429","-3.2","W,0407","-6.0","W,0310","-9.3","W,0226","-9.3","W,0226","","","","","    592.6"," ,W","     10.16","W","     14.19","W","      6.12","W","        10","W","        10","W","      17.0","W","      24.6","W"
"USW00094898","2013","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.2","W","    250.0","","     250.0","W","       168","W","        79","W","         5","W","         0","W","       137","W","        65","W","        90","W","         5","W","  -16.6","W,1224,+","  39.9"," ,W,0522, ","   35.0","W,0910, ","-2.1","W,1029","-4.3","W,1113","-6.6","W,1123","-9.3","W,1128","-9.3","W,1128","0.0","W,0426","-3.2","W,0421","-6.6","W,0321","-8.8","W,0317","-10.5","W,0305","    3657.9","9","    3657.9","W","    827.5"," ,W","      7.92","W","     11.65","W","      4.20","W","        80","W","       230","W","      16.5","W","      21.5","W"
"USW00094898","2014","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.2","W","","","","","       164","W","        66","W","         5","W","","","","","","","","","","","","","  35.8"," ,W,0727, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    767.5"," ,W","","","","","","","        20","W","       220","W","      17.9","W","      24.6","W"
"USW00094898","2015","44.021772","-82.792932","180.0","PORT HOPE, MI US","       3.9","W","","","","","       133","W","        65","W","         5","W","","","","","","","","","","","","","  43.2"," ,W,0919, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    703.4"," ,W","","","","","","","       100","W","       100","W","      19.2","W","      22.4","W"
