"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA004028040","1939","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    110.4","","     110.4","C","       116","C","        44","C","         1","C","","","        11","C","        44","C","       182","C","        85","C","        94","C","        12","C","  -41.7","C,0210, ","","","    76"," ,C,1024, ","  26.2"," ,C,0519, ","   33.9","C,0805,+","-2.2","C,0925","-2.2","C,0925","-5.6","C,0929","-7.8","C,1007","-13.3","C,1016","-3.9","C,0512","-3.9","C,0512","-7.2","C,0417","-7.2","C,0417","-12.2","C,0411","    5270.9","9","    5270.9","C","    395.6"," ,C","      863"," ,C","      4.17","C","     10.35","C","     -2.01","C"
"CA004028040","1940","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    144.6","","     144.6","C","       108","C","        25","C","         2","C","","","         8","C","        43","C","       178","C","       118","C","       112","C","        11","C","  -31.7","C,0118, ","","","   229"," ,C,0402, ","  33.8"," ,C,0608, ","   37.8","C,0812, ","-0.6","C,1006","-4.4","C,1014","-4.4","C,1014","-7.2","C,1105","-10.0","C,1106","0.0","C,0514","-6.1","C,0416","-6.1","C,0416","-11.1","C,0412","-11.1","C,0412","    5265.6","6","    5265.6","C","    308.1"," ,C","      915"," ,C","      3.82","C","      9.33","C","     -1.69","C"
"CA004028040","1941","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    184.4","","     184.4","C","       101","C","        37","C","         1","C","","","         8","C","        36","C","       187","C","        78","C","        91","C","        10","C","  -33.3","C,0124, ","","","    56"," ,C,1225,+","  26.9"," ,C,0802, ","   38.9","C,0624,+","0.0","C,0921","-2.8","C,0925","-8.3","C,0927","-8.3","C,0927","-10.0","C,1030","0.0","C,0522","-2.2","C,0508","-4.4","C,0420","-6.7","C,0401","-16.7","C,0317","    5017.6","6","    5017.6","C","    301.2"," ,C","      586"," ,C","      4.93","C","     10.63","C","     -0.78","C"
"CA004028040","1942","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     63.2","","      63.2","C","       140","C","        55","C","         3","C","","","        13","C","        40","C","       188","C","        97","C","        78","C","         1","C","  -34.4","C,0106,+","","","   165"," ,C,1027, ","  32.8"," ,C,0619, ","   32.2","C,0819, ","-3.9","C,0923","-3.9","C,0923","-5.0","C,1023","-13.3","C,1024","-13.3","C,1024","-1.1","C,0613","-5.0","C,0516","-5.0","C,0516","-8.3","C,0410","-12.8","C,0409","    5080.1","1","    5080.1","C","    537.5"," ,C","      988"," ,C","      3.67","C","      9.02","C","     -1.69","C"
"CA004028040","1943","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    122.9","","     122.9","C","        86","C","        39","C","         0","C","","","        16","C","        42","C","       184","C","        90","C","       107","C","        12","C","  -42.8","C,0123, ","","","   152"," ,C,1019, ","  16.8"," ,C,0808, ","   34.4","C,0707, ","-3.3","C,0919","-3.3","C,0919","-6.1","C,1022","-8.9","C,1024","-8.9","C,1024","0.0","C,0603","-2.2","C,0515","-5.6","C,0430","-9.4","C,0331","-9.4","C,0331","    5897.5","5","    5897.5","C","    323.9"," ,C","     1128"," ,C","      3.90","C","      9.80","C","     -1.99","C"
"CA004028040","1944","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     72.1","","      72.1","C","        91","C","        45","C","         2","C","","","        16","C","        43","C","       179","C","        98","C","       107","C","         1","C","  -30.0","C,1225,+","","","   102"," ,C,1111,+","  28.2"," ,C,0724,+","   32.8","C,0724, ","-0.6","C,0929","-4.4","C,0930","-4.4","C,0930","-6.7","C,1001","-8.9","C,1102","-1.1","C,0504","-2.8","C,0503","-4.4","C,0402","-17.2","C,0329","-17.2","C,0329","    4876.8","8","    4876.8","C","    426.9"," ,C","     1019"," ,C","      4.63","C","     10.79","C","     -1.53","C"
"CA004028040","1945","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    141.0","","     141.0","C","       116","C","        39","C","         2","C","","","        17","C","        53","C","       205","C","       102","C","        83","C","        11","C","  -31.1","C,0304, ","","","   203"," ,C,0424, ","  34.5"," ,C,0922, ","   36.7","C,0721, ","0.0","C,0918","-2.2","C,0920","-5.0","C,0925","-7.8","C,0928","-12.8","C,1102","0.0","C,0529","-3.9","C,0515","-6.7","C,0509","-6.7","C,0509","-11.1","C,0508","    5352.4","4","    5352.4","C","    352.3"," ,C","     1532"," ,C","      2.68","C","      8.63","C","     -3.28","C"
"CA004028040","1946","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    129.5","","     129.5","C","       124","C","        47","C","         1","C","","","        14","C","        46","C","       194","C","        78","C","        87","C","         9","C","  -33.3","C,1228, ","","","   137"," ,C,1120, ","  45.7"," ,C,0807, ","   37.8","C,0730, ","-0.6","C,0922","-2.8","C,1004","-5.0","C,1007","-6.7","C,1016","-10.6","C,1102","-5.6","C,0514","-5.6","C,0514","-5.6","C,0514","-11.7","C,0510","-11.7","C,0510","    5369.6","6","    5369.6","C","    405.4"," ,C","     1282"," ,C","      3.89","C","      9.86","C","     -2.09","C"
"CA004028040","1947","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    145.5","","     145.5","C","       151","C","        47","C","         0","C","","","        20","C","        56","C","       198","C","        94","C","        89","C","        14","C","  -40.6","C,0201, ","","","   119"," ,C,1201, ","  20.6"," ,C,0917, ","   37.8","C,0803,+","0.0","C,0915","-2.2","C,0930","-4.4","C,1023","-7.8","C,1104","-8.9","C,1105","0.0","C,0610","-3.3","C,0529","-8.3","C,0528","-8.3","C,0528","-11.7","C,0325","    6022.0","0","    6022.0","C","    404.4"," ,C","     1486"," ,C","      2.86","C","      8.96","C","     -3.23","C"
"CA004028040","1948","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    109.5","","     109.5","C","       121","C","        42","C","         1","C","","","        17","C","        60","C","       195","C","       120","C","       116","C","         7","C","  -34.4","C,1209, ","","","   102"," ,C,0217, ","  25.9"," ,C,0711, ","   36.7","C,0705, ","-6.7","C,0930","-6.7","C,0930","-6.7","C,0930","-6.7","C,0930","-10.0","C,1017","-1.1","C,0527","-2.8","C,0510","-7.8","C,0414","-7.8","C,0414","-12.2","C,0412","    5673.2","2","    5673.2","C","    342.4"," ,C","     1254"," ,C","      3.15","C","      9.38","C","     -3.08","C"
"CA004028040","1949","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","    161.7","","     161.7","C","       108","C","        30","C","         0","C","","","         6","C","        67","C","       184","C","        93","C","       109","C","        11","C","  -36.1","C,0120, ","","","    79"," ,C,1227, ","  15.0"," ,C,1005,+","   38.9","C,0806, ","-0.6","C,0912","-5.6","C,0913","-5.6","C,0913","-6.7","C,1018","-10.6","C,1019","0.0","C,0618","-8.3","C,0523","-8.3","C,0523","-8.3","C,0523","-11.7","C,0318","    5483.6","6","    5483.6","C","    284.9"," ,C","      750"," ,C","      3.65","C","     10.03","C","     -2.74","C"
"CA004028040","1950","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     61.9","","      61.9","C","       124","C","        45","C","         4","C","","","        18","C","        74","C","       210","C","       119","C","        78","C","         5","C","  -41.1","C,0115, ","","","    79"," ,C,0222, ","  45.7"," ,C,0709, ","   32.8","C,0904,+","-1.1","C,0819","-2.8","C,0930","-6.7","C,1001","-6.7","C,1001","-8.9","C,1002","-0.6","C,0608","-2.8","C,0509","-5.6","C,0501","-6.7","C,0412","-9.4","C,0411","    6195.6","6","    6195.6","C","    469.6"," ,C","     1311"," ,C","      0.74","C","      6.37","C","     -4.89","C"
"CA004028040","1951","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     72.1","","      72.1","C","       149","C","        43","C","         1","C","","","        18","C","        71","C","       201","C","       134","C","        66","C","         6","C","  -37.2","C,1231, ","","","   335"," ,C,0305, ","  28.7"," ,C,0624, ","   36.1","C,0804,+","-3.9","C,0923","-3.9","C,0923","-7.2","C,0927","-7.2","C,0927","-8.9","C,1021","-1.1","C,0601","-3.3","C,0530","-6.7","C,0423","-6.7","C,0423","-12.8","C,0422","    6299.4","4","    6299.4","C","    447.4"," ,C","     1744"," ,C","      0.52","C","      5.81","C","     -4.78","C"
"CA004028040","1952","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     56.0","","      56.0","C","        90","C","        44","C","         3","C","","","        14","C","        37","C","       181","C","       108","C","        89","C","         1","C","  -36.1","C,0123, ","","","   102"," ,C,1107, ","  38.6"," ,C,0830, ","   32.2","C,0822, ","-7.8","C,1004","-7.8","C,1004","-7.8","C,1004","-7.8","C,1004","-12.2","C,1005","-2.8","C,0528","-2.8","C,0528","-5.0","C,0410","-8.9","C,0409","-8.9","C,0409","    6063.4","4","    6063.4","C","    386.8"," ,C","      869"," ,C","      3.41","C","      9.02","C","     -2.20","C"
"CA004028040","1953","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     95.0","","      95.0","C","       101","C","        47","C","         2","C","","","        18","C","        27","C","       185","C","        89","C","        94","C","         5","C","  -35.0","C,0115, ","","","   132"," ,C,0313, ","  33.8"," ,C,0901, ","   35.6","C,0714, ","-1.1","C,0921","-2.2","C,0930","-7.8","C,1026","-7.8","C,1026","-8.9","C,1119","-0.6","C,0515","-4.4","C,0513","-4.4","C,0513","-10.0","C,0512","-10.0","C,0512","    5400.8","8","    5400.8","C","    421.4"," ,C","     1445"," ,C","      4.56","C","     10.25","C","     -1.12","C"
"CA004028040","1954","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     62.2","","      62.2","C","       122","C","        57","C","         3","C","","","        19","C","        39","C","       201","C","        80","C","        68","C","         2","C","  -39.4","C,0120, ","","","   117"," ,C,0102, ","  34.5"," ,C,0613, ","   33.9","C,0720, ","-2.2","C,0920","-2.2","C,0920","-7.8","C,1004","-7.8","C,1004","-8.9","C,1025","-0.6","C,0531","-3.9","C,0504","-7.8","C,0503","-7.8","C,0503","-12.2","C,0502","    5414.1","1","    5414.1","C","    576.5"," ,C","     1218"," ,C","      3.23","C","      8.53","C","     -2.06","C"
"CA004028040","1955","50.3","-107.6833","817.0","SWIFT CURRENT A, SK CA","     99.5","","      99.5","C","       121","C","        44","C","         2","C","      142","","        19","C","        73","C","       199","C","       125","C","        82","C","         5","C","  -35.0","C,1218, ","   220"," ,C,0327,+","   122"," ,C,0503, ","  44.7"," ,C,0706, ","   33.3","C,0831,+","-3.9","C,0910","-3.9","C,0910","-7.2","C,1023","-7.2","C,1023","-9.4","C,1101","0.0","C,0525","-2.2","C,0507","-5.0","C,0421","-8.3","C,0406","-13.3","C,0327","    5443.9","9","    5443.9","C","    462.1"," ,C","     1477"," ,C","      1.60","C","      7.35","C","     -4.14","C"
