"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00295571","1912","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","        72","6","        45","6","         0","6","","","","","","","","","","","","","","","","","","","  20.8"," ,6,1010, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    406.6"," ,6","","","","","","","",""
"USC00295571","1917","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","","","","","","","        20","6","","","","","","","","","","","","","","","   203"," ,6,0122, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     1319"," ,6","","","","","",""
"USC00295571","1922","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","     37.4","","      37.4","6","        62","6","        43","6","         1","6","        24","6","        26","6","       229","6","         0","6","       133","6","         5","6","","","  -28.3","6,0201, ","   229"," ,6,0131, ","  35.6"," ,6,0816, ","   33.3","6,0716, ","0.0","6,0927","-3.3","6,1005","-5.6","6,1007","-6.7","6,1013","-8.9","6,1021","-1.1","6,0525","-2.2","6,0506","-4.4","6,0427","-6.7","6,0421","-11.1","6,0418","    4150.2","2","    4150.2","6","    363.3"," ,6","     2263"," ,6","      6.52","6","     16.34","6","     -3.30","6"
"USC00295571","1923","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4290.0","0","    4290.0","6","","","","","","","","","",""
"USC00295571","1926","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","        95","6","        64","6","         2","6","","","","","","","","","","","","","","","","","","","  33.8"," ,6,1212, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    560.6"," ,6","","","","","","","",""
"USC00295571","1929","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","","","","","","","        24","6","","","","","","","","","","","","","","","   178"," ,6,0207, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     1527"," ,6","","","","","",""
"USC00295571","1930","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","        64","6","        46","6","         0","6","        26","6","","","","","","","","","","","","","","","   305"," ,6,0505, ","  20.3"," ,6,0505,+","","","","","","","","","","","","","","","","","","","","","","","","","","","    400.1"," ,6","     2909"," ,6","","","","","",""
"USC00295571","1931","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","        84","6","        67","6","         1","6","        27","6","","","","","","","","","","","","","","","   838"," ,6,1123, ","  87.4"," ,6,1123, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    607.4"," ,6","     3225"," ,6","","","","","",""
"USC00295571","1932","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","        49","6","        42","6","         3","6","","","","","","","","","","","","","","","","","","","  65.0"," ,6,0117, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    473.8"," ,6","","","","","","","",""
"USC00295571","1933","35.36667","-108.51667","2439.9","MCGAFFEY RANGER STATION, NM US","","","","","        69","6","        47","6","         1","6","        21","6","","","","","","","","","","","","","","","   229"," ,6,1130, ","  36.8"," ,6,0720, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    492.1"," ,6","     1585"," ,6","","","","","",""
