"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00152770","1962","37.6","-86.55","143.3","FALLS OF ROUGH, KY US","","","","","        38"," ","        24"," ","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00152770","1963","37.6","-86.55","143.3","FALLS OF ROUGH, KY US","         9","0","       132","0","        73"," ","        16"," ","  -31.7","0,0124,+","-0.6","0,1014","-2.2","0,1030","-5.6","0,1103","-6.7","0,1201","-11.1","0,1210","-1.1","0,0524","-3.3","0,0501","-4.4","0,0323","-7.2","0,0305","-9.4","0,0228","      4.11","0"
"USC00152770","1964","37.6","-86.55","143.3","FALLS OF ROUGH, KY US","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","",""
