"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044297","1935","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","","","","","        19","6","        10","6","         0","6","","","","","","","","","","","","","","","","","","","","","","","","","  16.5"," ,6,0205, ","","","","","","","","","","","","","","","","","","","     70.7"," ,6","","","","","","","",""
"USC00044297","1936","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","   2667.0","","    2667.0","6","        19","6","        13","6","         1","6","","","","","         0","6","         1","6","         0","6","       291","6","       177","6","","","","","    0.0","6,0205, ","","","","","  25.4"," ,6,0725, ","   47.2","6,0721, ","","","","","","","0.0","6,0205","","","","","     616.6","6","     616.6","6","     83.6"," ,6","","","     24.03","6","     31.03","6","     17.02","6"
"USC00044297","1937","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","   2477.2","","    2477.2","6","        12","6","         3","6","         0","6","","","","","         0","6","        14","6","         0","6","       284","6","       176","6","","","","","   -6.1","6,0122, ","","","","","   8.9"," ,6,1226, ","   47.2","6,0812, ","","","","","","","-1.1","6,0128","-3.9","6,0124","-4.4","6,0123","     837.6","6","     837.6","6","     24.9"," ,6","","","     23.30","6","     30.44","6","     16.16","6"
"USC00044297","1938","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","   2225.6","","    2225.6","6","        19","6","         8","6","         0","6","","","","","         0","6","         0","6","         0","6","       275","6","       148","6","","","","","    1.1","6,0218, ","","","","","  20.1"," ,6,1215, ","   47.8","6,0801, ","","","","","","","","","","","","","     487.3","3","     487.3","6","     87.1"," ,6","","","     23.02","6","     29.77","6","     16.27","6"
"USC00044297","1939","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","   2302.1","","    2302.1","6","","","","","","","","","","","         0","6","         1","6","         0","6","       290","6","       159","6","","","","","    0.0","6,0210, ","","","","","","","   46.7","6,0713, ","","","","","","","0.0","6,0210","","","","","     756.3","3","     756.3","6","","","","","     22.93","6","     29.62","6","     16.24","6"
"USC00044297","1940","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","","","","","        19","6","        12","6","         0","6","","","","","","","","","         0","6","       286","6","       180","6","","","","","","","","","","","  19.1"," ,6,1224, ","   48.3","6,0614, ","","","","","","","","","","","","","     434.9","9","     434.9","6","    104.4"," ,6","","","","","     30.29","6","",""
"USC00044297","1941","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","   1908.6","","    1908.6","6","        36","6","        21","6","         0","6","","","","","         0","6","         0","6","         0","6","       265","6","       140","6","","","","","    1.7","6,1225, ","","","","","  23.6"," ,6,0314, ","   46.7","6,0720, ","","","","","","","","","","","","","","","","","    201.8"," ,6","","","     21.91","6","     28.27","6","     15.56","6"
"USC00044297","1942","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","   2288.1","","    2288.1","6","         8","6","         4","6","         1","6","","","","","         0","6","         3","6","         0","6","       301","6","       161","6","","","","","   -1.1","6,0103, ","","","","","  31.2"," ,6,0811, ","   47.2","6,0726, ","","","","","","","-0.6","6,0215","","","","","     667.2","2","     667.2","6","     48.3"," ,6","","","     22.99","6","     30.22","6","     15.76","6"
"USC00044297","1943","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","   2353.4","","    2353.4","6","        20","6","        10","6","         0","6","","","","","         0","6","         2","6","         0","6","       298","6","       173","6","","","","","   -1.1","6,0121, ","","","","","  16.5"," ,6,0127, ","   46.7","6,0725, ","","","","","","","-1.1","6,0121","","","","","     505.7","7","     505.7","6","     66.4"," ,6","","","     23.31","6","     30.54","6","     16.08","6"
"USC00044297","1944","34.1472","-115.1219","281.0","IRON MOUNTAIN, CA US","","","","","        22","6","        10","6","         0","6","","","","","         0","6","         4","6","","","","","","","","","","","   -2.2","6,0108, ","","","","","  19.1"," ,6,0223, ","","","","","","","","","0.0","6,0129","-2.2","6,0108","","","","","","","     78.6"," ,6","","","","","","","     15.01","6"
