"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CAPT","1996","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    400.1","","     400.1","U","         0","U","         4","U","         0","U","       178","U","        54","U","   -3.3","U,0226, ","   42.2","U,0809, ","-0.6","U,1219","","","","","","","0.0","U,0326","-3.3","U,0226","","","","","","","     14.68","U","     21.48","U","      7.87","U"
"USR0000CAPT","2000","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    333.7","","     333.7","U","         0","U","        13","U","         0","U","       173","U","        45","U","   -1.7","U,1218,+","   42.8","U,0918, ","-1.7","U,1112","","","","","","","0.0","U,0320","","","","","    1846.6","6","    1846.6","U","     13.82","U","     20.47","U","      7.17","U"
"USR0000CAPT","2001","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    316.3","","     316.3","U","         0","U","        25","U","         0","U","       182","U","        50","U","   -3.3","U,0117, ","   41.1","U,0808, ","0.0","U,1107","","","","","","","-1.1","U,0404","-2.8","U,0214","","","    2067.1","1","    2067.1","U","     14.07","U","     21.15","U","      6.98","U"
"USR0000CAPT","2002","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    415.6","","     415.6","U","         0","U","        16","U","         0","U","       185","U","        54","U","   -3.9","U,0130, ","   43.3","U,0813, ","-0.6","U,1031","","","","","","","0.0","U,0319","-2.8","U,0318","","","    1780.3","3","    1780.3","U","     14.34","U","     21.64","U","      7.04","U"
"USR0000CAPT","2003","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    456.6","","     456.6","U","         0","U","        14","U","         0","U","       171","U","        56","U","   -2.8","U,0208, ","   42.2","U,0901,+","-1.1","U,1101","-2.2","U,1123","","","","","-0.6","U,0210","-2.8","U,0208","","","    1860.8","8","    1860.8","U","     14.36","U","     21.10","U","      7.62","U"
"USR0000CAPT","2004","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    416.8","","     416.8","U","         0","U","        16","U","         0","U","       191","U","        54","U","   -2.8","U,1203, ","   40.6","U,0811, ","0.0","U,1120","-2.8","U,1203","","","","","0.0","U,0401","","","","","    1757.5","5","    1757.5","U","     14.57","U","     21.48","U","      7.65","U"
"USR0000CAPT","2005","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    388.5","","     388.5","U","         0","U","        12","U","         0","U","       166","U","        54","U","   -1.1","U,1216,+","   43.3","U,0717, ","-0.6","U,1127","","","","","","","0.0","U,0330","","","","","    1902.9","9","    1902.9","U","     14.15","U","     20.83","U","      7.47","U"
"USR0000CAPT","2006","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    391.8","","     391.8","U","         0","U","        26","U","         0","U","       164","U","        54","U","   -3.3","U,0220,+","   43.3","U,0723, ","0.0","U,1128","-2.2","U,1219","","","","","0.0","U,0321","-2.8","U,0311","","","    2066.2","2","    2066.2","U","     13.71","U","     20.28","U","      7.13","U"
"USR0000CAPT","2007","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    262.3","","     262.3","U","         0","U","        47","U","         0","U","       170","U","        29","U","   -6.1","U,0113, ","   38.9","U,0830,+","0.0","U,1120","-2.2","U,1209","","","","","0.0","U,0328","-2.2","U,0118","-5.0","U,0115","    2028.6","6","    2028.6","U","     13.21","U","     19.77","U","      6.64","U"
"USR0000CAPT","2008","40.1867","-123.5903","281.3","ALDER POINT CALIFORNIA, CA US","    354.5","","     354.5","U","         0","U","        32","U","         0","U","       160","U","        46","U","   -4.4","U,1217, ","   41.7","U,0906, ","0.0","U,1210","-2.8","U,1216","-4.4","U,1217","","","0.0","U,0429","-2.2","U,0331","","","    2243.5","5","    2243.5","U","     13.41","U","     20.32","U","      6.48","U"
