"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00484300","1949","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        81","0","        34","0","         2","0","","","","","","","  48.3"," ,0,0430, ","    386.9"," ,0","",""
"USC00484300","1951","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        64","0","        28","0","         1","0","        21","0","         1"," ","   102"," ,0,1223, ","  30.5"," ,0,0601, ","    279.2"," ,0","     1325"," ,0"
"USC00484300","1952","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        51","0","        34","0","         2","0","        14","0","","","   254"," ,0,1118, ","  32.5"," ,0,0604, ","    319.5"," ,0","     1309"," ,0"
"USC00484300","1953","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        52","0","        31","0","         4","0","        21","0","","","   254"," ,0,0209, ","  35.6"," ,0,0716, ","    387.7"," ,0","     1945"," ,0"
"USC00484300","1954","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        47","0","        32","0","         0","0","        16","0","","","   203"," ,0,0318, ","  22.9"," ,0,0721,+","    289.8"," ,0","     1244"," ,0"
"USC00484300","1955","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        57","0","        42","0","         1","0","        29","0","","","   165"," ,0,1202, ","  38.1"," ,0,0517, ","    367.4"," ,0","     2176"," ,0"
"USC00484300","1956","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        47","0","        30","0","         2","0","        20","0","","","   191"," ,0,1024, ","  50.8"," ,0,0801, ","    365.4"," ,0","     1793"," ,0"
"USC00484300","1957","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        67","0","        46","0","         5","0","        17","0","","","   229"," ,0,0406, ","  46.5"," ,0,0524, ","    491.2"," ,0","     1482"," ,0"
"USC00484300","1958","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        54","0","        36","0","         2","0","","","","","","","  33.0"," ,0,0405, ","    348.9"," ,0","",""
"USC00484300","1959","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        64","0","        34","0","         2","0","        27","0","","","   152"," ,0,0314, ","  25.4"," ,0,0629,+","    296.9"," ,0","     1468"," ,0"
"USC00484300","1960","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        45","0","        29","0","         0","0","        22","0","","","   203"," ,0,0416, ","  18.5"," ,0,0416, ","    198.6"," ,0","     1441"," ,0"
"USC00484300","1961","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        53","0","        30","0","         0","0","        25","0","","","   155"," ,0,0414, ","  19.8"," ,0,0929, ","    269.3"," ,0","     1618"," ,0"
"USC00484300","1962","42.93333","-104.36667","1373.1","HAT CREEK, WY US","","","","","","","","","","","","","","","    410.9"," ,0","",""
"USC00484300","1963","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        56","0","        38","0","         2","0","        22","0","","","   165"," ,0,0316, ","  43.7"," ,0,0615, ","    372.6"," ,0","     1385"," ,0"
"USC00484300","1965","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        65","0","        42","0","         2","0","        22","0","","","   229"," ,0,0508, ","  50.8"," ,0,0514, ","    430.0"," ,0","     1886"," ,0"
"USC00484300","1966","42.93333","-104.36667","1373.1","HAT CREEK, WY US","        48","0","        30","0","         1","0","        24","0","","","   216"," ,0,0418, ","  26.2"," ,0,1003, ","    229.5"," ,0","     1918"," ,0"
