"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"SAM00040362","1980","29.626","43.491","449.3","RAFHA, SA","         0","S","       253","S","       170","S","   47.0","S,0721,+","     31.03","S"
"SAM00040362","1984","29.626","43.491","449.3","RAFHA, SA","         0","S","       257","S","       167","S","   45.1","S,0714, ","     30.41","S"
"SAM00040362","1985","29.626","43.491","449.3","RAFHA, SA","         0","S","       281","S","       186","S","   47.2","S,0805,+","     31.58","S"
"SAM00040362","1986","29.626","43.491","449.3","RAFHA, SA","         0","S","       269","S","       178","S","   46.8","S,0826, ","     30.86","S"
"SAM00040362","1990","29.626","43.491","449.3","RAFHA, SA","         0","S","       258","S","       167","S","   47.0","S,0726,+","     31.54","S"
"SAM00040362","1993","29.626","43.491","449.3","RAFHA, SA","         0","S","       267","S","       169","S","   47.3","S,0808, ","     30.60","S"
"SAM00040362","1994","29.626","43.491","449.3","RAFHA, SA","         0","S","       267","S","       190","S","   47.8","S,0817, ","     30.83","S"
"SAM00040362","1996","29.626","43.491","449.3","RAFHA, SA","         0","S","       264","S","       174","S","   49.2","S,0819, ","     31.66","S"
"SAM00040362","2000","29.626","43.491","449.3","RAFHA, SA","         0","S","       255","S","       182","S","   48.5","S,0817, ","     31.20","S"
"SAM00040362","2001","29.626","43.491","449.3","RAFHA, SA","         0","S","       283","S","       194","S","   48.9","S,0809, ","     32.13","S"
"SAM00040362","2003","29.626","43.491","449.3","RAFHA, SA","         0","S","       263","S","       184","S","   48.3","S,0810, ","     31.37","S"
