"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00387288","1997","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","","","        0","","         0","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","        0"," ,0"
"USC00387288","1998","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","        99","0","        71","0","        20","0","","","         0","0","","","","","","","     0"," ,0,1231,+"," 105.4"," ,0,0717, ","      28.9","0,0,2","      33.9","0,0,2","       5.6","0,0,2","       7.2","0,0,2","      19.0","0,0,2","      22.2","0,0,2","   1464.4"," ,0","        0"," ,0"
"USC00387288","2000","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","","","        2","","         0","0","","","","","    51"," ,0,0125, ","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","        0"," ,0"
"USC00387288","2009","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","","","        0","","         0","0","        11"," ","         3"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","        0"," ,0"
"USC00387288","2010","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","        84","0","        63","0","        16","0","","","         1","0","         3"," ","         2"," ","","","   140"," ,0,0213, "," 114.0"," ,0,0927, ","","","","","","","","","","","","","   1370.1"," ,0","      150"," ,0"
"USC00387288","2011","33.1025","-80.2978","21.3","RIDGEVILLE, SC US","","","","","","","","","","","         9"," ","         6"," ","","","","","","","","","","","","","","","","","","","","","",""
