"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CSFD","1994","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","    779.5","","     779.5","U","         0","U","         1","U","         0","U","       263","U","        69","U","   -0.6","U,0113, ","   41.7","U,0626, ","","","-0.6","U,0113","     619.6","6","     619.6","U","     18.36","U","     25.39","U","     11.33","U"
"USR0000CSFD","1995","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","    943.2","","     943.2","U","         0","U","         0","U","         0","U","       271","U","       100","U","    2.2","U,0117, ","   41.1","U,0905,+","","","","","     779.6","6","     779.6","U","     19.27","U","     26.40","U","     12.14","U"
"USR0000CSFD","1996","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","   1087.5","","    1087.5","U","         0","U","         0","U","         0","U","       298","U","       110","U","    3.3","U,0226, ","   41.7","U,0829, ","","","","","     411.3","3","     411.3","U","     20.05","U","     27.41","U","     12.70","U"
"USR0000CSFD","1997","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","","","","","         0","U","         0","U","","","","","","","    1.7","U,1226, ","","","","","","","","","","","","","","","     13.29","U"
"USR0000CSFD","1998","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","    856.8","","     856.8","U","         0","U","         0","U","         0","U","       264","U","        83","U","    1.7","U,1221, ","   43.9","U,0901, ","","","","","     648.6","6","     648.6","U","     18.83","U","     25.78","U","     11.88","U"
"USR0000CSFD","2003","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","   1060.0","","    1060.0","U","         0","U","         0","U","         0","U","       290","U","       114","U","    2.8","U,1226, ","   42.2","U,0814, ","","","","","","","","","     19.73","U","     27.33","U","     12.12","U"
"USR0000CSFD","2004","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","    985.2","","     985.2","U","         0","U","         0","U","         0","U","       286","U","       106","U","    0.6","U,1129, ","   41.7","U,0427, ","","","","","     521.8","8","     521.8","U","     19.52","U","     27.17","U","     11.86","U"
"USR0000CSFD","2005","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","    908.0","","     908.0","U","         0","U","         0","U","         0","U","       296","U","       100","U","    5.0","U,1127, ","   41.1","U,0929, ","","","","","     597.5","5","     597.5","U","     19.45","U","     26.95","U","     11.96","U"
"USR0000CSFD","2006","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","","","     557.3","3","     557.3","U","","","","","",""
"USR0000CSFD","2007","34.1208","-117.9458","152.4","SANTA FE DAM CALIFORNIA, CA US","    979.3","","     979.3","U","         0","U","         2","U","         0","U","       284","U","       104","U","   -0.6","U,0115, ","   44.4","U,0902, ","","","0.0","U,0118","","","","","     19.33","U","     27.07","U","     11.58","U"
