"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412364","1923","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        81","6","        44","6","         5","6","","","","","","","","","","","","","","","","","  52.1"," ,6,1005, ","","","","","","","","","","","","","","","","","    587.2"," ,6","","","","","","","",""
"USC00412364","1924","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        51","6","        23","6","         3","6","","","","","","","","","","","","","","","","","  29.0"," ,6,1007,+","","","","","","","","","","","","","","","","","    275.6"," ,6","","","","","","","",""
"USC00412364","1925","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        64","6","        40","6","         4","6","","","","","","","","","","","","","","","","","  65.0"," ,6,0528, ","","","","","","","","","","","","","","","","","    490.5"," ,6","","","","","","","",""
"USC00412364","1926","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        64","6","        35","6","         4","6","","","","","","","","","","","","","","","","","  89.7"," ,6,1015, ","","","","","","","","","","","","","","","","","    592.6"," ,6","","","","","","","",""
"USC00412364","1927","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        65","6","        27","6","         2","6","","","","","","","","","","","","","","","","","  42.2"," ,6,1002, ","","","","","","","","","","","","","","","","","    319.2"," ,6","","","","","","","",""
"USC00412364","1928","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        65","6","        36","6","         4","6","","","","","","","","","","","","","","","","","  85.1"," ,6,0922, ","","","","","","","","","","","","","","","","","    489.5"," ,6","","","","","","","",""
"USC00412364","1929","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        62","6","        25","6","         5","6","","","","","","","","","","","","","","","","","  46.7"," ,6,0524, ","","","","","","","","","","","","","","","","","    414.3"," ,6","","","","","","","",""
"USC00412364","1930","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        70","6","        36","6","         5","6","","","","","","","","","","","","","","","",""," 123.4"," ,6,1004, ","","","","","","","","","","","","","","","","","    570.3"," ,6","","","","","","","",""
"USC00412364","1931","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        73","6","        33","6","         6","6","","","","","","","","","","","","","","","","","  64.3"," ,6,0811, ","","","","","","","","","","","","","","","","","    639.8"," ,6","","","","","","","",""
"USC00412364","1932","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","        81","6","        43","6","         7","6","","","","","","","","","","","","","","","","","  84.8"," ,6,0831, ","","","","","","","","","","","","","","","","","    671.1"," ,6","","","","","","","",""
