"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00194771","1933","42.18333","-71.75","107.0","MILLBURY, MA US","       125","6","        79","6","        13","6","","","","","         4","6","       135","6","","","","","  -25.6","6,0213, ","","","","","  85.1"," ,6,0916, ","0.0","6,0912","-3.9","6,1015","-5.6","6,1021","-7.2","6,1026","-8.9","6,1109","-1.1","6,0511","-4.4","6,0508","-4.4","6,0508","-10.0","6,0312","-10.0","6,0312","   1278.6"," ,6","","","      3.60","6"
"USC00194771","1934","42.18333","-71.75","107.0","MILLBURY, MA US","       121","6","        83","6","        14","6","","","","","","","","","","","","","","","","","","","  56.9"," ,6,0504, ","","","","","","","","","","","","","","","","","","","","","   1215.6"," ,6","","","",""
"USC00194771","1935","42.18333","-71.75","107.0","MILLBURY, MA US","       113","6","        69","6","        12","6","","","","","","","","","","","","","","","","","","","  86.9"," ,6,0823, ","","","","","","","","","","","","","","","","","","","","","   1041.6"," ,6","","","",""
"USC00194771","1936","42.18333","-71.75","107.0","MILLBURY, MA US","       115","6","        78","6","        17","6","","","","","","","","","","","","","","","","","",""," 116.3"," ,6,0319, ","","","","","","","","","","","","","","","","","","","","","   1384.4"," ,6","","","",""
"USC00194771","1937","42.18333","-71.75","107.0","MILLBURY, MA US","       116","6","        87","6","        10","6","","","","","","","","","","","","","","","","","","","  89.7"," ,6,1114, ","","","","","","","","","","","","","","","","","","","","","   1240.1"," ,6","","","",""
"USC00194771","1938","42.18333","-71.75","107.0","MILLBURY, MA US","       138","6","        92","6","        15","6","","","","","","","","","","","","","","","","","","","  94.0"," ,6,0919, ","","","","","","","","","","","","","","","","","","","","","   1435.2"," ,6","","","",""
"USC00194771","1939","42.18333","-71.75","107.0","MILLBURY, MA US","       113","6","        78","6","         5","6","","","","","","","","","","","","","","","","","","","  84.8"," ,6,1031, ","","","","","","","","","","","","","","","","","","","","","    968.7"," ,6","","","",""
"USC00194771","1940","42.18333","-71.75","107.0","MILLBURY, MA US","       120","6","        84","6","        14","6","","","","","","","","","","","","","","","","","","","  60.2"," ,6,0601, ","","","","","","","","","","","","","","","","","","","","","   1123.3"," ,6","","","",""
"USC00194771","1941","42.18333","-71.75","107.0","MILLBURY, MA US","        94","6","        63","6","        10","6","","","","","","","","","","","","","","","","","","","  47.0"," ,6,1214,+","","","","","","","","","","","","","","","","","","","","","    832.3"," ,6","","","",""
"USC00194771","1942","42.18333","-71.75","107.0","MILLBURY, MA US","       110","6","        83","6","        11","6","","","","","","","","","","","","","","","","","","","  61.0"," ,6,1202, ","","","","","","","","","","","","","","","","","","","","","   1173.7"," ,6","","","",""
