"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TH000048550","1969","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       365","I","         0","I","","","","","   29.5","I,0511, ","","","","","","","     25.32","I","",""
"TH000048550","1970","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       363","I","         0","I","","","","","   28.8","I,0427, ","","","","","","","     24.83","I","",""
"TH000048550","1971","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       364","I","         0","I","","","","","   28.5","I,0418, ","","","","","","","     24.78","I","",""
"TH000048550","1972","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       361","I","         0","I","","","","","   28.4","I,0606, ","","","","","","","     24.91","I","",""
"TH000048550","1973","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       364","I","         0","I","","","","","   29.2","I,0419, ","","","","","","","     25.09","I","",""
"TH000048550","1974","9.467","100.05","7.0","KO SAMUI, TH","       143","S","        91","S","        20","S","","","","","         0","I","       360","I","         0","I","",""," 150.1"," ,S,1227, ","   28.4","I,0417, ","","","","","   1769.3"," ,S","     24.66","I","",""
"TH000048550","1975","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       362","I","         0","I","","","","","   28.2","I,0328, ","","","","","","","     24.53","I","",""
"TH000048550","1976","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       353","I","         0","I","","","","","   27.4","I,0528, ","","","","","","","     24.38","I","",""
"TH000048550","1977","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       365","I","         0","I","","","","","   28.5","I,0422, ","","","","","","","     25.03","I","",""
"TH000048550","1978","9.467","100.05","7.0","KO SAMUI, TH","","","","","","","","","","","         0","I","       365","I","         0","I","","","","","   29.3","I,1127, ","","","","","","","     25.22","I","",""
