"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00156563","2016","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","","","","","","","","","","","","","","","","","","","        14"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00156563","2017","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    515.0","","     515.0","7","        5","","         1","7","         0","7","       104","7","        11","7","       193","7","        14","7","       196"," ","        35"," ","  -14.4","7,0109, ","    51"," ,7,0107,+","    61"," ,7,0106, ","   34.4","7,0723,+","0.0","7,1026","-4.4","7,1111","-4.4","7,1111","-9.4","7,1213","-9.4","7,1213","-0.6","7,0410","-5.0","7,0324","-5.0","7,0324","-10.6","7,0317","-10.6","7,0317","","","","","      104"," ,7","     13.43","7","     19.89","7","      6.98","7"
"USC00156563","2018","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    750.6","","     750.6","7","       13","","         5","7","         7","7","       117","7","        14","7","       178","7","        19","7","       195"," ","        36"," ","  -18.9","7,0107,+","   102"," ,7,1210, ","   102"," ,7,1210, ","   33.9","7,0905,+","0.0","7,1022","-6.7","7,1111","-6.7","7,1111","-6.7","7,1111","","","-0.6","7,0501","-2.2","7,0422","-5.0","7,0409","-12.2","7,0204","-12.2","7,0204","    2629.5","5","    2629.5","7","      468"," ,7","     13.09","7","     19.00","7","      7.19","7"
"USC00156563","2019","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    735.6","","     735.6","7","        4","","         2","7","         0","7","       106","7","        10","7","       193","7","        45","7","       179"," ","        37"," ","  -15.0","7,0131,+","    76"," ,7,0308, ","    64"," ,7,0308, ","   36.1","7,0914,+","-2.8","7,1102","-2.8","7,1102","-6.1","7,1109","-10.6","7,1113","-10.6","7,1113","-1.1","7,0417","-5.0","7,0402","-5.0","7,0402","-7.2","7,0308","-10.0","7,0307","    2507.2","2","    2507.2","7","      207"," ,7","     13.61","7","     20.30","7","      6.93","7"
"USC00156563","2020","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    608.8","","     608.8","7","        6","","         2","7","         0","7","       100","7","         6","7","       170","7","        20","7","       203"," ","        36"," ","  -13.3","7,1227, ","   152"," ,7,1225, ","   150"," ,7,1225, ","   34.4","7,0722,+","-0.6","7,1017","-2.8","7,1102","-5.0","7,1118","-6.7","7,1203","-12.8","7,1226","-0.6","7,0511","-2.2","7,0412","-5.0","7,0309","-7.8","7,0302","-9.4","7,0223","    2416.1","1","    2416.1","7","      244"," ,7","     13.31","7","     19.52","7","      7.11","7"
"USC00156563","2021","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    627.5","","     627.5","7","       11","","         3","7","         0","7","       119","7","         9","7","       194","7","        23","7","       146"," ","        14"," ","  -11.1","7,0222,+","   102"," ,7,0218, ","    89"," ,7,0218, ","   35.6","7,0813, ","-1.7","7,1104","-3.9","7,1105","-5.6","7,1120","-6.7","7,1123","","","-2.8","7,0424","-2.8","7,0424","-5.0","7,0404","-6.7","7,0309","-11.1","7,0222","    2627.2","2","    2627.2","7","      269"," ,7","     13.19","7","     19.63","7","      6.74","7"
"USC00156563","2022","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    627.3","","     627.3","7","       15","","         4","7","         1","7","       130","7","        13","7","       188","7","        23","7","       148"," ","        30"," ","  -17.8","7,1224, ","   178"," ,7,0107, ","   193"," ,7,0107, ","   35.6","7,0623,+","0.0","7,1010","-2.8","7,1020","-6.7","7,1118","-6.7","7,1118","-8.9","7,1121","-1.1","7,0421","-3.9","7,0403","-6.1","7,0329","-13.9","7,0314","-13.9","7,0314","    2382.0","0","    2382.0","7","      537"," ,7","     12.73","7","     19.49","7","      5.97","7"
"USC00156563","2023","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    515.3","","     515.3","7","        1","","         0","7","         0","7","        99","7","         2","7","       199","7","        16","7","       161"," ","        30"," ","   -9.4","7,1130,+","    25"," ,7,0201, ","    13"," ,7,0201, ","   33.9","7,0729,+","-1.7","7,1101","-5.0","7,1102","-5.0","7,1102","-9.4","7,1129","-9.4","7,1129","-1.1","7,0426","-2.2","7,0410","-6.7","7,0322","-6.7","7,0322","-9.4","7,0321","    2391.7","7","    2391.7","7","       30"," ,7","     13.69","7","     20.45","7","      6.93","7"
"USC00156563","2024","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","    686.2","","     686.2","7","       12","","         4","7","         2","7","        86","7","         9","7","       212","7","        42","7","       166"," ","        31"," ","  -21.1","7,0118, ","   152"," ,7,0120,+","    89"," ,7,0115, ","   37.2","7,0717, ","-0.6","7,1113","-5.0","7,1130","-5.0","7,1130","-9.4","7,1204","-9.4","7,1204","-1.1","7,0423","-2.8","7,0325","-5.0","7,0301","-7.2","7,0220","-14.4","7,0123","    2238.4","4","    2238.4","7","      318"," ,7","     14.22","7","     21.15","7","      7.29","7"
"USC00156563","2025","37.6551","-82.8294","231.6","PRESTONSBURG 3 WSW, KY US","","","","","","","","","","","","","","","","","","","        11"," ","         7"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
