"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00048557","1893","37.95","-121.26667","6.1","STOCKTON 2, CA US","    415.5","","     415.5","6","","","","","","","","","         0","6","         6","6","         0","6","       171","6","        33","6","","","","","   -1.1","6,1120, ","","","","","   37.8","6,0802,+","0.0","6,1119","","","","","","","-0.6","6,0201","","","","","","","","","","","","","","","     14.79","6","     20.79","6","      8.79","6"
"USC00048557","1894","37.95","-121.26667","6.1","STOCKTON 2, CA US","    447.5","","     447.5","6","","","","","","","","","         0","6","        13","6","         0","6","       198","6","        36","6","","","","","   -3.3","6,0106, ","","","","","   39.4","6,0826, ","0.0","6,1225","","","","","","","0.0","6,0319","-3.3","6,0106","","","","","    1670.9","9","    1670.9","6","","","","","     15.09","6","     21.23","6","      8.95","6"
"USC00048557","1895","37.95","-121.26667","6.1","STOCKTON 2, CA US","    416.5","","     416.5","6","        38","6","        31","6","         1","6","","","         0","6","        16","6","         0","6","       188","6","        36","6","","","","","   -3.9","6,1229, ","","","  41.7"," ,6,0116, ","   38.9","6,0623, ","-0.6","6,1123","-2.2","6,1126","","","","","-0.6","6,0130","","","","","","","    1487.4","4","    1487.4","6","    314.8"," ,6","","","     15.05","6","     21.21","6","      8.89","6"
"USC00048557","1896","37.95","-121.26667","6.1","STOCKTON 2, CA US","    470.9","","     470.9","6","","","","","","","","","         0","6","        13","6","         0","6","       175","6","        27","6","","","","","   -3.3","6,0105, ","","","","","   37.8","6,0709, ","0.0","6,1126","","","","","","","0.0","6,0107","-3.3","6,0105","","","","","    1632.4","4","    1632.4","6","","","","","     15.36","6","     21.39","6","      9.33","6"
"USC00048557","1897","37.95","-121.26667","6.1","STOCKTON 2, CA US","    495.0","","     495.0","6","        47","6","        33","6","         2","6","","","         0","6","        31","6","         0","6","       188","6","        41","6","","","","","   -4.4","6,1220, ","","","  26.7"," ,6,0201, ","   38.9","6,0819, ","0.0","6,1108","-2.8","6,1217","-4.4","6,1220","","","0.0","6,0322","","","","","","","    1644.4","4","    1644.4","6","    277.6"," ,6","","","     14.75","6","     20.96","6","      8.53","6"
"USC00048557","1898","37.95","-121.26667","6.1","STOCKTON 2, CA US","    370.7","","     370.7","6","","","","","","","","","         0","6","        49","6","         0","6","       204","6","        47","6","","","","","   -5.0","6,1212,+","","","","","   40.6","6,0812, ","-0.6","6,1110","-2.2","6,1208","-5.0","6,1210","","","-0.6","6,0326","-2.8","6,0130","","","","","    1789.5","5","    1789.5","6","","","","","     14.57","6","     22.02","6","      7.12","6"
"USC00048557","1899","37.95","-121.26667","6.1","STOCKTON 2, CA US","    404.1","","     404.1","6","        54","6","        40","6","         6","6","","","         0","6","        13","6","         0","6","       180","6","        41","6","","","","","   -4.4","6,0205, ","","","  38.6"," ,6,1021, ","   38.9","6,0718, ","0.0","6,1226","","","","","","","-0.6","6,0209","-2.8","6,0207","-4.4","6,0205","","","    1687.6","6","    1687.6","6","    495.0"," ,6","","","     14.90","6","     21.36","6","      8.45","6"
"USC00048557","1900","37.95","-121.26667","6.1","STOCKTON 2, CA US","    480.8","","     480.8","6","        44","6","        34","6","         4","6","","","         0","6","         7","6","         0","6","       174","6","        33","6","","","","","   -5.0","6,1231, ","","","  42.9"," ,6,1121, ","   38.3","6,0709, ","-1.1","6,1223","-2.2","6,1228","-5.0","6,1231","","","","","","","","","","","    1644.6","6","    1644.6","6","    372.5"," ,6","","","     15.57","6","     20.68","6","     10.46","6"
"USC00048557","1901","37.95","-121.26667","6.1","STOCKTON 2, CA US","    369.5","","     369.5","6","        48","6","        34","6","         4","6","","","         0","6","        42","6","         0","6","       183","6","        30","6","","","","","   -5.6","6,0101, ","","","  41.4"," ,6,0429, ","   38.9","6,0628, ","-1.1","6,1211","-3.9","6,1213","","","","","-0.6","6,0404","-2.2","6,0212","-4.4","6,0110","","","    1699.0","0","    1699.0","6","    374.8"," ,6","","","     14.32","6","     20.82","6","      7.83","6"
"USC00048557","1902","37.95","-121.26667","6.1","STOCKTON 2, CA US","    407.8","","     407.8","6","        54","6","        38","6","         1","6","","","         0","6","        24","6","         0","6","       167","6","        32","6","","","","","   -3.9","6,0127, ","","","  26.7"," ,6,0222, ","   39.4","6,0724, ","-0.6","6,1122","","","","","","","-1.1","6,0201","-2.8","6,0129","","","","","    1739.0","0","    1739.0","6","    318.0"," ,6","","","     14.43","6","     20.48","6","      8.39","6"
"USC00048557","1903","37.95","-121.26667","6.1","STOCKTON 2, CA US","    417.7","","     417.7","6","        46","6","        34","6","         2","6","","","         0","6","        37","6","         0","6","       181","6","        28","6","         9"," ","","","   -4.4","6,0215, ","","","  30.2"," ,6,0331, ","   39.4","6,0606, ","0.0","6,1205","","","","","","","0.0","6,0219","-2.8","6,0217","-4.4","6,0215","","","    1810.5","5","    1810.5","6","    385.2"," ,6","","","     14.50","6","     20.82","6","      8.19","6"
"USC00048557","1904","37.95","-121.26667","6.1","STOCKTON 2, CA US","    506.0","","     506.0","6","        61","6","        40","6","         1","6","","","         0","6","        25","6","         0","6","       170","6","        37","6","","","","","   -2.8","6,0106, ","","","  28.7"," ,6,0212, ","   40.0","6,0907, ","-1.1","6,1205","","","","","","","-1.1","6,0210","-2.2","6,0124","","","","","    1646.4","4","    1646.4","6","    428.4"," ,6","","","     14.86","6","     20.77","6","      8.94","6"
"USC00048557","1905","37.95","-121.26667","6.1","STOCKTON 2, CA US","    406.1","","     406.1","6","        52","6","        39","6","         2","6","","","         0","6","        29","6","         0","6","       167","6","        32","6","","","         1"," ","   -3.9","6,1224, ","","","  29.7"," ,6,0507,+","   43.3","6,0707, ","-0.6","6,1201","-2.8","6,1209","","","","","-0.6","6,0215","","","","","","","    1722.7","7","    1722.7","6","    333.4"," ,6","","","     14.46","6","     20.59","6","      8.33","6"
"USC00048557","1906","37.95","-121.26667","6.1","STOCKTON 2, CA US","    509.8","","     509.8","6","","","","","","","","","         0","6","        22","6","         0","6","       167","6","        44","6","","","","","   -3.9","6,1127, ","","","","","   40.0","6,0724, ","0.0","6,1123","-2.2","6,1124","","","","","-0.6","6,0121","-2.2","6,0103","","","","","    1822.4","4","    1822.4","6","","","","","     14.97","6","     20.84","6","      9.11","6"
"USC00048557","1907","37.95","-121.26667","6.1","STOCKTON 2, CA US","    322.8","","     322.8","6","        63","6","        42","6","         3","6","","","         0","6","         9","6","         0","6","       190","6","        19","6","","","","","   -1.1","6,1202, ","","","  40.6"," ,6,0323, ","   34.4","6,0819,+","-0.6","6,1130","","","","","","","0.0","6,0122","","","","","","","    1523.4","4","    1523.4","6","    448.6"," ,6","","","     15.13","6","     20.87","6","      9.39","6"
