"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MXN00008080","1999","30.8833","-108.1833","1379.8","JANOS SMN, MX","    747.5","","     747.5","m","        28","m","        25","m","         4","m","         0","m","        90","m","         0","m","       238","m","        49","m","   -8.9","m,1221,+","  45.0"," ,m,0804, ","   37.8","m,0626,+","-2.2","m,1019","-2.2","m,1019","-8.3","m,1118","-8.3","m,1118","-8.9","m,1216","0.0","m,0406","-3.3","m,0318","-5.0","m,0316","-7.2","m,0212","    297.0"," ,m","     15.94","m","     24.37","m","      7.51","m"
"MXN00008080","2000","30.8833","-108.1833","1379.8","JANOS SMN, MX","","","","","        32","m","        30","m","         0","m","","","","","","","","","","","","","  24.9"," ,m,1011, ","","","","","","","","","","","","","","","","","","","","","    196.9"," ,m","","","","","",""
